Target,Probability Bucket,Count,Mean Prediction,Observed Success Rate,Calibration Error
T1,"(-0.001, 0.1]",0,,,
T1,"(0.1, 0.2]",9,0.13882246665603912,0.0,-0.13882246665603912
T1,"(0.2, 0.3]",82,0.2721997295510661,0.24390243902439024,-0.028297290526675845
T1,"(0.3, 0.4]",211,0.34214710779981305,0.3033175355450237,-0.038829572254789335
T1,"(0.4, 0.5]",450,0.45865338689215307,0.3111111111111111,-0.14754227578104195
T1,"(0.5, 0.6]",2,0.5151515151515151,0.0,-0.5151515151515151
T1,"(0.6, 0.7]",0,,,
T1,"(0.7, 0.8]",0,,,
T1,"(0.8, 0.9]",0,,,
T1,"(0.9, 1.0]",0,,,
T2,"(-0.001, 0.1]",6,0.09756097560975609,0.16666666666666666,0.06910569105691057
T2,"(0.1, 0.2]",26,0.1271026941796405,0.0,-0.1271026941796405
T2,"(0.2, 0.3]",204,0.25935827066979705,0.19607843137254902,-0.06327983929724804
T2,"(0.3, 0.4]",295,0.3649100218048387,0.27796610169491526,-0.08694392010992347
T2,"(0.4, 0.5]",223,0.4202043177923659,0.19730941704035873,-0.22289490075200716
T2,"(0.5, 0.6]",0,,,
T2,"(0.6, 0.7]",0,,,
T2,"(0.7, 0.8]",0,,,
T2,"(0.8, 0.9]",0,,,
T2,"(0.9, 1.0]",0,,,
