Evaluation Year,Target,Predictions,Brier Score,Mean Predicted Probability,Observed Success Rate
OVERALL,T1,754,0.22254429314972834,0.4021049693642232,0.29708222811671087
2016,T1,52,0.20315664184111878,0.39937126930609745,0.19230769230769232
2017,T1,73,0.2448457387484885,0.41734166014838037,0.4383561643835616
2018,T1,71,0.2063441033105913,0.38579970359402116,0.2535211267605634
2019,T1,73,0.24040168024222688,0.421457217656594,0.2602739726027397
2020,T1,53,0.24233701102273109,0.39074138030201366,0.3584905660377358
2021,T1,103,0.23468142866733901,0.41931283746511544,0.36893203883495146
2022,T1,113,0.21291178772566874,0.41671830691719725,0.23893805309734514
2023,T1,82,0.21306499481706634,0.40559055018808704,0.2926829268292683
2024,T1,48,0.21715141043928102,0.36618165473977315,0.3333333333333333
2025,T1,68,0.20976441947146351,0.38477041040919313,0.23529411764705882
2026,T1,18,0.21817223264983912,0.32269596191412603,0.2777777777777778
OVERALL,T2,754,0.18820514983078043,0.3423781729696191,0.22148541114058357
2016,T2,52,0.16947055577425324,0.3521021875982901,0.11538461538461539
2017,T2,73,0.23377398671334454,0.3558895318971427,0.3835616438356164
2018,T2,71,0.18554959660228043,0.33713929798997544,0.22535211267605634
2019,T2,73,0.17610795878315263,0.3675792714592877,0.136986301369863
2020,T2,53,0.2179554300895061,0.3309544437677568,0.3018867924528302
2021,T2,103,0.22947298735207228,0.36036625881868933,0.3592233009708738
2022,T2,113,0.15901453359888695,0.3579111298078707,0.10619469026548672
2023,T2,82,0.1776983969806539,0.34404333032108325,0.23170731707317074
2024,T2,48,0.19367581770667852,0.3105799285948117,0.22916666666666666
2025,T2,68,0.13959342027925253,0.30365244681812703,0.10294117647058823
2026,T2,18,0.1934862512297906,0.23464955404756202,0.2777777777777778
