Policy,Maximum Drawdown %,Peak Date,Trough Date,Recovery Date,Peak-to-Trough Sessions,Recovery Sessions,Longest Underwater Duration Sessions
D1_TRAIL_ONLY,-11.825863119869616,2021-11-16,2023-05-23,,375,,1186
D2_BREAK_EVEN_TRAIL,-11.74928137583635,2021-11-16,2023-05-23,,375,,1186
D3_PARTIAL_T1_TRAIL,-11.029373511055795,2021-11-17,2023-05-23,,374,,1185
D4_TREND_PROTECT,-10.465929958971653,2021-11-17,2023-05-23,,374,,1185
D5_RESISTANCE_TIGHTEN,-11.31737279532744,2021-11-17,2023-05-23,,374,,1185
D6_HYBRID_DYNAMIC,-10.831213999501454,2021-11-17,2023-05-23,,374,,1185
T1_10D,-12.091842512172502,2021-11-18,2022-08-22,,188,,1184
T1_20D,-16.830920421007022,2021-11-12,2023-05-23,,377,,1188
T1_30D,-17.696008119766482,2021-11-12,2023-03-02,,325,,1188
T1_45D,-16.641713671751358,2021-11-12,2023-03-13,,331,,1188
T1_63D,-16.321996835616716,2021-11-12,2023-03-28,,342,,1188
T2_10D,-12.524580088539693,2021-11-16,2023-05-23,2024-09-12,375,322.0,696
T2_20D,-18.283336985685505,2021-11-12,2023-05-23,,377,,1188
T2_30D,-19.63729350629867,2021-11-12,2023-03-02,,325,,1188
T2_45D,-18.978968147991182,2021-11-12,2023-05-23,,377,,1188
T2_63D,-20.87518011370412,2021-11-12,2023-03-28,,342,,1188
