Policy,Ending Equity,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions
D1_TRAIL_ONLY,120093.40818664426,11.014154690292315,0.0,1573,0.5830804248861912
D2_BREAK_EVEN_TRAIL,116768.1581502041,10.89353004347227,0.0,1581,0.5781487101669196
D3_PARTIAL_T1_TRAIL,114683.69125831718,9.970838711569172,0.0,1576,0.582701062215478
D4_TREND_PROTECT,112864.05027786027,9.507212305564787,0.0,1609,0.5618361153262519
D5_RESISTANCE_TIGHTEN,114128.78865780312,9.515765457069183,0.0,1630,0.537556904400607
D6_HYBRID_DYNAMIC,112424.67855400706,9.044191879859238,0.0,1663,0.5166919575113809
T1_10D,111851.72334523531,10.656613070098256,0.0,1635,0.5572837632776935
T1_20D,102264.14012945401,14.649964086214142,0.0,1343,0.791350531107739
T1_30D,109595.54529254179,16.501703711227787,11.638531474520569,1278,0.8975720789074355
T1_45D,108687.86480727937,17.640259576589905,14.093881066645908,1185,0.9669954476479514
T1_63D,109120.89084382381,18.00160225776999,14.19081107424947,1122,0.9943095599393019
T2_10D,115699.38520388668,11.614006968927674,0.0,1593,0.6020485584218513
T2_20D,114051.3039934779,16.750808967020177,13.47084141821086,1253,0.8930197268588771
T2_30D,114928.96973710699,19.674477556967975,16.40926418036655,1152,1.0595599393019728
T2_45D,109971.97657850705,21.782298083011373,16.865732815522577,1046,1.1893019726858878
T2_63D,106745.30976890605,22.78545366417465,17.740527516894982,970,1.255311077389985
