Policy,Period,Start Equity (Prior Session),End Equity,Return %,First Session,Last Session
D1_TRAIL_ONLY,2016-2020,100000.0,109978.99809954618,9.978998099546189,2016-01-01,2020-12-31
D1_TRAIL_ONLY,2021-2023,109978.99809954618,119729.0868940658,8.865409726404705,2021-01-01,2023-12-29
D1_TRAIL_ONLY,2024-2026,119729.0868940658,120093.40818664426,0.3042880406336046,2024-01-01,2026-08-28
D2_BREAK_EVEN_TRAIL,2016-2020,100000.0,108528.1762516956,8.528176251695596,2016-01-01,2020-12-31
D2_BREAK_EVEN_TRAIL,2021-2023,108528.1762516956,118332.40203388421,9.033806814785983,2021-01-01,2023-12-29
D2_BREAK_EVEN_TRAIL,2024-2026,118332.40203388421,116768.1581502041,-1.321906643314985,2024-01-01,2026-08-28
D3_PARTIAL_T1_TRAIL,2016-2020,100000.0,106219.22354029155,6.219223540291563,2016-01-01,2020-12-31
D3_PARTIAL_T1_TRAIL,2021-2023,106219.22354029155,114858.11273693145,8.133075076907282,2021-01-01,2023-12-29
D3_PARTIAL_T1_TRAIL,2024-2026,114858.11273693145,114683.69125831718,-0.15185821398072674,2024-01-01,2026-08-28
D4_TREND_PROTECT,2016-2020,100000.0,106796.70476024774,6.79670476024774,2016-01-01,2020-12-31
D4_TREND_PROTECT,2021-2023,106796.70476024774,114396.59722088906,7.116223742766814,2021-01-01,2023-12-29
D4_TREND_PROTECT,2024-2026,114396.59722088906,112864.05027786027,-1.3396787843869107,2024-01-01,2026-08-28
D5_RESISTANCE_TIGHTEN,2016-2020,100000.0,105740.54784063499,5.74054784063498,2016-01-01,2020-12-31
D5_RESISTANCE_TIGHTEN,2021-2023,105740.54784063499,113001.87121030167,6.867113437515449,2021-01-01,2023-12-29
D5_RESISTANCE_TIGHTEN,2024-2026,113001.87121030167,114128.78865780312,0.9972555634978786,2024-01-01,2026-08-28
D6_HYBRID_DYNAMIC,2016-2020,100000.0,106160.06050037542,6.160060500375408,2016-01-01,2020-12-31
D6_HYBRID_DYNAMIC,2021-2023,106160.06050037542,112603.04991715257,6.069127491458404,2021-01-01,2023-12-29
D6_HYBRID_DYNAMIC,2024-2026,112603.04991715257,112424.67855400706,-0.1584072218974164,2024-01-01,2026-08-28
T1_10D,2016-2020,100000.0,106806.28725479645,6.8062872547964615,2016-01-01,2020-12-31
T1_10D,2021-2023,106806.28725479645,114649.2523197436,7.343167959988173,2021-01-01,2023-12-29
T1_10D,2024-2026,114649.2523197436,111851.72334523531,-2.4400760736810523,2024-01-01,2026-08-28
T1_20D,2016-2020,100000.0,106040.91538404321,6.040915384043211,2016-01-01,2020-12-31
T1_20D,2021-2023,106040.91538404321,104718.52175237579,-1.2470598041125713,2021-01-01,2023-12-29
T1_20D,2024-2026,104718.52175237579,102264.14012945401,-2.3437894097909084,2024-01-01,2026-08-28
T1_30D,2016-2020,100000.0,110594.4997756949,10.59449977569491,2016-01-01,2020-12-31
T1_30D,2021-2023,110594.4997756949,110095.51174952538,-0.45118701850594967,2021-01-01,2023-12-29
T1_30D,2024-2026,110095.51174952538,109595.54529254179,-0.4541206530935149,2024-01-01,2026-08-28
T1_45D,2016-2020,100000.0,109011.43927699872,9.011439276998722,2016-01-01,2020-12-31
T1_45D,2021-2023,109011.43927699872,110594.0991765598,1.4518291933927507,2021-01-01,2023-12-29
T1_45D,2024-2026,110594.0991765598,108687.86480727937,-1.7236311733388132,2024-01-01,2026-08-28
T1_63D,2016-2020,100000.0,109154.80255130632,9.154802551306318,2016-01-01,2020-12-31
T1_63D,2021-2023,109154.80255130632,111380.06262746226,2.0386277324902835,2021-01-01,2023-12-29
T1_63D,2024-2026,111380.06262746226,109120.89084382381,-2.028344867424614,2024-01-01,2026-08-28
T2_10D,2016-2020,100000.0,105474.54840870456,5.47454840870456,2016-01-01,2020-12-31
T2_10D,2021-2023,105474.54840870456,118247.68368950686,12.110158776226765,2021-01-01,2023-12-29
T2_10D,2024-2026,118247.68368950686,115699.38520388668,-2.155051503851413,2024-01-01,2026-08-28
T2_20D,2016-2020,100000.0,110104.2296685962,10.10422966859621,2016-01-01,2020-12-31
T2_20D,2021-2023,110104.2296685962,114192.45327917955,3.7130486475301927,2021-01-01,2023-12-29
T2_20D,2024-2026,114192.45327917955,114051.3039934779,-0.12360649206526464,2024-01-01,2026-08-28
T2_30D,2016-2020,100000.0,113098.16776770251,13.098167767702517,2016-01-01,2020-12-31
T2_30D,2021-2023,113098.16776770251,118797.8362341252,5.039576306956195,2021-01-01,2023-12-29
T2_30D,2024-2026,118797.8362341252,114928.96973710699,-3.2566809461019974,2024-01-01,2026-08-28
T2_45D,2016-2020,100000.0,105530.15084056163,5.530150840561632,2016-01-01,2020-12-31
T2_45D,2021-2023,105530.15084056163,114109.6342865962,8.129888356737712,2021-01-01,2023-12-29
T2_45D,2024-2026,114109.6342865962,109971.97657850705,-3.626037129956161,2024-01-01,2026-08-28
T2_63D,2016-2020,100000.0,106361.81874423663,6.361818744236625,2016-01-01,2020-12-31
T2_63D,2021-2023,106361.81874423663,112466.1836734076,5.739244591002968,2021-01-01,2023-12-29
T2_63D,2024-2026,112466.1836734076,106745.30976890605,-5.086750272521467,2024-01-01,2026-08-28
