Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino RF 6%,Calmar,Max Drawdown %,Max Drawdown Start Date,Max Drawdown Trough Date,Recovery Date,Drawdown Duration Sessions,Recovery Duration Sessions,Longest Underwater Duration Sessions,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Turnover (Gross Notional / Average Equity),Total Slippage,Total Transaction Costs
D1_TRAIL_ONLY,100000.0,120093.40818664426,20.093408186644268,1.7331715651083712,4.001710027986363,-0.9988361120414783,0.4574324549937078,-1.416473234311538,0.14655772247154844,-11.825863119869616,2021-11-16,2023-05-23,,375,,1186,285,25.263157894736842,1379.1035950296503,-371.84061340605876,0.0849971774814675,-0.3033588120922218,1.2536980800414588,6.392982456140351,3.0,34,11.014154690292315,0.0,1573,0.5830804248861912,1,114.95748634116724,4197.382854173885,6483.041136760385
D2_BREAK_EVEN_TRAIL,100000.0,116768.1581502041,16.768158150204094,1.4654421272180196,3.979924003680656,-1.071972797587001,0.39226735442511523,-1.5109767237985006,0.12472610709892926,-11.74928137583635,2021-11-16,2023-05-23,,375,,1186,285,24.561403508771928,1345.6682071684068,-360.1330993096944,0.06990155419704903,-0.3033588120922218,1.2165628024923512,6.347368421052631,3.0,34,10.89353004347227,0.0,1581,0.5781487101669196,1,114.62928154000475,4125.7550163147025,6366.640305393494
D3_PARTIAL_T1_TRAIL,100000.0,114683.69125831718,14.68369125831719,1.2940682542398996,3.7352370627735096,-1.190820945050226,0.3693382711412405,-1.6558133027595068,0.11732926198779389,-11.029373511055795,2021-11-17,2023-05-23,,374,,1185,285,25.6140350877193,1241.0541199274683,-358.0814127188111,0.06411330204876117,-0.3033588120922218,1.193427226754977,6.389473684210526,3.0,34,9.970838711569172,0.0,1576,0.582701062215478,1,114.8552780122468,4047.8232616766245,6247.6903765477755
D4_TREND_PROTECT,100000.0,112864.05027786027,12.864050277860262,1.1421437069405904,3.591383399489736,-1.2825694701442838,0.34008227151438064,-1.8063172633532332,0.10912969142904655,-10.465929958971653,2021-11-17,2023-05-23,,374,,1185,285,25.263157894736842,1167.652121633603,-334.3047064777424,0.050381183274567476,-0.29687566274380456,1.1806573496370938,6.196491228070175,3.0,34,9.507212305564787,0.0,1609,0.5618361153262519,0,114.62144150167077,4020.061218691087,6199.53010801484
D5_RESISTANCE_TIGHTEN,100000.0,114128.78865780312,14.128788657803115,1.2479714871273861,3.6792513005486707,-1.2221084971041596,0.36179106617845597,-1.696057783997152,0.11027042315356363,-11.31737279532744,2021-11-17,2023-05-23,,374,,1185,287,25.435540069686414,1228.108843166885,-352.9119480999039,0.061526194229216694,-0.3033588120922218,1.1870788939311638,5.937282229965157,3.0,30,9.515765457069183,0.0,1630,0.537556904400607,1,115.26472144973411,4021.511364159677,6214.347213688522
D6_HYBRID_DYNAMIC,100000.0,112424.67855400706,12.424678554007063,1.105127386275151,3.548092612440376,-1.3091634622211556,0.33328648615768286,-1.8392421625146658,0.10203171928151529,-10.831213999501454,2021-11-17,2023-05-23,,374,,1185,287,25.087108013937282,1158.8347763138313,-330.28569925855317,0.04780723671633425,-0.29687566274380456,1.1749673168002894,5.7456445993031355,3.0,30,9.044191879859238,0.0,1663,0.5166919575113809,0,115.14425534301668,3996.369076447931,6171.709242527594
T1_10D,100000.0,111851.72334523531,11.851723345235321,1.0566594543822028,4.5258575471781555,-1.028380500752375,0.2592350433514128,-1.3645295851318613,0.08738614097218805,-12.091842512172502,2021-11-18,2022-08-22,,188,,1184,250,45.2,877.5563799785933,-637.3149459295311,0.05316086301829035,-0.2627254092121991,1.1357396842484064,6.876,8.0,10,10.656613070098256,0.0,1635,0.5572837632776935,4,99.59294433187002,3501.517442777079,5355.360125180368
T1_20D,100000.0,102264.14012945401,2.2641401294540175,0.2103324450558386,4.898794670178131,-1.1213866764680485,0.06820482930006967,-1.4523092060101856,0.012496788042163058,-16.830920421007022,2021-11-12,2023-05-23,,377,,1188,241,39.83402489626556,1084.202821664143,-702.202281036577,-0.007872723438356457,-1.0275862291709061,1.022236839633198,9.655601659751037,8.0,20,14.649964086214142,0.0,1343,0.791350531107739,3,95.80006849693484,3241.5568725227395,4950.885892888682
T1_30D,100000.0,109595.54529254179,9.595545292541786,0.8635892737053563,5.131168112669814,-0.9393303200728771,0.1963885650201075,-1.2133926331194447,0.04880136061537659,-17.696008119766482,2021-11-12,2023-03-02,,325,,1188,239,39.33054393305439,1266.8128266933068,-755.0680028733033,0.05009494398071754,-1.0287624063987661,1.0876426681828646,10.899581589958158,8.0,30,16.501703711227787,11.638531474520569,1278,0.8975720789074355,7,94.94034358066398,3330.739769347399,5100.681493867451
T1_45D,100000.0,108687.86480727937,8.687864807279366,0.784897902893289,5.265313218934512,-0.9291694804300414,0.17761453902574686,-1.1878349788627285,0.04716448788718326,-16.641713671751358,2021-11-12,2023-03-13,,331,,1188,238,38.23529411764706,1332.3435380689511,-765.6829738571097,0.04358454670493654,-1.030539727821619,1.077187456370141,11.710084033613445,8.0,45,17.640259576589905,14.093881066645908,1185,0.9669954476479514,7,94.31432293249608,3304.2281020562814,5072.938965594221
T1_63D,100000.0,109120.89084382381,9.120890843823815,0.8225130815370685,5.290329535073695,-0.9173410805759187,0.18420930291353904,-1.169555142855663,0.05039292004653734,-16.321996835616716,2021-11-12,2023-03-28,,342,,1188,237,38.39662447257383,1353.083230114773,-780.888240387812,0.047291830571895795,-1.0306026541345368,1.0800010191774154,12.059071729957806,8.0,63,18.00160225776999,14.19081107424947,1122,0.9943095599393019,7,93.89483411266063,3304.692613707649,5064.79941820897
T2_10D,100000.0,115699.38520388668,15.699385203886674,1.3779227218877033,4.688627000273687,-0.922127350833732,0.3207875852031641,-1.2391871831249264,0.11001747860182053,-12.524580088539693,2021-11-16,2023-05-23,2024-09-12,375,322.0,696,248,45.16129032258064,911.4042611332396,-635.1315591399724,0.0681292968519075,-0.2627254092121991,1.1817523539016748,7.399193548387097,10.0,10,11.614006968927674,0.0,1593,0.6020485584218513,4,98.43317090982768,3485.2193530952645,5334.298755189252
T2_20D,100000.0,114051.3039934779,14.051303993477893,1.2415185430715958,5.313349182526768,-0.8336294850014576,0.26314852223177526,-1.0855563253682825,0.06790437347643992,-18.283336985685505,2021-11-12,2023-05-23,,377,,1188,236,38.559322033898304,1325.3534267090708,-734.8679850830863,0.05634733699576043,-1.0276243560637073,1.131867963701875,10.974576271186441,10.0,20,16.750808967020177,13.47084141821086,1253,0.8930197268588771,2,94.0038673461883,3362.9884859057,5143.720944935783
T2_30D,100000.0,114928.96973710699,14.928969737107,1.3143796009075448,5.702072308535419,-0.7601852923749279,0.2618228851472627,-0.9789331692101835,0.0669328286245738,-19.63729350629867,2021-11-12,2023-03-02,,325,,1188,231,35.4978354978355,1594.316373935461,-777.2145833932943,0.07440820203299509,-1.0311233833123623,1.1289147552126115,13.090909090909092,10.0,30,19.674477556967975,16.40926418036655,1152,1.0595599393019728,11,92.05809304619532,3393.200684367184,5153.567800142413
T2_45D,100000.0,109971.97657850705,9.971976578507057,0.896050858641928,5.9608752845467805,-0.7953517396534017,0.18228396818528658,-1.008096530936746,0.047212833261262944,-18.978968147991182,2021-11-12,2023-05-23,,377,,1188,227,32.158590308370044,1724.796106786883,-752.8450598502302,0.048766104546233695,-1.0338769268527934,1.0860111836006625,14.810572687224669,10.0,45,21.782298083011373,16.865732815522577,1046,1.1893019726858878,13,90.04324771528685,3184.2745713368367,4846.471564521033
T2_63D,100000.0,106745.30976890605,6.74530976890606,0.6144671712472904,6.072598847966869,-0.8264913273207439,0.1331578565039256,-1.0455469251558245,0.02943529913995356,-20.87518011370412,2021-11-12,2023-03-28,,342,,1188,225,31.11111111111111,1800.1182012633894,-769.4384794808462,0.033078581032935706,-1.0351608519065847,1.0565582937451894,15.706666666666667,10.0,63,22.78545366417465,17.740527516894982,970,1.255311077389985,12,89.46185446974043,3141.504710143444,4790.272543072155
