Policy,Year,Start Equity (Prior Session),End Equity,Return %,First Session,Last Session
D1_TRAIL_ONLY,2016,100000.0,100882.90422047299,0.8829042204729909,2016-01-01,2016-12-30
D1_TRAIL_ONLY,2017,100882.90422047299,105791.85659826876,4.865990343683579,2017-01-02,2017-12-29
D1_TRAIL_ONLY,2018,105791.85659826876,106473.08173937883,0.6439296586852938,2018-01-01,2018-12-31
D1_TRAIL_ONLY,2019,106473.08173937883,110831.62887150695,4.093567182357716,2019-01-01,2019-12-31
D1_TRAIL_ONLY,2020,110831.62887150695,109978.99809954618,-0.769302752871448,2020-01-01,2020-12-31
D1_TRAIL_ONLY,2021,109978.99809954618,124634.78074110705,13.32598304659529,2021-01-01,2021-12-31
D1_TRAIL_ONLY,2022,124634.78074110705,115517.12282689082,-7.315500424520782,2022-01-03,2022-12-30
D1_TRAIL_ONLY,2023,115517.12282689082,119729.0868940658,3.6461815911800866,2023-01-02,2023-12-29
D1_TRAIL_ONLY,2024,119729.0868940658,122824.52735240436,2.5853704714856374,2024-01-01,2024-12-31
D1_TRAIL_ONLY,2025,122824.52735240436,122090.03408054238,-0.5980021154525561,2025-01-01,2025-12-31
D1_TRAIL_ONLY,2026,122090.03408054238,120093.40818664426,-1.6353717229540266,2026-01-01,2026-08-28
D2_BREAK_EVEN_TRAIL,2016,100000.0,100882.90422047299,0.8829042204729909,2016-01-01,2016-12-30
D2_BREAK_EVEN_TRAIL,2017,100882.90422047299,104093.54633915045,3.1825433094796685,2017-01-02,2017-12-29
D2_BREAK_EVEN_TRAIL,2018,104093.54633915045,104774.35147140906,0.6540320281148482,2018-01-01,2018-12-31
D2_BREAK_EVEN_TRAIL,2019,104774.35147140906,109121.37133543025,4.148935119113961,2019-01-01,2019-12-31
D2_BREAK_EVEN_TRAIL,2020,109121.37133543025,108528.1762516956,-0.5436103638316814,2020-01-01,2020-12-31
D2_BREAK_EVEN_TRAIL,2021,108528.1762516956,122909.52865996296,13.251261474176545,2021-01-01,2021-12-31
D2_BREAK_EVEN_TRAIL,2022,122909.52865996296,113993.53139223105,-7.254113952709551,2022-01-03,2022-12-30
D2_BREAK_EVEN_TRAIL,2023,113993.53139223105,118332.40203388421,3.8062428531351555,2023-01-02,2023-12-29
D2_BREAK_EVEN_TRAIL,2024,118332.40203388421,119318.98146145989,0.8337356553390851,2024-01-01,2024-12-31
