Calibration Year,Cohort Level,Observations,T1 Successes,P(T1 Before Stop),T2 Successes,P(T2 Before Stop),Cohort
2016,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL|80-89|80-89
2016,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|80-89|80-89
2016,1,9,2,0.2727272727272727,2,0.2727272727272727,PULLBACK|BULL|70-79|70-79
2016,1,27,10,0.3793103448275862,10,0.3793103448275862,PULLBACK|BULL|70-79|80-89
2016,1,10,3,0.3333333333333333,3,0.3333333333333333,PULLBACK|BULL|70-79|90-100
2016,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2016,1,3,1,0.4,0,0.2,PULLBACK|BULL|80-89|80-89
2016,1,5,1,0.2857142857142857,1,0.2857142857142857,PULLBACK|BULL|80-89|90-100
2016,1,16,3,0.2222222222222222,3,0.2222222222222222,PULLBACK|NEUTRAL|70-79|70-79
2016,1,50,16,0.3269230769230769,13,0.2692307692307692,PULLBACK|NEUTRAL|70-79|80-89
2016,1,13,2,0.2,2,0.2,PULLBACK|NEUTRAL|70-79|90-100
2016,1,14,5,0.375,3,0.25,PULLBACK|NEUTRAL|80-89|80-89
2016,1,7,0,0.1111111111111111,0,0.1111111111111111,PULLBACK|NEUTRAL|80-89|90-100
2016,1,3,2,0.6,2,0.6,PULLBACK|STRONG BULL|70-79|70-79
2016,1,65,31,0.47761194029850745,29,0.44776119402985076,PULLBACK|STRONG BULL|70-79|80-89
2016,1,21,11,0.5217391304347826,8,0.391304347826087,PULLBACK|STRONG BULL|70-79|90-100
2016,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|STRONG BULL|80-89|80-89
2016,1,4,2,0.5,1,0.3333333333333333,PULLBACK|STRONG BULL|80-89|90-100
2016,2,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL
2016,2,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL
2016,2,55,18,0.3333333333333333,16,0.2982456140350877,PULLBACK|BULL
2016,2,100,26,0.2647058823529412,21,0.21568627450980393,PULLBACK|NEUTRAL
2016,2,100,49,0.49019607843137253,42,0.4215686274509804,PULLBACK|STRONG BULL
2016,3,3,2,0.6,2,0.6,BREAKOUT
2016,3,255,93,0.3657587548638132,79,0.311284046692607,PULLBACK
2016,4,258,95,0.36923076923076925,81,0.3153846153846154,OVERALL
2017,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL|80-89|80-89
2017,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|80-89|80-89
2017,1,10,2,0.25,2,0.25,PULLBACK|BULL|70-79|70-79
2017,1,33,12,0.37142857142857144,12,0.37142857142857144,PULLBACK|BULL|70-79|80-89
2017,1,13,4,0.3333333333333333,3,0.26666666666666666,PULLBACK|BULL|70-79|90-100
2017,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2017,1,5,1,0.2857142857142857,0,0.14285714285714285,PULLBACK|BULL|80-89|80-89
2017,1,5,1,0.2857142857142857,1,0.2857142857142857,PULLBACK|BULL|80-89|90-100
2017,1,16,3,0.2222222222222222,3,0.2222222222222222,PULLBACK|NEUTRAL|70-79|70-79
2017,1,53,18,0.34545454545454546,15,0.2909090909090909,PULLBACK|NEUTRAL|70-79|80-89
2017,1,14,2,0.1875,2,0.1875,PULLBACK|NEUTRAL|70-79|90-100
2017,1,18,5,0.3,3,0.2,PULLBACK|NEUTRAL|80-89|80-89
2017,1,7,0,0.1111111111111111,0,0.1111111111111111,PULLBACK|NEUTRAL|80-89|90-100
2017,1,3,2,0.6,2,0.6,PULLBACK|STRONG BULL|70-79|70-79
2017,1,72,34,0.47297297297297297,30,0.4189189189189189,PULLBACK|STRONG BULL|70-79|80-89
2017,1,28,13,0.4666666666666667,9,0.3333333333333333,PULLBACK|STRONG BULL|70-79|90-100
2017,1,10,3,0.3333333333333333,2,0.25,PULLBACK|STRONG BULL|80-89|80-89
2017,1,5,2,0.42857142857142855,1,0.2857142857142857,PULLBACK|STRONG BULL|80-89|90-100
2017,2,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL
2017,2,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL
2017,2,67,21,0.3188405797101449,18,0.2753623188405797,PULLBACK|BULL
2017,2,108,28,0.2636363636363636,23,0.21818181818181817,PULLBACK|NEUTRAL
2017,2,118,54,0.4583333333333333,44,0.375,PULLBACK|STRONG BULL
2017,3,3,2,0.6,2,0.6,BREAKOUT
2017,3,293,103,0.3525423728813559,85,0.29152542372881357,PULLBACK
2017,4,296,105,0.35570469798657717,87,0.2953020134228188,OVERALL
2018,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL|80-89|80-89
2018,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|STRONG BULL|70-79|90-100
2018,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|80-89|80-89
2018,1,10,2,0.25,2,0.25,PULLBACK|BULL|70-79|70-79
2018,1,35,12,0.35135135135135137,12,0.35135135135135137,PULLBACK|BULL|70-79|80-89
2018,1,13,4,0.3333333333333333,3,0.26666666666666666,PULLBACK|BULL|70-79|90-100
2018,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2018,1,5,1,0.2857142857142857,0,0.14285714285714285,PULLBACK|BULL|80-89|80-89
2018,1,6,1,0.25,1,0.25,PULLBACK|BULL|80-89|90-100
2018,1,18,3,0.2,3,0.2,PULLBACK|NEUTRAL|70-79|70-79
2018,1,55,19,0.3508771929824561,16,0.2982456140350877,PULLBACK|NEUTRAL|70-79|80-89
2018,1,15,2,0.17647058823529413,2,0.17647058823529413,PULLBACK|NEUTRAL|70-79|90-100
2018,1,18,5,0.3,3,0.2,PULLBACK|NEUTRAL|80-89|80-89
2018,1,7,0,0.1111111111111111,0,0.1111111111111111,PULLBACK|NEUTRAL|80-89|90-100
2018,1,3,2,0.6,2,0.6,PULLBACK|STRONG BULL|70-79|70-79
2018,1,82,41,0.5,37,0.4523809523809524,PULLBACK|STRONG BULL|70-79|80-89
2018,1,45,21,0.46808510638297873,17,0.3829787234042553,PULLBACK|STRONG BULL|70-79|90-100
