Friction Multiplier,Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino,Max Drawdown %,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Total Slippage,Total Transaction Costs
0.5,D1_TRAIL_ONLY,100000.0,126692.50736950664,26.692507369506636,2.245169685402315,4.02627588783475,-0.9083067064978245,0.5819041402374394,-0.900250828618297,-10.941802103071241,285,25.6140350877193,1422.5490059409308,-363.93193426500585,0.11143034353621051,-0.28459967961721006,1.3459659397135115,6.392982456140351,3.0,34,11.167024631093684,0.0,1573,0.5830804248861912,1,2180.5763376663444,3341.2611753090805
0.5,D2_BREAK_EVEN_TRAIL,100000.0,122326.89469645679,22.32689469645679,1.909252435209674,3.9869982226247456,-1.001734786923232,0.5031567793564345,-0.9820708727136653,-10.97905004705556,285,24.912280701754387,1376.8689452813765,-352.48037578748114,0.09616370464894612,-0.28459967961721006,1.2959917510165346,6.347368421052631,3.0,34,11.032567140352931,0.0,1581,0.5781487101669196,1,2136.970349463713,3273.9315827141677
0.5,D3_PARTIAL_T1_TRAIL,100000.0,120053.17144388403,20.053171443884032,1.7299723049399862,3.716966990763456,-1.1255593096173373,0.4886600296745659,-1.0679838538015616,-10.26866083499387,285,25.964912280701753,1265.5291319793107,-348.79613423026046,0.08957877949061653,-0.28459967961721006,1.2724764350726967,6.389473684210526,3.0,34,9.972387112511772,0.0,1576,0.582701062215478,1,2088.517472027135,3192.117753000175
0.5,D4_TREND_PROTECT,100000.0,117991.33499547932,17.991334995479313,1.5647189651025517,3.5799873200125827,-1.2162910389967225,0.4596925507940119,-1.1671658521319506,-9.771017634867441,285,25.6140350877193,1193.0431997698083,-325.94725748922997,0.0761482730109209,-0.2802130275237023,1.2603635581051909,6.196491228070175,3.0,34,9.50394644830554,0.0,1609,0.5618361153262519,0,2080.4349399448433,3177.7654352166264
0.5,D5_RESISTANCE_TIGHTEN,100000.0,119460.68776369741,19.460687763697404,1.6827505494471096,3.6779014156695093,-1.1507671377379904,0.4805979593353866,-1.0643134259710239,-10.681980613188724,287,25.78397212543554,1258.6821932302112,-345.9239180062824,0.08801377289563106,-0.28459967961721006,1.2641179939552645,5.937282229965157,3.0,30,9.535060672529948,0.0,1630,0.537556904400607,1,2085.59475760398,3192.6146327688143
0.5,D6_HYBRID_DYNAMIC,100000.0,117567.43574002598,17.56743574002597,1.5304200201659457,3.5391376960375864,-1.2404627003440323,0.4548655166726695,-1.159454606253872,-10.157292631172432,287,25.435540069686414,1187.0727121342823,-322.84519741017107,0.07404997990049071,-0.2802130275237023,1.2542730134243851,5.7456445993031355,3.0,30,9.058389358304137,0.0,1663,0.5166919575113809,0,2069.324343806257,3168.7337130060628
1.0,D1_TRAIL_ONLY,100000.0,120093.40818664423,20.093408186644226,1.7331715651083712,4.0017100279863635,-1.0419265585376076,0.4574324549937061,-1.0165847332805857,-11.82586311986964,285,25.263157894736842,1379.1035950296503,-371.8406134060587,0.08499717748146751,-0.3033588120922218,1.253698080041459,6.392982456140351,3.0,34,11.014154690292317,0.0,1573,0.5830804248861912,1,4197.382854173885,6483.041136760385
1.0,D2_BREAK_EVEN_TRAIL,100000.0,116768.15815020405,16.768158150204048,1.4654421272180196,3.979924003680657,-1.1152991203244453,0.3922673544251138,-1.0772139668409253,-11.749281375836373,285,24.561403508771928,1345.6682071684065,-360.1330993096944,0.06990155419704905,-0.3033588120922218,1.216562802492351,6.347368421052631,3.0,34,10.893530043472275,0.0,1581,0.5781487101669196,1,4125.7550163147025,6366.640305393494
1.0,D3_PARTIAL_T1_TRAIL,100000.0,114683.6912583172,14.68369125831719,1.2940682542398996,3.7352370627735096,-1.236985477302411,0.3693382711412408,-1.1628458443480778,-11.029373511055773,285,25.6140350877193,1241.0541199274683,-358.0814127188111,0.06411330204876119,-0.3033588120922218,1.193427226754977,6.389473684210526,3.0,34,9.970838711569169,0.0,1576,0.582701062215478,1,4047.8232616766245,6247.6903765477755
1.0,D4_TREND_PROTECT,100000.0,112864.0502778603,12.864050277860306,1.1421437069406126,3.591383399489735,-1.3305831330348747,0.340082271514381,-1.2669784919958904,-10.465929958971632,285,25.263157894736842,1167.652121633603,-334.3047064777424,0.050381183274567476,-0.29687566274380456,1.1806573496370938,6.196491228070175,3.0,34,9.507212305564785,0.0,1609,0.5618361153262519,0,4020.061218691087,6199.53010801484
1.0,D5_RESISTANCE_TIGHTEN,100000.0,114128.78865780316,14.12878865780316,1.2479714871273861,3.6792513005486702,-1.2689754974170355,0.3617910661784566,-1.1646722584920464,-11.317372795327385,287,25.435540069686414,1228.108843166885,-352.9119480999039,0.06152619422921671,-0.3033588120922218,1.1870788939311638,5.937282229965157,3.0,30,9.515765457069179,0.0,1630,0.537556904400607,1,4021.511364159677,6214.347213688521
1.0,D6_HYBRID_DYNAMIC,100000.0,112424.67855400709,12.424678554007084,1.105127386275151,3.548092612440376,-1.3577629467017376,0.33328648615768347,-1.2591758146616354,-10.831213999501422,287,25.087108013937282,1158.8347763138313,-330.2856992585531,0.04780723671633425,-0.29687566274380456,1.1749673168002897,5.7456445993031355,3.0,30,9.044191879859238,0.0,1663,0.5166919575113809,0,3996.369076447931,6171.709242527594
1.5,D1_TRAIL_ONLY,100000.0,115156.30475601523,15.156304756015238,1.3331700173470296,4.014993128461251,-1.1383052296572682,0.3560933429000661,-1.1019680075075369,-12.429839426488043,285,24.912280701754387,1354.737704149399,-378.6451973765988,0.058990948411244276,-0.3258894129647504,1.1870454306320697,6.392982456140351,3.0,34,11.000853222840936,0.0,1573,0.5830804248861912,1,6108.469896298038,9495.270258887736
