Policy,Ending Equity,Average Exposure %,Median Exposure %
D1_TRAIL_ONLY,120093.40818664423,11.014154690292317,0.0
D2_BREAK_EVEN_TRAIL,116768.15815020405,10.893530043472275,0.0
D3_PARTIAL_T1_TRAIL,114683.6912583172,9.970838711569169,0.0
D4_TREND_PROTECT,112864.0502778603,9.507212305564785,0.0
D5_RESISTANCE_TIGHTEN,114128.78865780316,9.515765457069179,0.0
D6_HYBRID_DYNAMIC,112424.67855400709,9.044191879859238,0.0
T1_10D,111851.72334523531,10.656613070098256,0.0
T1_20D,102264.14012945401,14.649964086214142,0.0
T1_30D,109595.54529254179,16.501703711227787,11.638531474520569
T1_45D,108687.86480727943,17.640259576589894,14.093881066645904
T1_63D,109120.89084382384,18.00160225776998,14.19081107424947
T2_10D,115699.38520388668,11.614006968927674,0.0
T2_20D,114051.30399347792,16.750808967020173,13.470841418210858
T2_30D,114928.96973710702,19.674477556967975,16.40926418036654
T2_45D,109971.97657850705,21.782298083011373,16.865732815522577
T2_63D,106745.30976890605,22.78545366417465,17.740527516894982
