Policy,Period,Start Equity,End Equity,Return %
D1_TRAIL_ONLY,2016-2020,100000.0,109978.99809954618,9.978998099546189
D1_TRAIL_ONLY,2021-2023,109978.99809954618,119729.08689406577,8.865409726404682
D1_TRAIL_ONLY,2024-2026,119881.12412551108,120093.40818664423,0.17707880425854583
D2_BREAK_EVEN_TRAIL,2016-2020,100000.0,108528.17625169556,8.528176251695573
D2_BREAK_EVEN_TRAIL,2021-2023,108528.17625169556,118332.40203388418,9.033806814785983
D2_BREAK_EVEN_TRAIL,2024-2026,118484.43926532949,116768.15815020405,-1.4485287061890673
D3_PARTIAL_T1_TRAIL,2016-2020,100000.0,106219.22354029155,6.219223540291563
D3_PARTIAL_T1_TRAIL,2021-2023,106219.22354029155,114858.11273693148,8.133075076907325
D3_PARTIAL_T1_TRAIL,2024-2026,115007.41815685335,114683.6912583172,-0.2814834936079036
D4_TREND_PROTECT,2016-2020,100000.0,106796.70476024774,6.79670476024774
D4_TREND_PROTECT,2021-2023,106796.70476024774,114396.59722088909,7.116223742766836
D4_TREND_PROTECT,2024-2026,114545.90264081096,112864.0502778603,-1.4682780651042227
D5_RESISTANCE_TIGHTEN,2016-2020,100000.0,105740.54784063499,5.74054784063498
D5_RESISTANCE_TIGHTEN,2021-2023,105740.54784063499,113001.87121030173,6.867113437515493
D5_RESISTANCE_TIGHTEN,2024-2026,113151.1766302236,114128.78865780316,0.8639875047648626
D6_HYBRID_DYNAMIC,2016-2020,100000.0,106160.06050037542,6.160060500375408
D6_HYBRID_DYNAMIC,2021-2023,106160.06050037542,112603.0499171526,6.069127491458426
D6_HYBRID_DYNAMIC,2024-2026,112749.62352555104,112424.67855400709,-0.2882004936099136
T1_10D,2016-2020,100000.0,106806.28725479645,6.8062872547964615
T1_10D,2021-2023,106806.28725479645,114649.2523197436,7.343167959988173
T1_10D,2024-2026,114728.47485392328,111851.72334523531,-2.5074433459965073
T1_20D,2016-2020,100000.0,106040.91538404321,6.040915384043211
T1_20D,2021-2023,105883.68271802759,104718.52175237579,-1.1004159807651126
T1_20D,2024-2026,104851.84475042266,102264.14012945401,-2.467962892906772
T1_30D,2016-2020,100000.0,110594.4997756949,10.59449977569491
T1_30D,2021-2023,110426.7849319449,110095.51174952538,-0.2999935048581537
T1_30D,2024-2026,110242.08535792382,109595.54529254179,-0.5864730001096219
T1_45D,2016-2020,100000.0,109011.43927699875,9.011439276998745
T1_45D,2021-2023,108848.96552211593,110594.09917655986,1.6032615891873991
T1_45D,2024-2026,110740.6727849583,108687.86480727943,-1.853707338102517
T1_63D,2016-2020,100000.0,109154.80255130632,9.154802551306318
T1_63D,2021-2023,108992.3287964235,111380.06262746229,2.1907356759929497
T1_63D,2024-2026,111526.63623586073,109120.89084382384,-2.157103875121924
T2_10D,2016-2020,100000.0,105474.54840870456,5.47454840870456
T2_10D,2021-2023,105474.54840870456,118247.68368950686,12.110158776226765
T2_10D,2024-2026,118329.63803520998,115699.38520388668,-2.2228182854245326
T2_20D,2016-2020,100000.0,110104.22966859624,10.104229668596233
T2_20D,2021-2023,109941.75591371342,114192.45327917958,3.8663175152507723
T2_20D,2024-2026,114341.75869910145,114051.30399347792,-0.25402329728710926
T2_30D,2016-2020,100000.0,113098.16776770251,13.098167767702517
T2_30D,2021-2023,112930.45292395251,118797.83623412524,5.1955722821051875
T2_30D,2024-2026,118942.04264781835,114928.96973710702,-3.373973425522747
T2_45D,2016-2020,100000.0,105530.15084056163,5.530150840561632
T2_45D,2021-2023,105372.91817454601,114109.6342865962,8.291234848007312
T2_45D,2024-2026,114265.67408151808,109971.97657850705,-3.7576442247633124
T2_63D,2016-2020,100000.0,106361.81874423663,6.361818744236625
T2_63D,2021-2023,106204.58607822101,112466.1836734076,5.895788333071472
T2_63D,2024-2026,112619.49165680604,106745.30976890605,-5.2159548950911905
