Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D1_TRAIL_ONLY,Setup,BREAKOUT,19,31.57894736842105,704.6333589096098,-311.325940425854,0.024144328048138448,-0.23235424925061676,1.0446138730841603,13.789473684210526
D1_TRAIL_ONLY,Setup,PULLBACK,266,24.81203007518797,1440.419071040563,-375.774067149772,0.08934380958384817,-0.3058943583698609,1.264957683346282,5.864661654135339
D2_BREAK_EVEN_TRAIL,Setup,BREAKOUT,19,31.57894736842105,700.072174299491,-306.1760154071239,0.024144328048138448,-0.23235424925061676,1.0553087702262747,13.789473684210526
D2_BREAK_EVEN_TRAIL,Setup,PULLBACK,266,24.06015037593985,1406.1928352498676,-363.6055849073846,0.07316992749339978,-0.3058943583698609,1.225301429198138,5.815789473684211
D3_PARTIAL_T1_TRAIL,Setup,BREAKOUT,19,31.57894736842105,709.2430839954126,-297.381911700276,0.03159374245745652,-0.23235424925061673,1.1007494032587886,13.789473684210526
D3_PARTIAL_T1_TRAIL,Setup,PULLBACK,266,25.18796992481203,1288.678988816906,-362.04670675519776,0.06643612773385438,-0.3058943583698609,1.198400199161154,5.860902255639098
D4_TREND_PROTECT,Setup,BREAKOUT,19,31.57894736842105,709.2430839954126,-294.260154802675,0.03159374245745652,-0.23235424925061673,1.1124270700650798,13.789473684210526
D4_TREND_PROTECT,Setup,PULLBACK,266,24.81203007518797,1209.325670509802,-336.9076023366218,0.05172314333293254,-0.29963743002434995,1.184530917380415,5.654135338345864
D5_RESISTANCE_TIGHTEN,Setup,BREAKOUT,19,31.57894736842105,785.8508539478081,-294.260154802675,0.06366272461631382,-0.23235424925061673,1.2325841205819295,13.631578947368421
D5_RESISTANCE_TIGHTEN,Setup,PULLBACK,268,25.0,1267.7140362312798,-356.7053476663914,0.061374723791325476,-0.3058943583698609,1.1846509960530123,5.391791044776119
D6_HYBRID_DYNAMIC,Setup,BREAKOUT,19,31.57894736842105,772.7359329218903,-292.3512207320343,0.06374908175831766,-0.23235424925061676,1.2199277046397417,13.631578947368421
D6_HYBRID_DYNAMIC,Setup,PULLBACK,268,24.62686567164179,1193.9346711676444,-332.7270270845172,0.046677031284253344,-0.2996374300243499,1.1724249461648364,5.186567164179104
