Calibration Year,As Of Date,Calibration Data End Date,Cohort Level,Observations,Eligible,Setup,Market Regime,Technical Band,Actionability Band,T1 Successes,P(T1 Before Stop),T1 Q25,T1 Median,T1 Q75,T2 Successes,P(T2 Before Stop),T2 Q25,T2 Median,T2 Q75,Cohort
2016,2016-01-01,2015-11-17,1,1,False,BREAKOUT,BULL,80-89,80-89,1,0.6666666666666666,18.0,18.0,18.0,1,0.6666666666666666,63.0,63.0,63.0,BREAKOUT|BULL|80-89|80-89
2016,2016-01-01,2015-11-17,1,2,False,BREAKOUT,STRONG BULL,80-89,80-89,1,0.5,46.0,46.0,46.0,1,0.5,54.0,54.0,54.0,BREAKOUT|STRONG BULL|80-89|80-89
2016,2016-01-01,2015-11-17,1,9,False,PULLBACK,BULL,70-79,70-79,2,0.2727272727272727,14.0,15.0,16.0,2,0.2727272727272727,21.75,26.5,31.25,PULLBACK|BULL|70-79|70-79
2016,2016-01-01,2015-11-17,1,27,False,PULLBACK,BULL,70-79,80-89,10,0.3793103448275862,3.0,7.0,19.25,10,0.3793103448275862,3.25,11.5,34.0,PULLBACK|BULL|70-79|80-89
2016,2016-01-01,2015-11-17,1,10,False,PULLBACK,BULL,70-79,90-100,3,0.3333333333333333,8.0,12.0,15.5,3,0.3333333333333333,10.0,12.0,19.0,PULLBACK|BULL|70-79|90-100
2016,2016-01-01,2015-11-17,1,1,False,PULLBACK,BULL,80-89,70-79,1,0.6666666666666666,11.0,11.0,11.0,0,0.3333333333333333,,,,PULLBACK|BULL|80-89|70-79
2016,2016-01-01,2015-11-17,1,3,False,PULLBACK,BULL,80-89,80-89,1,0.4,21.0,21.0,21.0,0,0.2,,,,PULLBACK|BULL|80-89|80-89
2016,2016-01-01,2015-11-17,1,5,False,PULLBACK,BULL,80-89,90-100,1,0.2857142857142857,21.0,21.0,21.0,1,0.2857142857142857,34.0,34.0,34.0,PULLBACK|BULL|80-89|90-100
2016,2016-01-01,2015-11-17,1,16,False,PULLBACK,NEUTRAL,70-79,70-79,3,0.2222222222222222,8.5,9.0,11.0,3,0.2222222222222222,15.5,16.0,16.5,PULLBACK|NEUTRAL|70-79|70-79
2016,2016-01-01,2015-11-17,1,50,True,PULLBACK,NEUTRAL,70-79,80-89,16,0.3269230769230769,4.0,8.0,9.5,13,0.2692307692307692,7.0,10.0,13.0,PULLBACK|NEUTRAL|70-79|80-89
