Dataset,Target,Total Rows,Applicable Rows,Available Rows,Not Applicable Rows,Data-End Censored Rows,Applicability/Status Contradictions,Partition Violations,Censoring Rate Among Applicable %,Availability Rate Among Applicable %
d1_position_day,D1_EXIT_NEXT_SESSION,4350,4350,4350,0,0,0,0,0,100
d1_position_day,D1_REMAINING_NET_R,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_10_SESSION_MAE,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_10_SESSION_MFE,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_10_SESSION_RETURN,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_20_SESSION_MAE,4350,4350,4348,0,2,0,0,0.0459770114943,99.9540229885
d1_position_day,NEXT_20_SESSION_MFE,4350,4350,4348,0,2,0,0,0.0459770114943,99.9540229885
d1_position_day,NEXT_20_SESSION_RETURN,4350,4350,4348,0,2,0,0,0.0459770114943,99.9540229885
d1_position_day,NEXT_5_SESSION_MAE,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_5_SESSION_MFE,4350,4350,4350,0,0,0,0,0,100
d1_position_day,NEXT_5_SESSION_RETURN,4350,4350,4350,0,0,0,0,0,100
trade_opportunity,D1_SHADOW_BARS_HELD,13544,828,828,12716,0,0,0,0,100
trade_opportunity,D1_SHADOW_EXIT_REASON,13544,828,828,12716,0,0,0,0,100
trade_opportunity,D1_SHADOW_NET_R,13544,828,828,12716,0,0,0,0,100
trade_opportunity,D1_SHADOW_NET_RETURN_PCT,13544,828,828,12716,0,0,0,0,100
trade_opportunity,ENTRY_FILLED,13544,13544,13540,0,4,0,0,0.0295333727112,99.9704666273
trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_R,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,FWD_CLOSE_RETURN_10_PCT,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,FWD_CLOSE_RETURN_10_R,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_R,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,FWD_CLOSE_RETURN_20_PCT,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,FWD_CLOSE_RETURN_20_R,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_R,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,FWD_CLOSE_RETURN_30_PCT,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,FWD_CLOSE_RETURN_30_R,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_R,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,FWD_CLOSE_RETURN_45_PCT,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,FWD_CLOSE_RETURN_45_R,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_R,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,FWD_CLOSE_RETURN_63_PCT,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,FWD_CLOSE_RETURN_63_R,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MAE_PCT_10_CONSERVATIVE,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MAE_PCT_20_CONSERVATIVE,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MAE_PCT_30_CONSERVATIVE,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MAE_PCT_45_CONSERVATIVE,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MAE_PCT_63_CONSERVATIVE,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MAE_R_10_CONSERVATIVE,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MAE_R_10_FULL_BAR_DIAGNOSTIC,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MAE_R_20_CONSERVATIVE,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MAE_R_20_FULL_BAR_DIAGNOSTIC,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MAE_R_30_CONSERVATIVE,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MAE_R_30_FULL_BAR_DIAGNOSTIC,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MAE_R_45_CONSERVATIVE,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MAE_R_45_FULL_BAR_DIAGNOSTIC,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MAE_R_63_CONSERVATIVE,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MAE_R_63_FULL_BAR_DIAGNOSTIC,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MFE_PCT_10_CONSERVATIVE,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MFE_PCT_20_CONSERVATIVE,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MFE_PCT_30_CONSERVATIVE,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MFE_PCT_45_CONSERVATIVE,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MFE_PCT_63_CONSERVATIVE,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MFE_R_10_CONSERVATIVE,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MFE_R_10_FULL_BAR_DIAGNOSTIC,13544,10302,10288,3242,14,0,0,0.135895942535,99.8641040575
trade_opportunity,MFE_R_20_CONSERVATIVE,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MFE_R_20_FULL_BAR_DIAGNOSTIC,13544,10302,10255,3242,47,0,0,0.456222092798,99.5437779072
trade_opportunity,MFE_R_30_CONSERVATIVE,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MFE_R_30_FULL_BAR_DIAGNOSTIC,13544,10302,10244,3242,58,0,0,0.562997476218,99.4370025238
trade_opportunity,MFE_R_45_CONSERVATIVE,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MFE_R_45_FULL_BAR_DIAGNOSTIC,13544,10302,10227,3242,75,0,0,0.728013977868,99.2719860221
trade_opportunity,MFE_R_63_CONSERVATIVE,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,MFE_R_63_FULL_BAR_DIAGNOSTIC,13544,10302,10212,3242,90,0,0,0.873616773442,99.1263832266
trade_opportunity,STOP_BEFORE_T1_63,13544,10302,10261,3242,41,0,0,0.397980974568,99.6020190254
trade_opportunity,STOP_BEFORE_T2_63,13544,10302,10256,3242,46,0,0,0.446515239759,99.5534847602
trade_opportunity,T1_BEFORE_STOP_63,13544,10302,10261,3242,41,0,0,0.397980974568,99.6020190254
trade_opportunity,T2_BEFORE_STOP_63,13544,10302,10256,3242,46,0,0,0.446515239759,99.5534847602
trade_opportunity,TIME_TO_T1_SESSIONS,13544,5703,5662,7841,41,0,0,0.718919866737,99.2810801333
trade_opportunity,TIME_TO_T2_SESSIONS,13544,3428,3382,10116,46,0,0,1.34189031505,98.6581096849
