Dataset,Era,Feature,Rows,Available Rows,Mean,Std,Min,Median,Max
signal_state,2011-2015,20 DMA,18936,18936,410.219244154,499.577031749,7.6894,277.83885,4172.2225
signal_state,2011-2015,200 DMA,18936,18936,378.997291529,433.050440228,8.8283,253.41305,3732.8803
signal_state,2011-2015,50 DMA,18936,18936,405.011651236,488.144890025,7.933,271.88525,4129.4138
signal_state,2011-2015,ADX,18936,18936,25.2079700042,9.77239068701,7.14,23.325,69.69
signal_state,2011-2015,Actionability Score,18936,18936,12.1742712294,20.5919487946,0,1,99
signal_state,2011-2015,Daily RSI,18936,18936,52.9975010562,11.9346209728,16.52,52.86,92.5
signal_state,2011-2015,Distance 20DMA %,18936,18936,0.783492321504,4.57165164616,-25.7559,0.69725,25.4801
signal_state,2011-2015,Distance 50DMA %,18936,18936,1.89510264575,7.33032111294,-30.1036,1.73465,39.8239
signal_state,2011-2015,Distance To Support %,18936,3816,1.6518577569,1.1363574833,0.000235718077413,1.44406759536,6.52581931042
signal_state,2011-2015,Distance To T1 %,18936,4178,5.00646943971,3.67609018581,-1.52003309633,4.04426371147,39.5647434924
signal_state,2011-2015,Distance To T2 %,18936,4178,11.9909305165,6.27347279793,0.83634659759,10.5267001902,65.3291527723
signal_state,2011-2015,Entry High,18936,4178,488.096003518,632.477844948,9.8749,304.62035,4190.0585
signal_state,2011-2015,Entry Low,18936,4178,479.527964816,622.785731272,9.5881,299.33915,4127.302
signal_state,2011-2015,Initial Risk %,18936,4178,5.53957773096,2.40578080549,1.28243412987,4.93035003411,25.5299074431
signal_state,2011-2015,Market Score,18936,18936,63.1796577947,31.0416832668,0,70,100
signal_state,2011-2015,NIFTY ADX,18936,18936,24.0128537697,8.43401165056,10.6511794686,22.3463489424,52.3992288053
signal_state,2011-2015,NIFTY ATR %,18936,18936,1.40442432075,0.37588479023,0.836708924669,1.30663442637,2.5120955512
signal_state,2011-2015,NIFTY Close,18936,18936,6594.51240893,1290.88962832,4544.20019531,6091.65014648,8996.25
signal_state,2011-2015,NIFTY Daily RSI,18936,18936,53.3462058237,12.0837022862,24.5213359667,53.5687744281,82.1693041107
signal_state,2011-2015,NIFTY Daily ST,18936,18936,6567.98931576,1300.85549683,4647.59409594,6059.3525648,8997.89490431
