Dataset,Feature,Rows,Missing Rows,Missing %,ML Allowed
d1_position_day,RS120,4350,35,0.804597701149,True
d1_position_day,RS20,4350,35,0.804597701149,True
d1_position_day,RS60,4350,35,0.804597701149,True
d1_position_day,ADX,4350,0,0,True
d1_position_day,ATR,4350,0,0,True
d1_position_day,Current Close,4350,0,0,True
d1_position_day,Current MAE Conservative To Date,4350,0,0,True
d1_position_day,Current MFE Conservative To Date,4350,0,0,True
d1_position_day,Current Market Regime,4350,0,0,True
d1_position_day,Current NIFTY ADX,4350,0,0,True
d1_position_day,Current NIFTY ATR %,4350,0,0,True
d1_position_day,Current NIFTY Close,4350,0,0,True
d1_position_day,Current NIFTY Daily RSI,4350,0,0,True
d1_position_day,Current NIFTY Daily ST Direction,4350,0,0,True
d1_position_day,Current NIFTY Drawdown 252D %,4350,0,0,True
d1_position_day,Current NIFTY Return 20D %,4350,0,0,True
d1_position_day,Current NIFTY Return 5D %,4350,0,0,True
d1_position_day,Current NIFTY Volatility 20D %,4350,0,0,True
d1_position_day,Current NIFTY Weekly RSI,4350,0,0,True
d1_position_day,Current NIFTY Weekly ST Direction,4350,0,0,True
d1_position_day,Current R,4350,0,0,True
d1_position_day,Current Stock Realized Volatility 20D %,4350,0,0,True
d1_position_day,Current Stock Return 20D %,4350,0,0,True
d1_position_day,Current Stock Return 5D %,4350,0,0,True
d1_position_day,Current Stop,4350,0,0,True
d1_position_day,Current Volume Ratio,4350,0,0,True
d1_position_day,Daily ST,4350,0,0,True
d1_position_day,Daily ST Direction,4350,0,0,True
d1_position_day,Days Held,4350,0,0,True
d1_position_day,Entry Actionability Score,4350,0,0,True
d1_position_day,Entry Market Regime,4350,0,0,True
d1_position_day,Entry Technical Score,4350,0,0,True
d1_position_day,Executed Entry,4350,0,0,True
d1_position_day,Initial Stop,4350,0,0,True
d1_position_day,Original Signal,4350,0,0,True
d1_position_day,Original T1,4350,0,0,True
d1_position_day,Original T2,4350,0,0,True
d1_position_day,Previous Session Stop,4350,0,0,True
d1_position_day,RSI,4350,0,0,True
d1_position_day,SMA20,4350,0,0,True
d1_position_day,SMA200,4350,0,0,True
d1_position_day,SMA50,4350,0,0,True
d1_position_day,Setup,4350,0,0,True
d1_position_day,Stop Distance R,4350,0,0,True
d1_position_day,Stop Revision Count,4350,0,0,True
d1_position_day,T1 Distance R,4350,0,0,True
d1_position_day,T2 Distance R,4350,0,0,True
d1_position_day,Weekly RSI,4350,0,0,True
d1_position_day,Weekly ST,4350,0,0,True
d1_position_day,Weekly ST Direction,4350,0,0,True
signal_state,Resistance 2,68081,65383,96.037073486,True
signal_state,Distance To Support %,68081,54985,80.7640898342,True
signal_state,Support,68081,54985,80.7640898342,True
signal_state,Support Type,68081,54985,80.7640898342,True
signal_state,Resistance 1,68081,54690,80.3307824503,True
signal_state,Distance To T1 %,68081,53728,78.9177597274,True
signal_state,Distance To T2 %,68081,53728,78.9177597274,True
signal_state,Entry High,68081,53728,78.9177597274,True
signal_state,Entry Low,68081,53728,78.9177597274,True
signal_state,Initial Risk %,68081,53728,78.9177597274,True
signal_state,R:R T1,68081,53728,78.9177597274,True
signal_state,R:R T2,68081,53728,78.9177597274,True
signal_state,Stop Distance ATR,68081,53728,78.9177597274,True
signal_state,Stop Loss,68081,53728,78.9177597274,True
signal_state,T1 Distance ATR,68081,53728,78.9177597274,True
signal_state,T2 Distance ATR,68081,53728,78.9177597274,True
signal_state,Target 1,68081,53728,78.9177597274,True
signal_state,Target 2,68081,53728,78.9177597274,True
signal_state,20 DMA,68081,0,0,True
signal_state,200 DMA,68081,0,0,True
signal_state,50 DMA,68081,0,0,True
signal_state,ADX,68081,0,0,True
signal_state,Actionability Score,68081,0,0,True
signal_state,Daily RSI,68081,0,0,True
signal_state,Daily ST,68081,0,0,True
signal_state,Distance 20DMA %,68081,0,0,True
signal_state,Distance 50DMA %,68081,0,0,True
signal_state,Market Regime,68081,0,0,True
signal_state,Market Score,68081,0,0,True
signal_state,NIFTY ADX,68081,0,0,True
signal_state,NIFTY ATR %,68081,0,0,True
signal_state,NIFTY Close,68081,0,0,True
signal_state,NIFTY Daily RSI,68081,0,0,True
signal_state,NIFTY Daily ST,68081,0,0,True
signal_state,NIFTY Daily ST Direction,68081,0,0,True
signal_state,NIFTY Distance SMA20 %,68081,0,0,True
signal_state,NIFTY Distance SMA200 %,68081,0,0,True
signal_state,NIFTY Distance SMA50 %,68081,0,0,True
signal_state,NIFTY Drawdown From 252D High %,68081,0,0,True
signal_state,NIFTY Feature Source Date,68081,0,0,False
signal_state,NIFTY Market Score,68081,0,0,True
signal_state,NIFTY Regime,68081,0,0,True
signal_state,NIFTY Return 20D %,68081,0,0,True
signal_state,NIFTY Return 5D %,68081,0,0,True
signal_state,NIFTY Return 60D %,68081,0,0,True
signal_state,NIFTY Rolling Volatility 20D %,68081,0,0,True
signal_state,NIFTY SMA20,68081,0,0,True
signal_state,NIFTY SMA200,68081,0,0,True
signal_state,NIFTY SMA50,68081,0,0,True
