Dataset,Target,Total Rows,Applicable Rows,Available Rows,Not Applicable Rows,Data-End Censored Rows,Availability Before As-Of Violations,Unavailable Label With Value Violations,Not Applicable Label With Value Violations,Data-End Censored Label With Manufactured Value Violations,Applicability/Status Contradictions,Partition Violations,Training Availability Violations,Status
trade_opportunity,ENTRY_FILLED,13544,13544,13540,0,4,0,0,0,0,0,0,0,PASS
trade_opportunity,T1_BEFORE_STOP_63,13544,10302,10261,3242,41,0,0,0,0,0,0,0,PASS
trade_opportunity,T2_BEFORE_STOP_63,13544,10302,10256,3242,46,0,0,0,0,0,0,0,PASS
trade_opportunity,TIME_TO_T1_SESSIONS,13544,5703,5662,7841,41,0,0,0,0,0,0,0,PASS
trade_opportunity,TIME_TO_T2_SESSIONS,13544,3428,3382,10116,46,0,0,0,0,0,0,0,PASS
trade_opportunity,D1_SHADOW_NET_R,13544,828,828,12716,0,0,0,0,0,0,0,0,PASS
d1_position_day,D1_EXIT_NEXT_SESSION,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,D1_REMAINING_NET_R,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,13544,10302,10288,3242,14,0,0,0,0,0,0,0,PASS
trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,13544,10302,10255,3242,47,0,0,0,0,0,0,0,PASS
trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,13544,10302,10244,3242,58,0,0,0,0,0,0,0,PASS
trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,13544,10302,10227,3242,75,0,0,0,0,0,0,0,PASS
trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,13544,10302,10212,3242,90,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_5_SESSION_RETURN,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_5_SESSION_MFE,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_5_SESSION_MAE,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_10_SESSION_RETURN,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_10_SESSION_MFE,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_10_SESSION_MAE,4350,4350,4350,0,0,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_20_SESSION_RETURN,4350,4350,4348,0,2,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_20_SESSION_MFE,4350,4350,4348,0,2,0,0,0,0,0,0,0,PASS
d1_position_day,NEXT_20_SESSION_MAE,4350,4350,4348,0,2,0,0,0,0,0,0,0,PASS
