Ticker,Rows,Filled Opportunities,Observed Non-Fills,Incomplete Entry-Window Censored,Invalid-Risk Fills,T1 Applicable,T1 Available,T1 Positive,T1 Negative,T1 Data-End Censored,T2 Applicable,T2 Available,T2 Positive,T2 Negative,T2 Data-End Censored,Fill Rate Among Resolved %
AXISBANK.NS,747,572,175,0,2,570,570,321,249,0,570,570,196,374,0,76.5729585007
BEL.NS,708,559,149,0,1,558,558,302,256,0,558,558,195,363,0,78.9548022599
CIPLA.NS,730,577,153,0,0,577,564,306,258,13,577,563,175,388,14,79.0410958904
HAL.NS,438,318,119,1,0,318,313,174,139,5,318,312,124,188,6,72.7688787185
HCLTECH.NS,824,643,181,0,1,642,642,369,273,0,642,642,237,405,0,78.0339805825
HDFCBANK.NS,915,712,203,0,1,711,711,467,244,0,711,711,229,482,0,77.8142076503
HINDUNILVR.NS,715,547,168,0,1,546,546,316,230,0,546,546,165,381,0,76.5034965035
ICICIBANK.NS,901,707,192,2,3,704,686,389,297,18,704,686,196,490,18,78.6429365962
INFY.NS,801,603,198,0,4,599,599,343,256,0,599,599,239,360,0,75.2808988764
ITC.NS,659,510,149,0,5,505,505,314,191,0,505,505,179,326,0,77.3899848255
LT.NS,697,491,205,1,4,487,485,217,268,2,487,482,130,352,5,70.5459770115
M&M.NS,794,594,200,0,0,594,594,319,275,0,594,594,179,415,0,74.8110831234
MARUTI.NS,799,625,174,0,1,624,624,337,287,0,624,624,198,426,0,78.2227784731
SBIN.NS,596,438,158,0,1,437,437,172,265,0,437,437,114,323,0,73.4899328859
SUNPHARMA.NS,807,626,181,0,2,624,623,316,307,1,624,623,202,421,1,77.5712515489
TCS.NS,718,544,174,0,2,542,542,290,252,0,542,542,182,360,0,75.7660167131
TITAN.NS,741,563,178,0,1,562,560,297,263,2,562,560,190,370,2,75.9784075574
TMPV.NS,377,263,114,0,1,262,262,143,119,0,262,262,101,161,0,69.7612732095
WIPRO.NS,577,445,132,0,5,440,440,270,170,0,440,440,151,289,0,77.12305026
