Year,Rows,Filled Opportunities,Observed Non-Fills,Incomplete Entry-Window Censored,Invalid-Risk Fills,T1 Applicable,T1 Available,T1 Positive,T1 Negative,T1 Data-End Censored,T2 Applicable,T2 Available,T2 Positive,T2 Negative,T2 Data-End Censored,Fill Rate Among Resolved %
2011,135,113,22,0,0,113,113,79,34,0,113,113,33,80,0,83.7037037037
2012,1158,902,256,0,0,902,902,514,388,0,902,902,242,660,0,77.8929188256
2013,811,648,163,0,2,646,646,314,332,0,646,646,179,467,0,79.9013563502
2014,1288,1000,288,0,2,998,998,650,348,0,998,998,502,496,0,77.6397515528
2015,639,514,125,0,5,509,509,190,319,0,509,509,120,389,0,80.4381846635
2016,529,388,141,0,4,384,384,224,160,0,384,384,99,285,0,73.3459357278
2017,1219,983,236,0,5,978,978,672,306,0,978,978,447,531,0,80.6398687449
2018,790,598,192,0,1,597,597,291,306,0,597,597,163,434,0,75.6962025316
2019,735,543,192,0,3,540,540,246,294,0,540,540,110,430,0,73.8775510204
2020,761,546,215,0,1,545,545,360,185,0,545,545,278,267,0,71.7477003942
2021,1409,1059,350,0,2,1057,1057,572,485,0,1057,1057,384,673,0,75.1596877218
2022,896,671,225,0,1,670,670,277,393,0,670,670,131,539,0,74.8883928571
2023,1025,741,284,0,1,740,740,423,317,0,740,740,254,486,0,72.2926829268
2024,1150,852,298,0,1,851,851,468,383,0,851,851,261,590,0,74.0869565217
2025,688,534,154,0,1,533,533,281,252,0,533,533,127,406,0,77.6162790698
2026,311,245,62,4,6,239,198,101,97,41,239,193,52,141,46,79.8045602606
