Method,Dataset,Target,Model Task Type,Evaluation Year,Evaluation Start,Evaluation End,Training Rows,Training Label Available Rows,Evaluation Candidate Rows,Evaluation Label Available Rows,Evaluation Not Applicable Rows,Evaluation Data-End Censored Rows,Training As-Of Date Min,Training As-Of Date Max,Training Label Availability Max,Training Availability Violations,Ambiguous Rows Count
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2016,2016-01-04,2016-12-30,4031,4031,529,529,0,0,2011-09-09,2015-12-31,2016-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2017,2017-01-02,2017-12-29,4556,4556,1219,1219,0,0,2011-09-09,2016-12-28,2016-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2018,2018-01-02,2018-12-31,5767,5767,790,790,0,0,2011-09-09,2017-12-29,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2019,2019-01-02,2019-12-31,6562,6562,735,735,0,0,2011-09-09,2018-12-31,2019-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2020,2020-01-01,2020-12-31,7294,7294,761,761,0,0,2011-09-09,2019-12-26,2019-12-27,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2021,2021-01-01,2021-12-31,8036,8036,1409,1409,0,0,2011-09-09,2020-12-30,2020-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2022,2022-01-05,2022-12-30,9474,9474,896,896,0,0,2011-09-09,2021-12-31,2022-01-03,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2023,2023-01-02,2023-12-29,10367,10367,1025,1025,0,0,2011-09-09,2022-12-29,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2024,2024-01-01,2024-12-31,11372,11372,1150,1150,0,0,2011-09-09,2023-12-28,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2025,2025-01-01,2025-12-31,12541,12541,688,688,0,0,2011-09-09,2024-12-30,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,BINARY_CLASSIFICATION,2026,2026-01-01,2026-08-28,13226,13226,311,307,0,4,2011-09-09,2025-12-30,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2016,2016-01-04,2016-12-30,3151,3151,384,384,145,0,2011-09-09,2015-12-30,2015-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2017,2017-01-02,2017-12-29,3539,3539,978,978,241,0,2011-09-09,2016-12-22,2016-12-27,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2018,2018-01-02,2018-12-31,4485,4485,597,597,193,0,2011-09-09,2017-12-27,2017-12-29,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2019,2019-01-02,2019-12-31,5093,5093,540,540,195,0,2011-09-09,2018-12-17,2018-12-20,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2020,2020-01-01,2020-12-31,5650,5650,545,545,216,0,2011-09-09,2019-12-13,2019-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T1_BEFORE_STOP_63,BINARY_CLASSIFICATION,2021,2021-01-01,2021-12-31,6165,6165,1057,1057,352,0,2011-09-09,2020-12-22,2020-12-29,0,0
