Dataset,Rows,Columns,Unique Signal IDs,Category
SIGNAL_STATE,68081,131,68081,<NA>
TRADE_OPPORTUNITY,13544,236,13544,<NA>
D1_POSITION_DAY,4350,89,793,<NA>
SIGNAL_STATE_BY_SIGNAL,35744,<NA>,35744,AVOID
SIGNAL_STATE_BY_SIGNAL,13359,<NA>,13359,WATCH - EXTENDED
SIGNAL_STATE_BY_SIGNAL,9633,<NA>,9633,WAIT FOR BETTER ENTRY
SIGNAL_STATE_BY_SIGNAL,5434,<NA>,5434,WAIT - NO SETUP
SIGNAL_STATE_BY_SIGNAL,2570,<NA>,2570,WATCH
SIGNAL_STATE_BY_SIGNAL,1072,<NA>,1072,BUY
SIGNAL_STATE_BY_SIGNAL,253,<NA>,253,WATCH - MARKET RISK
SIGNAL_STATE_BY_SIGNAL,16,<NA>,16,STRONG BUY
