Diagnostic,Feature,Era,Rows,Median,Q25,Q75,Mean,Std
DESCRIPTIVE DRIFT DIAGNOSTIC,20 DMA,2011-2015,18936,277.83885,155.2097,483.1079,410.219244154,499.577031749
DESCRIPTIVE DRIFT DIAGNOSTIC,20 DMA,2016-2020,22583,463.2566,260.67095,754.10065,843.002898906,1382.65823617
DESCRIPTIVE DRIFT DIAGNOSTIC,20 DMA,2021-2023,14079,869.9293,519.22055,1610.81265,1437.66271859,1752.67786024
DESCRIPTIVE DRIFT DIAGNOSTIC,20 DMA,2024-2026,12483,1453.6993,812.09765,3144.9166,2346.16111617,2770.50853383
DESCRIPTIVE DRIFT DIAGNOSTIC,200 DMA,2011-2015,18936,253.41305,154.319475,458.951925,378.997291529,433.050440228
DESCRIPTIVE DRIFT DIAGNOSTIC,200 DMA,2016-2020,22583,463.946,257.02605,738.7215,817.706303352,1339.70480393
DESCRIPTIVE DRIFT DIAGNOSTIC,200 DMA,2021-2023,14079,809.7978,455.5848,1475.49535,1337.71182916,1660.71592111
DESCRIPTIVE DRIFT DIAGNOSTIC,200 DMA,2024-2026,12483,1445.4284,796.8672,3086.17925,2260.26810706,2646.50923491
DESCRIPTIVE DRIFT DIAGNOSTIC,50 DMA,2011-2015,18936,271.88525,154.149025,477.285625,405.011651236,488.144890025
DESCRIPTIVE DRIFT DIAGNOSTIC,50 DMA,2016-2020,22583,462.4371,261.0637,744.98365,837.508665053,1374.38967179
DESCRIPTIVE DRIFT DIAGNOSTIC,50 DMA,2021-2023,14079,863.317,508.87935,1570.60845,1420.95936427,1736.51608763
DESCRIPTIVE DRIFT DIAGNOSTIC,50 DMA,2024-2026,12483,1454.5638,810.5168,3153.42365,2333.35521832,2750.71873685
DESCRIPTIVE DRIFT DIAGNOSTIC,ADX,2011-2015,18936,23.325,17.92,30.85,25.2079700042,9.77239068701
DESCRIPTIVE DRIFT DIAGNOSTIC,ADX,2016-2020,22583,23.91,18.205,31.94,26.0628711863,10.3699440999
DESCRIPTIVE DRIFT DIAGNOSTIC,ADX,2021-2023,14079,22.85,17.8,29.75,24.8876312238,9.78076570925
DESCRIPTIVE DRIFT DIAGNOSTIC,ADX,2024-2026,12483,23.38,17.66,30.59,25.1535312024,9.94612895153
DESCRIPTIVE DRIFT DIAGNOSTIC,Actionability Score,2011-2015,18936,1,0,20,12.1742712294,20.5919487946
DESCRIPTIVE DRIFT DIAGNOSTIC,Actionability Score,2016-2020,22583,1,0,17,11.5195501041,19.4856238478
DESCRIPTIVE DRIFT DIAGNOSTIC,Actionability Score,2021-2023,14079,9,0,20,15.1196817956,22.5676633085
DESCRIPTIVE DRIFT DIAGNOSTIC,Actionability Score,2024-2026,12483,0,0,15,10.7798606104,18.5801896201
DESCRIPTIVE DRIFT DIAGNOSTIC,Daily RSI,2011-2015,18936,52.86,44.59,61.3425,52.9975010562,11.9346209728
DESCRIPTIVE DRIFT DIAGNOSTIC,Daily RSI,2016-2020,22583,52.36,43.46,60.805,51.9695678165,12.3086037821
DESCRIPTIVE DRIFT DIAGNOSTIC,Daily RSI,2021-2023,14079,54.04,45.48,63.42,54.3237680233,12.1468110096
DESCRIPTIVE DRIFT DIAGNOSTIC,Daily RSI,2024-2026,12483,51.38,42.22,60.37,51.227958824,12.6413894942
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 20DMA %,2011-2015,18936,0.69725,-1.948375,3.46955,0.783492321504,4.57165164616
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 20DMA %,2016-2020,22583,0.5132,-2.0817,3.12755,0.432738418279,5.13793902457
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 20DMA %,2021-2023,14079,0.8404,-1.63515,3.37685,0.998265750408,4.15301563423
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 20DMA %,2024-2026,12483,0.3211,-2.133,2.61845,0.236225803092,4.04736092543
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 50DMA %,2011-2015,18936,1.73465,-2.83455,6.310275,1.89510264575,7.33032111294
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 50DMA %,2016-2020,22583,1.5352,-3.1699,5.70455,1.05213063809,8.27196806956
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 50DMA %,2021-2023,14079,2.0792,-1.7305,6.30995,2.58417164571,6.7447834451
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance 50DMA %,2024-2026,12483,0.6858,-3.32185,4.71935,0.75712283105,6.71940564348
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To Support %,2011-2015,3816,1.44406759537,0.739497085869,2.37412706528,1.6518577569,1.1363574833
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To Support %,2016-2020,3953,1.28228880916,0.634030414649,2.20575284757,1.52994099865,1.1167962565
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To Support %,2021-2023,3222,1.37303578586,0.684529311342,2.33191263121,1.60310315241,1.14362806741
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To Support %,2024-2026,2105,1.24531180356,0.626811567175,2.15070547316,1.47047897258,1.05595678854
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T1 %,2011-2015,4178,4.04426371147,2.65371410235,6.03295884953,5.00646943971,3.67609018581
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T1 %,2016-2020,4282,3.8069893295,2.46755972843,5.83870278986,4.73218066709,3.43465547047
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T1 %,2021-2023,3604,3.86768922461,2.45573046612,6.00257155726,4.92844118396,3.68691853279
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T1 %,2024-2026,2289,3.27626229385,2.12400711222,4.7369497817,4.06634960318,3.23318102794
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T2 %,2011-2015,4178,10.5267001902,8.1126159786,14.205542823,11.9909305165,6.27347279793
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T2 %,2016-2020,4282,10.1369012527,7.42726498092,13.44642609,11.20030365,5.66104213228
DESCRIPTIVE DRIFT DIAGNOSTIC,Distance To T2 %,2021-2023,3604,9.3412768479,7.10134403731,13.0559896185,11.0186690276,6.21027700307
