Ticker,Rows,Filled Opportunities,Non-Filled Opportunities,Entry Censored,Fill Rate %,T1 Positive,T1 Negative,T1 Censored,T1 Hit Rate %,T2 Positive,T2 Negative,T2 Censored,T2 Hit Rate %,Entry-Day Ambiguity Rate %,Same-Bar Ambiguity Rate %
AXISBANK.NS,747,572,175,0,76.5729585007,321,249,177,56.3157894737,196,374,177,34.3859649123,54.8862115127,0.133868808568
BEL.NS,708,559,149,0,78.9548022599,302,256,150,54.1218637993,195,363,150,34.9462365591,56.2146892655,0
CIPLA.NS,730,577,153,0,79.0410958904,306,258,166,54.2553191489,175,388,167,31.0834813499,61.3698630137,0.27397260274
HAL.NS,438,318,119,1,72.7688787185,174,139,125,55.5910543131,124,188,126,39.7435897436,56.3926940639,0
HCLTECH.NS,824,643,181,0,78.0339805825,369,273,182,57.476635514,237,405,182,36.9158878505,53.3980582524,0
HDFCBANK.NS,915,712,203,0,77.8142076503,467,244,204,65.682137834,229,482,204,32.2081575246,50.1639344262,0
HINDUNILVR.NS,715,547,168,0,76.5034965035,316,230,169,57.8754578755,165,381,169,30.2197802198,53.986013986,0
ICICIBANK.NS,901,707,193,1,78.5555555556,389,297,215,56.7055393586,196,490,215,28.5714285714,53.385127636,0.110987791343
INFY.NS,801,603,198,0,75.2808988764,343,256,202,57.2621035058,239,360,202,39.8998330551,48.3146067416,0
ITC.NS,659,510,149,0,77.3899848255,314,191,154,62.1782178218,179,326,154,35.4455445545,49.9241274659,0.758725341426
LT.NS,697,491,205,1,70.5459770115,217,268,212,44.7422680412,130,352,215,26.9709543568,45.7675753228,0
M&M.NS,794,594,200,0,74.8110831234,319,275,200,53.7037037037,179,415,200,30.1346801347,53.1486146096,0
MARUTI.NS,799,625,174,0,78.2227784731,337,287,175,54.0064102564,198,426,175,31.7307692308,55.0688360451,0.375469336671
SBIN.NS,596,438,158,0,73.4899328859,172,265,159,39.3592677346,114,323,159,26.0869565217,54.1946308725,0.167785234899
SUNPHARMA.NS,807,626,181,0,77.5712515489,316,307,184,50.7223113965,202,421,184,32.4237560193,52.5402726146,0
TCS.NS,718,544,174,0,75.7660167131,290,252,176,53.5055350554,182,360,176,33.5793357934,48.3286908078,0
TITAN.NS,741,563,178,0,75.9784075574,297,263,181,53.0357142857,190,370,181,33.9285714286,52.3616734143,0
TMPV.NS,377,263,114,0,69.7612732095,143,119,115,54.5801526718,101,161,115,38.5496183206,49.3368700265,0
WIPRO.NS,577,445,132,0,77.12305026,270,170,137,61.3636363636,151,289,137,34.3181818182,55.1126516464,0
