Signal Year,Rows,Filled Opportunities,Non-Filled Opportunities,Entry Censored,Fill Rate %,T1 Positive,T1 Negative,T1 Censored,T1 Hit Rate %,T2 Positive,T2 Negative,T2 Censored,T2 Hit Rate %,Entry-Day Ambiguity Rate %,Same-Bar Ambiguity Rate %
2011,135,113,22,0,83.7037037037,79,34,22,69.9115044248,33,80,22,29.203539823,53.3333333333,0
2012,1158,902,256,0,77.8929188256,514,388,256,56.9844789357,242,660,256,26.8292682927,52.8497409326,0.259067357513
2013,811,648,163,0,79.9013563502,314,332,165,48.6068111455,179,467,165,27.7089783282,52.281134402,0
2014,1288,1000,288,0,77.6397515528,650,348,290,65.130260521,502,496,290,50.3006012024,52.950310559,0.155279503106
2015,639,514,125,0,80.4381846635,190,319,130,37.3280943026,120,389,130,23.5756385069,55.7120500782,0
2016,529,388,141,0,73.3459357278,224,160,145,58.3333333333,99,285,145,25.78125,52.9300567108,0
2017,1219,983,236,0,80.6398687449,672,306,241,68.7116564417,447,531,241,45.7055214724,57.9163248564,0.246103363413
2018,790,598,192,0,75.6962025316,291,306,193,48.743718593,163,434,193,27.3031825796,54.5569620253,0
2019,735,543,192,0,73.8775510204,246,294,195,45.5555555556,110,430,195,20.3703703704,55.9183673469,0
2020,761,546,215,0,71.7477003942,360,185,216,66.0550458716,278,267,216,51.0091743119,54.5335085414,0
2021,1409,1059,350,0,75.1596877218,572,485,352,54.1154210028,384,673,352,36.3292336802,53.7260468417,0
2022,896,671,225,0,74.8883928571,277,393,226,41.3432835821,131,539,226,19.552238806,46.2053571429,0
2023,1025,741,284,0,72.2926829268,423,317,285,57.1621621622,254,486,285,34.3243243243,49.5609756098,0.19512195122
2024,1150,852,298,0,74.0869565217,468,383,299,54.9941245593,261,590,299,30.669800235,51.0434782609,0.260869565217
2025,688,534,154,0,77.6162790698,281,252,155,52.7204502814,127,406,155,23.8273921201,49.1279069767,0
2026,311,245,63,3,79.5454545455,101,97,113,51.0101010101,52,141,118,26.9430051813,51.1254019293,0
