Method,Dataset,Target,Evaluation Year,Evaluation Start,Evaluation End,Training Signal Date Min,Training Signal Date Max,Training Label Availability Cutoff,Training Rows,Evaluation Rows,Censored Rows Excluded,Ambiguous Rows Count,Training Availability Violations
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2016,2016-01-04,2016-12-30,2011-09-09,2015-12-31,2016-01-04,4031,529,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2017,2017-01-02,2017-12-29,2011-09-09,2016-12-28,2017-01-02,4556,1219,0,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2018,2018-01-02,2018-12-31,2011-09-09,2017-12-29,2018-01-02,5767,790,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2019,2019-01-02,2019-12-31,2011-09-09,2018-12-31,2019-01-02,6562,735,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2020,2020-01-01,2020-12-31,2011-09-09,2019-12-26,2020-01-01,7294,761,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2021,2021-01-01,2021-12-31,2011-09-09,2020-12-30,2021-01-01,8036,1409,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2022,2022-01-05,2022-12-30,2011-09-09,2021-12-31,2022-01-05,9474,896,0,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2023,2023-01-02,2023-12-29,2011-09-09,2022-12-29,2023-01-02,10367,1025,0,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2024,2024-01-01,2024-12-31,2011-09-09,2023-12-28,2024-01-01,11372,1150,0,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,ENTRY_FILLED,2025,2025-01-01,2025-12-31,2011-09-09,2024-12-30,2025-01-01,12541,688,0,0,0
