Mode,Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.2-0.3,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.3-0.4,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.7-0.8,754,0.778244800528,0.766578249337,0.0116665511915
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,27,0.0477050434312,0.222222222222,0.174517178791
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,36,0.158941149231,0.361111111111,0.202169961881
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,22,0.253819076874,0.363636363636,0.109817286762
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,28,0.350943447989,0.75,0.399056552011
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,35,0.444536430911,0.657142857143,0.212606426232
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,35,0.557525378735,0.628571428571,0.0710460498369
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,55,0.645047051596,0.690909090909,0.0458620393129
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,79,0.755316222071,0.79746835443,0.0421521323599
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,117,0.856723933185,0.837606837607,0.0191170955782
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,320,0.958370409222,0.89375,0.0646204092215
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,25,0.0521252560896,0.36,0.30787474391
