Mode,Target,Model Variant,Feature Set,Rows,Expected Calibration Error
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,754,0.0116665511915
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,754,0.0852455499134
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,754,0.0829621933891
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,754,0.0220735891675
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,754,0.0665864024636
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,746,0.0455758021336
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,746,0.159307302796
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,746,0.15700538521
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,746,0.0132474847445
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,746,0.0804036631375
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,746,0.0201591817675
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,746,0.148759667616
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,746,0.136929901539
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,746,0.0350325893316
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,746,0.0821440012485
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,570,0.0108207619794
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,570,0.221622902044
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,570,0.211703666009
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,570,0.0251734743077
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,570,0.113991419525
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,570,0.0617949025556
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,570,0.197223059512
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,570,0.193967256731
