Training Mode,Target,Evaluation Year,Evaluation Start,Training Rows,Training Positive Rows,Training Negative Rows,Training Prevalence,Evaluation Candidate Rows,Evaluation Label-Available Rows,Evaluation Data-End Censored Rows,Evaluation Not-Applicable Rows,Minimum Training Signal Date,Maximum Training Signal Date,Maximum Training Label-Available Date,Chronology Violations,Both Classes,Status
TRANSFER,ENTRY_FILLED,2016,2016-01-04,4031,3177,854,0.788141900273,529,529,0,0,2011-09-09,2015-12-31,2016-01-01,0,True,PASS
TRANSFER,ENTRY_FILLED,2017,2017-01-02,4556,3563,993,0.782045654083,1219,1219,0,0,2011-09-09,2016-12-28,2016-12-29,0,True,PASS
TRANSFER,ENTRY_FILLED,2018,2018-01-02,5767,4547,1220,0.788451534593,790,790,0,0,2011-09-09,2017-12-29,2018-01-01,0,True,PASS
TRANSFER,ENTRY_FILLED,2019,2019-01-02,6562,5143,1419,0.783754952758,735,735,0,0,2011-09-09,2018-12-31,2019-01-01,0,True,PASS
TRANSFER,ENTRY_FILLED,2020,2020-01-01,7294,5685,1609,0.779407732383,761,761,0,0,2011-09-09,2019-12-26,2019-12-27,0,True,PASS
TRANSFER,ENTRY_FILLED,2021,2021-01-01,8036,6229,1807,0.775136884022,1409,1409,0,0,2011-09-09,2020-12-30,2020-12-31,0,True,PASS
TRANSFER,ENTRY_FILLED,2022,2022-01-05,9474,7294,2180,0.769896559004,896,896,0,0,2011-09-09,2021-12-31,2022-01-03,0,True,PASS
TRANSFER,ENTRY_FILLED,2023,2023-01-02,10367,7963,2404,0.76811035015,1025,1025,0,0,2011-09-09,2022-12-29,2022-12-30,0,True,PASS
TRANSFER,ENTRY_FILLED,2024,2024-01-01,11372,8694,2678,0.76450932114,1150,1150,0,0,2011-09-09,2023-12-28,2023-12-29,0,True,PASS
TRANSFER,ENTRY_FILLED,2025,2025-01-01,12541,9556,2985,0.761980703293,688,688,0,0,2011-09-09,2024-12-30,2024-12-31,0,True,PASS
TRANSFER,ENTRY_FILLED,2026,2026-01-01,13226,10089,3137,0.762815666112,311,307,4,0,2011-09-09,2025-12-30,2025-12-31,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2016,2016-01-04,3151,1747,1404,0.554427165979,529,384,0,145,2011-09-09,2015-12-30,2015-12-31,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2017,2017-01-02,3539,1962,1577,0.554393896581,1219,978,0,241,2011-09-09,2016-12-22,2016-12-27,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2018,2018-01-02,4485,2628,1857,0.585953177258,790,597,0,193,2011-09-09,2017-12-27,2017-12-29,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2019,2019-01-02,5093,2912,2181,0.571765167877,735,540,0,195,2011-09-09,2018-12-17,2018-12-20,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2020,2020-01-01,5650,3179,2471,0.562654867257,761,545,0,216,2011-09-09,2019-12-13,2019-12-31,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2021,2021-01-01,6165,3495,2670,0.566909975669,1409,1057,0,352,2011-09-09,2020-12-22,2020-12-29,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2022,2022-01-05,7265,4111,3154,0.565863730213,896,670,0,226,2011-09-09,2021-12-30,2022-01-03,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2023,2023-01-02,7911,4380,3531,0.553659461509,1025,740,0,285,2011-09-09,2022-12-26,2022-12-29,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2024,2024-01-01,8636,4796,3840,0.555349698935,1150,851,0,299,2011-09-09,2023-12-26,2023-12-29,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2025,2025-01-01,9472,5251,4221,0.554370777027,688,533,0,155,2011-09-09,2024-12-23,2024-12-31,0,True,PASS
TRANSFER,T1_BEFORE_STOP_63,2026,2026-01-01,9993,5530,4463,0.55338737116,311,198,41,72,2011-09-09,2025-12-17,2025-12-24,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2016,2016-01-04,3148,1076,2072,0.341804320203,529,384,0,145,2011-09-09,2015-12-07,2015-12-31,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2017,2017-01-02,3524,1159,2365,0.328887627696,1219,978,0,241,2011-09-09,2016-12-22,2016-12-27,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2018,2018-01-02,4387,1554,2833,0.354228402097,790,597,0,193,2011-09-09,2017-12-19,2017-12-28,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2019,2019-01-02,5084,1766,3318,0.347364280094,735,540,0,195,2011-09-09,2018-12-05,2018-12-11,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2020,2020-01-01,5620,1894,3726,0.337010676157,761,545,0,216,2011-09-09,2019-12-12,2019-12-31,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2021,2021-01-01,6129,2106,4023,0.343612334802,1409,1057,0,352,2011-09-09,2020-12-18,2020-12-29,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2022,2022-01-05,7253,2551,4702,0.351716531091,896,670,0,226,2011-09-09,2021-12-14,2021-12-28,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2023,2023-01-02,7878,2683,5195,0.340568672252,1025,740,0,285,2011-09-09,2022-12-26,2022-12-30,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2024,2024-01-01,8605,2911,5694,0.338291690877,1150,851,0,299,2011-09-09,2023-12-22,2023-12-29,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2025,2025-01-01,9431,3179,6252,0.337079843071,688,533,0,155,2011-09-09,2024-12-23,2024-12-31,0,True,PASS
TRANSFER,T2_BEFORE_STOP_63,2026,2026-01-01,9959,3310,6649,0.332362687017,311,193,46,72,2011-09-09,2025-12-17,2025-12-31,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2016,2016-01-04,334,261,73,0.781437125749,52,52,0,0,2011-11-01,2015-10-19,2015-10-20,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2017,2017-01-02,386,301,85,0.779792746114,73,73,0,0,2011-11-01,2016-12-08,2016-12-09,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2018,2018-01-02,457,360,97,0.787746170678,71,71,0,0,2011-11-01,2017-12-20,2017-12-28,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2019,2019-01-02,529,412,117,0.778827977316,73,73,0,0,2011-11-01,2018-12-12,2018-12-19,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2020,2020-01-01,603,471,132,0.781094527363,53,53,0,0,2011-11-01,2019-12-18,2019-12-19,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2021,2021-01-01,656,511,145,0.778963414634,103,103,0,0,2011-11-01,2020-12-22,2020-12-30,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2022,2022-01-05,759,587,172,0.773386034256,113,113,0,0,2011-11-01,2021-11-25,2021-11-26,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2023,2023-01-02,870,673,197,0.773563218391,82,82,0,0,2011-11-01,2022-12-23,2022-12-26,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2024,2024-01-01,953,739,214,0.775445960126,48,48,0,0,2011-11-01,2023-12-21,2023-12-22,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2025,2025-01-01,1002,780,222,0.778443113772,68,68,0,0,2011-11-01,2024-12-19,2024-12-20,0,True,PASS
PRIMARY_ONLY,ENTRY_FILLED,2026,2026-01-01,1069,822,247,0.768942937325,18,18,0,0,2011-11-01,2025-12-30,2025-12-31,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2016,2016-01-04,258,95,163,0.368217054264,52,38,0,14,2012-02-27,2015-10-19,2015-11-17,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2017,2017-01-02,296,105,191,0.35472972973,73,59,0,14,2012-02-27,2016-12-08,2016-12-26,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2018,2018-01-02,348,137,211,0.39367816092,71,52,0,19,2012-02-27,2017-12-14,2017-12-29,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2019,2019-01-02,406,154,252,0.379310344828,73,58,0,15,2012-02-27,2018-12-05,2018-12-11,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2020,2020-01-01,460,174,286,0.378260869565,53,40,0,13,2012-02-27,2019-11-28,2019-12-06,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2021,2021-01-01,504,192,312,0.380952380952,103,75,0,28,2012-02-27,2020-12-18,2020-12-22,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2022,2022-01-05,580,231,349,0.398275862069,113,86,0,27,2012-02-27,2021-11-25,2021-11-26,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2023,2023-01-02,660,255,405,0.386363636364,82,65,0,17,2012-02-27,2022-12-20,2022-12-22,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2024,2024-01-01,728,280,448,0.384615384615,48,41,0,7,2012-02-27,2023-11-23,2023-12-28,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2025,2025-01-01,770,298,472,0.387012987013,68,43,0,25,2012-02-27,2024-12-19,2024-12-30,0,True,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,2026,2026-01-01,807,308,499,0.38166047088,18,13,0,5,2012-02-27,2025-12-17,2025-12-18,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2016,2016-01-04,258,81,177,0.313953488372,52,38,0,14,2012-02-27,2015-10-19,2015-11-17,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2017,2017-01-02,296,87,209,0.293918918919,73,59,0,14,2012-02-27,2016-12-08,2016-12-26,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2018,2018-01-02,337,108,229,0.320474777448,71,52,0,19,2012-02-27,2017-12-13,2017-12-19,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2019,2019-01-02,406,130,276,0.320197044335,73,58,0,15,2012-02-27,2018-12-05,2018-12-11,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2020,2020-01-01,457,140,317,0.306345733042,53,40,0,13,2012-02-27,2019-11-28,2019-12-06,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2021,2021-01-01,504,156,348,0.309523809524,103,75,0,28,2012-02-27,2020-12-18,2020-12-22,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2022,2022-01-05,580,194,386,0.334482758621,113,86,0,27,2012-02-27,2021-11-25,2021-12-06,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2023,2023-01-02,658,205,453,0.311550151976,82,65,0,17,2012-02-27,2022-12-20,2022-12-22,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2024,2024-01-01,727,224,503,0.308115543329,48,41,0,7,2012-02-27,2023-11-23,2023-12-15,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2025,2025-01-01,770,236,534,0.306493506494,68,43,0,25,2012-02-27,2024-12-19,2024-12-30,0,True,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,2026,2026-01-01,807,242,565,0.299876084263,18,13,0,5,2012-02-27,2025-12-17,2025-12-18,0,True,PASS
