Mode,Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2016_2020,322,250,0.776397515528,0.453444444444,0.756270751031,0.173825851471,0.173825851471,0,0.532081723086,0.776397515528,0.776397515528,1,0,0.874125874126
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,298,228,0.765100671141,0.480419799499,0.755184073828,0.17993611526,0.17993611526,0,0.545742885985,0.765100671141,0.765100671141,1,0,0.866920152091
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,134,100,0.746268656716,0.342941176471,0.688211301505,0.1908467697,0.1908467697,0,0.570620268465,0.746268656716,0.746268656716,1,0,0.854700854701
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.779611111111,0.92154330451,0.154974564216,0.173825851471,0.108449273196,0.489009340807,0.782608695652,0.848837209302,0.876,0.458333333333,0.862204724409
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.774749373434,0.886449072376,0.148171257169,0.17993611526,0.176534088477,0.493912124726,0.788590604027,0.860262008734,0.864035087719,0.542857142857,0.862144420131
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.602941176471,0.808607915463,0.201082058409,0.1908467697,-0.053630924563,0.656382307988,0.723880597015,0.764705882353,0.91,0.176470588235,0.831050228311
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.785888888889,0.925957198566,0.153762950022,0.173825851471,0.11541954939,0.480056769593,0.782608695652,0.854330708661,0.868,0.486111111111,0.861111111111
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.768107769424,0.885431448807,0.152686400887,0.17993611526,0.151441050808,0.499698620189,0.778523489933,0.852173913043,0.859649122807,0.514285714286,0.855895196507
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.61,0.813018115969,0.200755300749,0.1908467697,-0.0519187778975,0.640769482023,0.723880597015,0.764705882353,0.91,0.176470588235,0.831050228311
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,322,250,0.776397515528,0.554916666667,0.796521530124,0.172521732692,0.173825851471,0.00750244435667,0.530683477932,0.776397515528,0.776397515528,1,0,0.874125874126
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,298,228,0.765100671141,0.632205513784,0.829572927884,0.170899943957,0.17993611526,0.0502187750954,0.52290483654,0.771812080537,0.772108843537,0.995614035088,0.0428571428571,0.869731800766
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,134,100,0.746268656716,0.637205882353,0.851673573871,0.182146740311,0.1908467697,0.0455864639628,0.546038526159,0.753731343284,0.751879699248,1,0.0294117647059,0.858369098712
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.786833333333,0.902665752507,0.139727619357,0.173825851471,0.196163181858,0.443473167931,0.785714285714,0.785488958991,0.996,0.0555555555556,0.878306878307
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.751754385965,0.877620168965,0.143649068125,0.17993611526,0.201666280741,0.460050063747,0.832214765101,0.837121212121,0.969298245614,0.385714285714,0.89837398374
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.707941176471,0.876036801502,0.173264351138,0.1908467697,0.0921284577678,0.522567014301,0.753731343284,0.781512605042,0.93,0.235294117647,0.849315068493
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2016_2020,319,98,0.307210031348,0.446878751501,0.287499534504,0.214382993906,0.214382993906,0,0.620620871861,0.692789968652,0,0,1,0
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2021_2023,296,89,0.300675675676,0.428241871574,0.272403175254,0.210814348088,0.210814348088,0,0.612726530115,0.699324324324,0,0,1,0
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,RECENT_2024_2026,131,37,0.282442748092,0.439620471535,0.259208452061,0.203161677979,0.203161677979,0,0.596428332597,0.717557251908,0,0,1,0
