Mode,Target,Model Variant,Feature Set,Evaluation Year,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2016,52,40,0.769230769231,0.5,0.769230769231,0.177663788039,0.177663788039,0,0.540634654771,0.769230769231,0.769230769231,1,0,0.869565217391
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2017,73,59,0.808219178082,0.5,0.808219178082,0.155809000297,0.155809000297,0,0.491226092601,0.808219178082,0.808219178082,1,0,0.893939393939
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2018,71,52,0.732394366197,0.5,0.732394366197,0.199056680819,0.199056680819,0,0.589515528542,0.732394366197,0.732394366197,1,0,0.845528455285
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2019,73,59,0.808219178082,0.5,0.808219178082,0.155864780945,0.155864780945,0,0.491388257902,0.808219178082,0.808219178082,1,0,0.893939393939
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2020,53,40,0.754716981132,0.5,0.754716981132,0.185815034468,0.185815034468,0,0.559072880609,0.754716981132,0.754716981132,1,0,0.860215053763
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2021,103,76,0.73786407767,0.5,0.73786407767,0.195109836053,0.195109836053,0,0.579987003499,0.73786407767,0.73786407767,1,0,0.849162011173
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2022,113,87,0.769911504425,0.5,0.769911504425,0.177159852137,0.177159852137,0,0.539417567465,0.769911504425,0.769911504425,1,0,0.87
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2023,82,65,0.792682926829,0.5,0.792682926829,0.164702267593,0.164702267593,0,0.511445530972,0.792682926829,0.792682926829,1,0,0.884353741497
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2024,48,41,0.854166666667,0.5,0.854166666667,0.13076292186,0.13076292186,0,0.43505142732,0.854166666667,0.854166666667,1,0,0.921348314607
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2025,68,43,0.632352941176,0.5,0.632352941176,0.253825037491,0.253825037491,0,0.712450736157,0.632352941176,0.632352941176,1,0,0.774774774775
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,2026,18,16,0.888888888889,0.5,0.888888888889,0.113152463395,0.113152463395,0,0.396333189128,0.888888888889,0.888888888889,1,0,0.941176470588
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2016,52,40,0.769230769231,0.60625,0.862924007743,0.242715735859,0.177663788039,-0.366151980313,0.80035480228,0.673076923077,0.755555555556,0.85,0.0833333333333,0.8
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2017,73,59,0.808219178082,0.769975786925,0.914151372037,0.117423092513,0.155809000297,0.246365150351,0.405758534076,0.849315068493,0.875,0.949152542373,0.428571428571,0.910569105691
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2018,71,52,0.732394366197,0.847165991903,0.942893424861,0.154290071877,0.199056680819,0.224893777782,0.450329271527,0.774647887324,0.875,0.807692307692,0.684210526316,0.84
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2019,73,59,0.808219178082,0.849878934625,0.959092631704,0.108632444546,0.155864780945,0.303034053701,0.353229942013,0.849315068493,0.887096774194,0.932203389831,0.5,0.909090909091
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2020,53,40,0.754716981132,0.778846153846,0.928214801043,0.185357398196,0.185815034468,0.00246285922518,0.537038131855,0.716981132075,0.820512820513,0.8,0.461538461538,0.810126582278
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021,103,76,0.73786407767,0.804093567251,0.900244900064,0.141910052779,0.195109836053,0.27266581916,0.459373274258,0.78640776699,0.846153846154,0.868421052632,0.555555555556,0.857142857143
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2022,113,87,0.769911504425,0.794871794872,0.914553428987,0.150285032356,0.177159852137,0.15169813847,0.483283674319,0.796460176991,0.890243902439,0.83908045977,0.653846153846,0.863905325444
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2023,82,65,0.792682926829,0.710407239819,0.86213713886,0.153123055412,0.164702267593,0.0703039026146,0.551942813679,0.780487804878,0.840579710145,0.892307692308,0.352941176471,0.865671641791
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024,48,41,0.854166666667,0.547038327526,0.884831425752,0.1572769467,0.13076292186,-0.202764089865,0.528232144689,0.791666666667,0.844444444444,0.926829268293,0,0.883720930233
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2025,68,43,0.632352941176,0.620465116279,0.727783622151,0.247274158026,0.253825037491,0.0258086417723,0.807116002332,0.661764705882,0.666666666667,0.93023255814,0.2,0.776699029126
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2026,18,16,0.888888888889,0.75,0.961838483208,0.143392202193,0.113152463395,-0.267247728335,0.428677675929,0.777777777778,0.928571428571,0.8125,0.5,0.866666666667
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016,52,40,0.769230769231,0.602083333333,0.854945055513,0.239243408845,0.177663788039,-0.346607609157,0.768584519085,0.634615384615,0.744186046512,0.8,0.0833333333333,0.771084337349
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2017,73,59,0.808219178082,0.811138014528,0.938076101316,0.114218734159,0.155809000297,0.266931089079,0.376593994613,0.849315068493,0.875,0.949152542373,0.428571428571,0.910569105691
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2018,71,52,0.732394366197,0.842105263158,0.941067302922,0.155126998901,0.199056680819,0.220689311894,0.458496221363,0.788732394366,0.893617021277,0.807692307692,0.736842105263,0.848484848485
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2019,73,59,0.808219178082,0.860774818402,0.963906665892,0.109436320418,0.155864780945,0.297876532756,0.355600905071,0.849315068493,0.887096774194,0.932203389831,0.5,0.909090909091
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2020,53,40,0.754716981132,0.786538461538,0.927869246551,0.183588240396,0.185815034468,0.0119839284209,0.539781611755,0.735849056604,0.842105263158,0.8,0.538461538462,0.820512820513
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021,103,76,0.73786407767,0.805068226121,0.903607097807,0.147923487059,0.195109836053,0.241845054808,0.466689688275,0.796116504854,0.848101265823,0.881578947368,0.555555555556,0.864516129032
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2022,113,87,0.769911504425,0.781609195402,0.905860906032,0.153500895444,0.177159852137,0.133545814175,0.487580069515,0.778761061947,0.878048780488,0.827586206897,0.615384615385,0.852071005917
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2023,82,65,0.792682926829,0.702262443439,0.860344141808,0.157546672098,0.164702267593,0.0434456404263,0.557861013033,0.756097560976,0.826086956522,0.876923076923,0.294117647059,0.850746268657
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024,48,41,0.854166666667,0.550522648084,0.875546158174,0.155228053209,0.13076292186,-0.187095324883,0.522421289668,0.8125,0.863636363636,0.926829268293,0.142857142857,0.894117647059
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2025,68,43,0.632352941176,0.628837209302,0.74000900281,0.247035763487,0.253825037491,0.0267478499019,0.776938102117,0.647058823529,0.655737704918,0.93023255814,0.16,0.769230769231
