Mode,Target,Model Variant,Metric,Point Value,Identity Bootstrap Value,Absolute Difference,Absolute Tolerance,Status
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Rows,754,754,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Positive Count,578,578,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Prevalence,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,ROC AUC,0.481347318339,0.481347318339,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Average Precision,0.757226660541,0.757226660541,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Brier Score,0.179265721036,0.179265721036,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Brier Benchmark Score,0.179265721036,0.179265721036,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Brier Skill Score vs Training Prior,0,0,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Log Loss,0.54432998784,0.54432998784,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Accuracy at 0.50,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Precision at 0.50,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Recall at 0.50,1,1,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Specificity at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,F1 at 0.50,0.867867867868,0.867867867868,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Overall Success Rate,0.766578249337,0.766578249337,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 10% Rows,76,76,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 10% Success Rate,0.736842105263,0.736842105263,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 10% Lift,0.961209251502,0.961209251502,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 20% Success Rate,0.748344370861,0.748344370861,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Top 20% Lift,0.976213937075,0.976213937075,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Bottom 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Bottom 20% Success Rate,0.76821192053,0.76821192053,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,Bottom 20% Lift,1.00213112124,1.00213112124,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Rows,754,754,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Positive Count,578,578,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Prevalence,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,ROC AUC,0.744052768166,0.744052768166,1.11022302463e-16,1e-14,PASS
