Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed,Training Mode
ENTRY_FILLED,2016,DUMMY_PRIOR,NONE,334,261,73,0.781437125749,52,0,0,4.00003045797e-07,1.07000014395e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2016,LOGIT_RULE,FS1_RULE_SUMMARY,334,261,73,0.781437125749,52,5,8,0.071136999999,0.00611419999768,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,334,261,73,0.781437125749,52,92,101,0.0289120999987,0.00911339999948,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,334,261,73,0.781437125749,52,97,109,0.0312029999986,0.0099104999972,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,334,261,73,0.781437125749,52,97,109,0.679394499999,0.0366528999984,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2017,DUMMY_PRIOR,NONE,386,301,85,0.779792746114,73,0,0,1.00000033854e-06,9.30000169319e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2017,LOGIT_RULE,FS1_RULE_SUMMARY,386,301,85,0.779792746114,73,5,8,0.0149233999982,0.00672569999733,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,386,301,85,0.779792746114,73,92,101,0.0305389999994,0.0101979999999,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,386,301,85,0.779792746114,73,97,109,0.0317161000021,0.0106639000005,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,386,301,85,0.779792746114,73,97,109,0.845394800002,0.0389362999995,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2018,DUMMY_PRIOR,NONE,457,360,97,0.787746170678,71,0,0,6.99998054188e-07,9.79999822448e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2018,LOGIT_RULE,FS1_RULE_SUMMARY,457,360,97,0.787746170678,71,5,8,0.0168279999998,0.00681450000047,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2018,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,457,360,97,0.787746170678,71,92,101,0.0342381999981,0.00997279999865,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2018,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,457,360,97,0.787746170678,71,97,109,0.0375037000013,0.0103973000005,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2018,RF_FULL,FS3_FULL_SIGNAL_STATE,457,360,97,0.787746170678,71,97,109,0.837479099999,0.0383499000018,,CONVERGED,42,PRIMARY_ONLY
