Mode,Target,Model Variant,Feature Set,Pooled ROC AUC,Pooled AUC 63-Date Lower 95%,Pooled Brier Skill,Recent 2024-2026 ROC AUC,Valid Annual AUCs,Years AUC > 0.50,Valid Pooled 63-Date AUC Replicates,Research Evidence Classification
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,0.481347318339,0.438833647917,0,0.342941176471,11,0,2000,NO USEFUL HISTORICAL SIGNAL
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.744052768166,0.688866008558,0.104793191032,0.602941176471,11,11,2000,ROBUST POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.745261874803,0.690122049749,0.0980490013262,0.61,11,11,2000,ROBUST POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,0.602194086191,0.555026480546,0.0316536557913,0.637205882353,11,10,2000,ROBUST POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.755504875747,0.714846213867,0.178662915883,0.707941176471,11,11,2000,ROBUST POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.449250821018,0.404182657852,-2.22044604925e-16,0.439620471535,11,0,2000,NO USEFUL HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.575747468528,0.529249887106,-0.116954624266,0.582806210466,11,8,2000,WEAK POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.568058976464,0.523538311112,-0.132032831448,0.618171362852,11,8,2000,WEAK POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.512165606185,0.453473040859,-0.00160808877396,0.559516963772,11,6,2000,WEAK POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.49815270936,0.455596045164,-0.0344332226293,0.472397929845,11,7,2000,NO USEFUL HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.413845883363,0.3344647652,0,0.520531400966,11,0,2000,MIXED / INCONCLUSIVE
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.545478990206,0.485424730928,-0.137046687192,0.395732689211,11,5,2000,MIXED / INCONCLUSIVE
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.547878336591,0.493869356707,-0.130546450244,0.456119162641,11,7,2000,MIXED / INCONCLUSIVE
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.511950192878,0.436842987542,-0.00276821066411,0.601046698873,11,8,2000,WEAK POSITIVE HISTORICAL SIGNAL
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.456858304117,0.404004199453,-0.0420147128168,0.373590982287,11,5,2000,NO USEFUL HISTORICAL SIGNAL
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.447505935178,0.387557789433,0,0.491891891892,11,0,2000,NO USEFUL HISTORICAL SIGNAL
