Training Mode,Target,Evaluation Year,Training Rows,Training Positive Rows,Training Negative Rows,Evaluation Candidate Rows,Evaluation Label-Available Rows,Evaluation Period Label,Sample-Size Warning
TRANSFER,ENTRY_FILLED,2016,4031,3177,854,529,529,2016,False
TRANSFER,ENTRY_FILLED,2017,4556,3563,993,1219,1219,2017,False
TRANSFER,ENTRY_FILLED,2018,5767,4547,1220,790,790,2018,False
TRANSFER,ENTRY_FILLED,2019,6562,5143,1419,735,735,2019,False
TRANSFER,ENTRY_FILLED,2020,7294,5685,1609,761,761,2020,False
TRANSFER,ENTRY_FILLED,2021,8036,6229,1807,1409,1409,2021,False
TRANSFER,ENTRY_FILLED,2022,9474,7294,2180,896,896,2022,False
TRANSFER,ENTRY_FILLED,2023,10367,7963,2404,1025,1025,2023,False
TRANSFER,ENTRY_FILLED,2024,11372,8694,2678,1150,1150,2024,False
TRANSFER,ENTRY_FILLED,2025,12541,9556,2985,688,688,2025,False
TRANSFER,ENTRY_FILLED,2026,13226,10089,3137,311,307,2026 PARTIAL THROUGH 2026-08-28,False
TRANSFER,T1_BEFORE_STOP_63,2016,3151,1747,1404,529,384,2016,False
TRANSFER,T1_BEFORE_STOP_63,2017,3539,1962,1577,1219,978,2017,False
TRANSFER,T1_BEFORE_STOP_63,2018,4485,2628,1857,790,597,2018,False
TRANSFER,T1_BEFORE_STOP_63,2019,5093,2912,2181,735,540,2019,False
TRANSFER,T1_BEFORE_STOP_63,2020,5650,3179,2471,761,545,2020,False
TRANSFER,T1_BEFORE_STOP_63,2021,6165,3495,2670,1409,1057,2021,False
TRANSFER,T1_BEFORE_STOP_63,2022,7265,4111,3154,896,670,2022,False
TRANSFER,T1_BEFORE_STOP_63,2023,7911,4380,3531,1025,740,2023,False
TRANSFER,T1_BEFORE_STOP_63,2024,8636,4796,3840,1150,851,2024,False
TRANSFER,T1_BEFORE_STOP_63,2025,9472,5251,4221,688,533,2025,False
TRANSFER,T1_BEFORE_STOP_63,2026,9993,5530,4463,311,198,2026 PARTIAL THROUGH 2026-08-28,False
TRANSFER,T2_BEFORE_STOP_63,2016,3148,1076,2072,529,384,2016,False
TRANSFER,T2_BEFORE_STOP_63,2017,3524,1159,2365,1219,978,2017,False
TRANSFER,T2_BEFORE_STOP_63,2018,4387,1554,2833,790,597,2018,False
TRANSFER,T2_BEFORE_STOP_63,2019,5084,1766,3318,735,540,2019,False
TRANSFER,T2_BEFORE_STOP_63,2020,5620,1894,3726,761,545,2020,False
TRANSFER,T2_BEFORE_STOP_63,2021,6129,2106,4023,1409,1057,2021,False
TRANSFER,T2_BEFORE_STOP_63,2022,7253,2551,4702,896,670,2022,False
TRANSFER,T2_BEFORE_STOP_63,2023,7878,2683,5195,1025,740,2023,False
TRANSFER,T2_BEFORE_STOP_63,2024,8605,2911,5694,1150,851,2024,False
TRANSFER,T2_BEFORE_STOP_63,2025,9431,3179,6252,688,533,2025,False
TRANSFER,T2_BEFORE_STOP_63,2026,9959,3310,6649,311,193,2026 PARTIAL THROUGH 2026-08-28,False
PRIMARY_ONLY,ENTRY_FILLED,2016,334,261,73,52,52,2016,False
PRIMARY_ONLY,ENTRY_FILLED,2017,386,301,85,73,73,2017,False
PRIMARY_ONLY,ENTRY_FILLED,2018,457,360,97,71,71,2018,False
PRIMARY_ONLY,ENTRY_FILLED,2019,529,412,117,73,73,2019,False
PRIMARY_ONLY,ENTRY_FILLED,2020,603,471,132,53,53,2020,False
PRIMARY_ONLY,ENTRY_FILLED,2021,656,511,145,103,103,2021,False
PRIMARY_ONLY,ENTRY_FILLED,2022,759,587,172,113,113,2022,False
PRIMARY_ONLY,ENTRY_FILLED,2023,870,673,197,82,82,2023,False
PRIMARY_ONLY,ENTRY_FILLED,2024,953,739,214,48,48,2024,False
PRIMARY_ONLY,ENTRY_FILLED,2025,1002,780,222,68,68,2025,False
PRIMARY_ONLY,ENTRY_FILLED,2026,1069,822,247,18,18,2026 PARTIAL THROUGH 2026-08-28,True
PRIMARY_ONLY,T1_BEFORE_STOP_63,2016,258,95,163,52,38,2016,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2017,296,105,191,73,59,2017,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2018,348,137,211,71,52,2018,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2019,406,154,252,73,58,2019,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2020,460,174,286,53,40,2020,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2021,504,192,312,103,75,2021,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2022,580,231,349,113,86,2022,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2023,660,255,405,82,65,2023,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2024,728,280,448,48,41,2024,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2025,770,298,472,68,43,2025,False
PRIMARY_ONLY,T1_BEFORE_STOP_63,2026,807,308,499,18,13,2026 PARTIAL THROUGH 2026-08-28,True
PRIMARY_ONLY,T2_BEFORE_STOP_63,2016,258,81,177,52,38,2016,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2017,296,87,209,73,59,2017,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2018,337,108,229,71,52,2018,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2019,406,130,276,73,58,2019,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2020,457,140,317,53,40,2020,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2021,504,156,348,103,75,2021,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2022,580,194,386,113,86,2022,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2023,658,205,453,82,65,2023,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2024,727,224,503,48,41,2024,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2025,770,236,534,68,43,2025,False
PRIMARY_ONLY,T2_BEFORE_STOP_63,2026,807,242,565,18,13,2026 PARTIAL THROUGH 2026-08-28,True
