Mode,Target,Model Variant,Feature Set,Valid Evaluation Years,Years ROC AUC > 0.50,Years ROC AUC > 0.55,Years Positive Brier Skill,Median Yearly ROC AUC,Mean Yearly ROC AUC,Worst Yearly ROC AUC,Best Yearly ROC AUC,Std Yearly ROC AUC
PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,11,10,8,0.769975786925,0.734453901186,0.547038327526,0.849878934625,0.0968286391205
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,11,11,8,0.781609195402,0.732585419392,0.550522648084,0.860774818402,0.0995714285477
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,11,10,8,8,0.595141700405,0.589399641061,0.380208333333,0.72036199095,0.0888277415998
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,9,0.767307692308,0.763528658743,0.645833333333,0.849878934625,0.0574855252508
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,8,7,3,0.583079268293,0.540475258932,0.1925,0.716981132075,0.157239490433
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,8,6,3,0.57012195122,0.538012320269,0.175,0.7265625,0.160445977561
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,11,6,5,7,0.545665634675,0.528614580131,0.359375,0.697385620915,0.0835967308549
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,11,7,5,4,0.531446540881,0.509078308679,0.2,0.708333333333,0.144026475653
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,11,0,0,1,0.5,0.5,0.5,0.5,0
