Policy,Comparator,Block Length,Metric,Delta 2.5%,Delta Median,Delta 97.5%,P(Delta>0) %
R1_K1,R0_K1,21,Terminal Return %,-8.52279337871,1.74704137069,13.5084713857,63.25
R1_K1,R0_K1,21,CAGR %,-0.710166770254,0.147616410547,1.05811955133,63.25
R1_K1,R0_K1,21,Mean Daily Return %,-0.00278792026504,0.000584832360507,0.0041297680279,63.35
R1_K1,R0_K1,21,Annualized Volatility %,-0.0832449479521,0.0450247780593,0.181862387889,73.6
R1_K1,R0_K1,21,Maximum Drawdown %,-3.19259684965,0.251564950551,3.82933915984,58.4
R1_K1,R0_K1,21,Average Exposure %,-0.672732397442,-0.059306956637,0.563119783642,42.05
R1_K1,R0_K1,63,Terminal Return %,-9.37597163035,1.59841059048,14.1376561505,62.15
R1_K1,R0_K1,63,CAGR %,-0.748134691403,0.131415086273,1.05027181498,62.15
R1_K1,R0_K1,63,Mean Daily Return %,-0.00290417280174,0.000520214839434,0.00413501017263,62.25
R1_K1,R0_K1,63,Annualized Volatility %,-0.0917998314787,0.0469438967128,0.181303280024,74.75
R1_K1,R0_K1,63,Maximum Drawdown %,-3.19311049189,0.0399009038918,3.44606183181,51.9
R1_K1,R0_K1,63,Average Exposure %,-0.732183397453,-0.0705556893587,0.592089590828,40.9
R1_K1,R0_K1,126,Terminal Return %,-9.63125801778,1.66621534375,13.3062663224,62.25
R1_K1,R0_K1,126,CAGR %,-0.771948954018,0.135599246008,1.09908219799,62.25
R1_K1,R0_K1,126,Mean Daily Return %,-0.00298504385368,0.000533333250383,0.0043472948961,62.3
R1_K1,R0_K1,126,Annualized Volatility %,-0.0873071187406,0.0472010396426,0.180636755164,73.95
R1_K1,R0_K1,126,Maximum Drawdown %,-3.84872887819,-0.120787192319,3.73027982682,46
R1_K1,R0_K1,126,Average Exposure %,-0.757140738732,-0.0737184977618,0.624869365479,40.3
R1_K2,R0_K2,21,Terminal Return %,-10.0179075304,-2.08373789749,6.15618431168,30
R1_K2,R0_K2,21,CAGR %,-0.786600665857,-0.166404126692,0.474601830666,30
