Artifact,Audited Commit,Compared Columns,Comparison Contract,Expected Logical Hash,Actual Logical Hash,Logical Difference Count,Maximum Absolute Numeric Difference,Status,Missing Columns
stage4a2_candidate_membership_audit.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Signal ID|Ticker|Signal Date|Stop Loss|Target 1|Target 2|Same-Date Candidate Count|R0 Score|R0 Rank|R0_K1 Selected|R0_K2 Selected|R1 Score|R1 Rank|R1_K1 Selected|R1_K2 Selected|R2 Score|R2 Rank|R2_K1 Selected|R2_K2 Selected|R3 Score|R3 Rank|R3_K1 Selected|R3_K2 Selected|R4 Score|R4 Rank|R4_K1 Selected|R4_K2 Selected|R5 Score|R5 Rank|R5_K1 Selected|R5_K2 Selected,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),58d7a4a0c816f07dc795dc7ac17acbf9ac9701c1ed1a7aa4c30c9b6110a47475,58d7a4a0c816f07dc795dc7ac17acbf9ac9701c1ed1a7aa4c30c9b6110a47475,0,0,PASS,
stage4a2_trade_ledger_d1.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Exit Engine|Signal ID|Ticker|Signal Date|Entry Date|Exit Date|Executed Entry|Initial Stop|Original T1|Original T2|Quantity|Position Value|Exit Reason|Executed Exit|Gross PnL|Costs|Net PnL|Net R|Holding Sessions|Selection Rank|Selection Score|Daily K|Same-Date Candidate Count,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),67242b8949c15d955503846889b445f53a501ee04078ba5c38dc541a29d61e28,67242b8949c15d955503846889b445f53a501ee04078ba5c38dc541a29d61e28,0,0,PASS,
stage4a2_trade_ledger_d0.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Exit Engine|Signal ID|Ticker|Signal Date|Entry Date|Exit Date|Executed Entry|Initial Stop|Original T1|Original T2|Quantity|Position Value|Exit Reason|Executed Exit|Gross PnL|Costs|Net PnL|Net R|Holding Sessions|Selection Rank|Selection Score|Daily K|Same-Date Candidate Count,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),de28b7f8a1084a0e0a9034d43834a8bd476dc4dd8c612c08b6c69eeb18bc185d,de28b7f8a1084a0e0a9034d43834a8bd476dc4dd8c612c08b6c69eeb18bc185d,0,0,PASS,
stage4a2_daily_portfolio_d1.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Exit Engine|Date|Equity|Daily Return %|Cash|Invested Value|Exposure|Open Positions|Costs,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),36f63a22bdf405d278831753d56a56505a8828c9bdf2d7b5f42160988fbc974f,36f63a22bdf405d278831753d56a56505a8828c9bdf2d7b5f42160988fbc974f,0,1.00000761449e-07,PASS,
stage4a2_daily_portfolio_d0.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Exit Engine|Date|Equity|Daily Return %|Cash|Invested Value|Exposure|Open Positions|Costs,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),66daca4d59ed23d4040fa4c2085eb9f3d18e22e103c372c246f37194aef5c26a,66daca4d59ed23d4040fa4c2085eb9f3d18e22e103c372c246f37194aef5c26a,0,1.00003338943e-13,PASS,
stage4a2_portfolio_summary_d1.csv,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Starting Equity|Ending Equity|Total Return %|CAGR %|Annualized Volatility %|Sharpe Ratio RF=0|Sharpe Ratio RF=6%|Sortino RF=0|Sortino RF=6%|Calmar Ratio|Maximum Drawdown %|Trade Count|Winning Trades|Losing Trades|Win Rate %|Mean Net R|Median Net R|Expectancy R|Profit Factor|Average Holding Sessions|Median Holding Sessions|Average Exposure %|Maximum Exposure %|Average Open Positions|Maximum Open Positions|Days Fully Cash|Candidate Count|Selected Candidate Count|Entry Filled Count|Fill Rate %|Invalid Risk Count|Expired Entry Count|Capital Rejection Count|Total Costs,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),779a01c1dd15d199ed03bbcc6ab635e0a3429670270f9dfb51f098ee8a4e69ee,779a01c1dd15d199ed03bbcc6ab635e0a3429670270f9dfb51f098ee8a4e69ee,0,0,PASS,
stage4a2_portfolio_summary_d0.csv,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Starting Equity|Ending Equity|Total Return %|CAGR %|Annualized Volatility %|Sharpe Ratio RF=0|Sharpe Ratio RF=6%|Sortino RF=0|Sortino RF=6%|Calmar Ratio|Maximum Drawdown %|Trade Count|Winning Trades|Losing Trades|Win Rate %|Mean Net R|Median Net R|Expectancy R|Profit Factor|Average Holding Sessions|Median Holding Sessions|Average Exposure %|Maximum Exposure %|Average Open Positions|Maximum Open Positions|Days Fully Cash|Candidate Count|Selected Candidate Count|Entry Filled Count|Fill Rate %|Invalid Risk Count|Expired Entry Count|Capital Rejection Count|Total Costs,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),f880e3df1b6d1abc0954ca8975d30c3456e24b0e5c9f92469527c64821f51734,f880e3df1b6d1abc0954ca8975d30c3456e24b0e5c9f92469527c64821f51734,0,0,PASS,
stage4a2_random_control_raw.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Daily K|Seed|Starting Equity|Ending Equity|Total Return %|CAGR %|Annualized Volatility %|Maximum Drawdown %|Trade Count|Win Rate %|Mean Net R|Median Net R|Expectancy R|Profit Factor|Average Exposure %|Maximum Exposure %|Average Open Positions|Maximum Open Positions|Days Fully Cash|Candidate Count|Selected Candidate Count|Entry Filled Count|Fill Rate %|Invalid Risk Count|Expired Entry Count|Capital Rejection Count|Total Costs,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),fe43d5502a08ad76e3360c7a924000070fd51018533cee857414c77fef85a530,fe43d5502a08ad76e3360c7a924000070fd51018533cee857414c77fef85a530,0,9.99911264898e-12,PASS,
stage4a2_random_control_summary.csv,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Daily K|Metric|Random 2.5%|Random Median|Random 97.5%,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),0bb69908f387722675985732de1947bc2813e9199e63089aac72cf1c29b07332,0bb69908f387722675985732de1947bc2813e9199e63089aac72cf1c29b07332,0,0,PASS,
stage4a2_block_bootstrap_63.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Comparator|Block Length|Replicate|Sample Length|Policy Terminal Return %|Rule Terminal Return %|Delta Terminal Return %|Policy CAGR %|Rule CAGR %|Delta CAGR %|Policy Mean Daily Return %|Rule Mean Daily Return %|Delta Mean Daily Return %|Policy Annualized Volatility %|Rule Annualized Volatility %|Delta Annualized Volatility %|Policy Maximum Drawdown %|Rule Maximum Drawdown %|Delta Maximum Drawdown %|Policy Average Exposure %|Rule Average Exposure %|Delta Average Exposure %,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),06a1a4571ae5d33df6b427beea8cfc9825bf55ba081d3650fb848eb6d546ef8f,06a1a4571ae5d33df6b427beea8cfc9825bf55ba081d3650fb848eb6d546ef8f,0,1.00001784631e-10,PASS,
stage4a2_block_bootstrap_21_sensitivity.csv.gz,67977db730c8b9ae27fbc9862cd0a9c1d89dcf5d,Policy|Comparator|Block Length|Replicate|Sample Length|Policy Terminal Return %|Rule Terminal Return %|Delta Terminal Return %|Policy CAGR %|Rule CAGR %|Delta CAGR %|Policy Mean Daily Return %|Rule Mean Daily Return %|Delta Mean Daily Return %|Policy Annualized Volatility %|Rule Annualized Volatility %|Delta Annualized Volatility %|Policy Maximum Drawdown %|Rule Maximum Drawdown %|Delta Maximum Drawdown %|Policy Average Exposure %|Rule Average Exposure %|Delta Average Exposure %,stable key order; exact nonnumeric/integer identity; float serialization normalized to 6 decimals (absolute delta also reported),705a9b8ec129451ed3650a24718e5ce7ddb77486be4b2d53bdd5ea79a47f2aa9,705a9b8ec129451ed3650a24718e5ce7ddb77486be4b2d53bdd5ea79a47f2aa9,0,1.00001784631e-10,PASS,
