Policy,Starting Equity D1,Ending Equity D1,Total Return % D1,CAGR % D1,Annualized Volatility % D1,Sharpe Ratio RF=0 D1,Sharpe Ratio RF=6% D1,Sortino RF=0 D1,Sortino RF=6% D1,Calmar Ratio D1,Maximum Drawdown % D1,Max Drawdown Peak Date D1,Max Drawdown Trough Date D1,Recovery Date D1,Trade Count D1,Winning Trades D1,Losing Trades D1,Win Rate % D1,Mean Net R D1,Median Net R D1,Expectancy R D1,Profit Factor D1,Average Holding Sessions D1,Median Holding Sessions D1,Average Exposure % D1,Maximum Exposure % D1,Return / Average Exposure D1,Net PnL / Average Invested Capital % D1,Average Open Positions D1,Maximum Open Positions D1,Days Fully Cash D1,Candidate Count D1,Selected Candidate Count D1,Entry Filled Count D1,Fill Rate % D1,Invalid Risk Count D1,Expired Entry Count D1,Capital Rejection Count D1,Target Diagnostic Semantics D1,T1 Diagnostic Count D1,T1 Diagnostic Rate % D1,T2 Diagnostic Count D1,T2 Diagnostic Rate % D1,Total Costs D1,Starting Equity D0,Ending Equity D0,Total Return % D0,CAGR % D0,Annualized Volatility % D0,Sharpe Ratio RF=0 D0,Sharpe Ratio RF=6% D0,Sortino RF=0 D0,Sortino RF=6% D0,Calmar Ratio D0,Maximum Drawdown % D0,Max Drawdown Peak Date D0,Max Drawdown Trough Date D0,Recovery Date D0,Trade Count D0,Winning Trades D0,Losing Trades D0,Win Rate % D0,Mean Net R D0,Median Net R D0,Expectancy R D0,Profit Factor D0,Average Holding Sessions D0,Median Holding Sessions D0,Average Exposure % D0,Maximum Exposure % D0,Return / Average Exposure D0,Net PnL / Average Invested Capital % D0,Average Open Positions D0,Maximum Open Positions D0,Days Fully Cash D0,Candidate Count D0,Selected Candidate Count D0,Entry Filled Count D0,Fill Rate % D0,Invalid Risk Count D0,Expired Entry Count D0,Capital Rejection Count D0,Target Diagnostic Semantics D0,T1 Diagnostic Count D0,T1 Diagnostic Rate % D0,T2 Diagnostic Count D0,T2 Diagnostic Rate % D0,Total Costs D0,D1 minus D0 Total Return %,D1 minus D0 CAGR %,D1 minus D0 Maximum Drawdown %,D1 minus D0 Expectancy R,D1 minus D0 Profit Factor
ALL_BASELINE_PRIMARY,100000,120093.408187,20.0934081866,1.73317156511,4.00171002799,0.457432454994,-0.998836112041,0.446306744408,-1.41647323431,0.146557722472,-11.8258631199,2021-11-16,2023-05-23,,285,72,213,25.2631578947,0.0849971774815,-0.303358812092,0.0849971774815,1.25369808004,6.39298245614,3,11.0141546903,99.1819189937,1.82432594708,160.865609473,0.583080424886,5,1573,754,754,285,37.7984084881,4,75,1,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,58,20.350877193,39,13.6842105263,10680.4239909,100000,106745.309769,6.74530976891,0.614467171247,6.07259884797,0.133157856504,-0.826491327321,0.135333904972,-1.04554692516,0.02943529914,-20.8751801137,2021-11-12,2023-03-28,,225,70,155,31.1111111111,0.0330785810329,-1.03516085191,0.0330785810329,1.05655829375,15.7066666667,10,22.7854536642,99.9231242682,0.296035789689,27.4335290995,1.25531107739,5,970,754,754,225,29.8408488064,4,65,12,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,84,37.3333333333,64,28.4444444444,7931.77725322,13.3480984177,1.11870439386,9.04931699383,0.0519185964485,0.197139786296
R0_K1,100000,115050.721977,15.0507219772,1.32444723838,3.58401029987,0.391895818972,-1.23409407519,0.386044251292,-1.76858666151,0.155636073807,-8.50989880423,2022-01-17,2023-05-23,2025-04-17,249,60,189,24.0963855422,0.072612688428,-0.305892801752,0.072612688428,1.22289594068,6.32128514056,3,9.59003396272,90.2933260841,1.56941279204,144.591456765,0.502655538695,4,1634,754,600,249,41.5,2,66,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,51,20.4819277108,35,14.0562248996,8918.00373148,100000,100565.29962,0.565299619815,0.0529159156581,5.43551103015,0.0371178120302,-1.03501036429,0.0385380221401,-1.31698148382,0.00291713618804,-18.1396795512,2021-11-16,2023-03-28,,201,61,140,30.3482587065,-0.00388336759968,-1.03526201745,-0.00388336759968,1.00548912021,15.9751243781,10,20.8903574565,99.6069799808,0.0270603134002,2.617254899,1.14188163885,5,977,754,600,201,33.5,2,57,6,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,76,37.8109452736,56,27.8606965174,6718.40955576,14.4854223574,1.27153132272,9.62978074694,0.0764960560276,0.217406820472
R0_K2,100000,122085.104318,22.0851043182,1.89033173003,3.86349175959,0.513084946043,-0.995282326562,0.521463197663,-1.45167422096,0.185331595399,-10.1997272832,2021-11-16,2023-05-23,2025-07-04,275,69,206,25.0909090909,0.0948769974542,-0.303233811705,0.0948769974542,1.29426848683,6.4,3,10.6506175975,95.1017603981,2.07359846657,182.833686166,0.563353566009,4,1596,754,731,275,37.6196990424,4,75,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,56,20.3636363636,38,13.8181818182,10301.013814,100000,111276.862435,11.2768624349,1.00780368553,5.96229613771,0.201150488619,-0.7762522424,0.210561955754,-1.00100578272,0.052725268462,-19.1142447431,2021-11-12,2023-03-28,,221,70,151,31.6742081448,0.0570244012852,-1.03513429968,0.0570244012852,1.09592825395,15.8325791855,10,22.7454965914,99.8798975789,0.495784402399,45.1177281881,1.2435508346,5,969,754,731,221,30.2325581395,4,64,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,84,38.0090497738,64,28.9592760181,7927.67286993,10.8082418834,0.882528044508,8.91451745985,0.037852596169,0.19834023288
R1_K1,100000,116861.214089,16.8612140887,1.47302787587,3.63057899667,0.428445774885,-1.17668787831,0.416881762512,-1.69255022237,0.149825971633,-9.83159234555,2022-01-17,2023-05-23,2024-12-13,241,61,180,25.3112033195,0.0834356674538,-0.303358812092,0.0834356674538,1.26345802021,6.55186721992,3,9.52680849513,91.524510896,1.76987016137,162.527275505,0.507587253414,4,1642,754,600,241,40.1666666667,3,69,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,49,20.3319502075,33,13.6929460581,8620.9930782,100000,108608.536131,8.60853613133,0.777992235429,5.53561370508,0.170321177982,-0.882419283803,0.175579402757,-1.12825311299,0.0437745093462,-17.7727231452,2021-11-12,2023-03-28,,200,63,137,31.5,0.0492331465119,-1.03444915377,0.0492331465119,1.08174260876,16.46,10,21.2179939139,99.877947619,0.405718663426,37.5768402874,1.17298937785,5,1008,754,600,200,33.3333333333,3,60,5,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,39,58,29,6962.78962136,8.25267795733,0.695035640446,7.9411307997,0.0342025209418,0.181715411453
R1_K2,100000,119987.053098,19.9870530981,1.72471306416,3.89798795422,0.466375976241,-1.02864263248,0.46443763112,-1.47898901054,0.139949957044,-12.3237841624,2021-11-16,2023-05-23,,276,70,206,25.3623188406,0.0858157459657,-0.303296311899,0.0858157459657,1.26663678569,6.43115942029,3,10.7108246543,99.4653182755,1.8660610871,165.965669717,0.568664643399,5,1581,754,731,276,37.756497948,4,75,1,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,56,20.2898550725,37,13.4057971014,10263.2594051,100000,106834.858265,6.83485826461,0.622385295363,5.90955528504,0.136515802546,-0.849609928928,0.141863409092,-1.08992364766,0.0298796400224,-20.8297454352,2021-11-12,2023-03-28,,218,68,150,31.1926605505,0.0356475958304,-1.03521143468,0.0356475958304,1.05981038635,16.0091743119,10,22.4407627895,99.118835772,0.304573348451,28.4517418851,1.24127465857,5,971,754,731,218,29.8221614227,4,66,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.6146788991,62,28.4403669725,7613.10460483,13.1521948335,1.1023277688,8.50596127281,0.0501681501353,0.206826399342
R2_K1,100000,118712.827542,18.7128275418,1.6228411317,3.61450772113,0.471770117616,-1.14050048125,0.468675250132,-1.65065195352,0.159518330348,-10.1733833858,2021-11-16,2023-05-23,2025-04-16,240,61,179,25.4166666667,0.0958475244574,-0.303296311899,0.0958475244574,1.28904571755,6.575,3,9.57072470913,90.7719424899,1.95521531655,176.197656838,0.507587253414,4,1625,754,600,240,40,2,69,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,51,21.25,33,13.75,8805.89539167,100000,111978.77495,11.9787749496,1.06742649621,5.47135556794,0.225061221876,-0.840043112102,0.239014765213,-1.09182342918,0.0579299560944,-18.4261575216,2021-11-12,2023-03-28,,199,64,135,32.1608040201,0.0731570072442,-1.0342569495,0.0731570072442,1.11214300992,16.4623115578,10,21.3313512147,99.4281100093,0.561557251065,50.50452953,1.16729893778,5,998,754,600,199,33.1666666667,2,60,5,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,80,40.2010050251,59,29.648241206,7207.93851409,6.73405259213,0.55541463549,8.25277413574,0.0226905172132,0.176902707632
R2_K2,100000,119391.39013,19.3913901298,1.6772135785,3.90373353967,0.453558263646,-1.03925994972,0.45191756662,-1.49374737145,0.135725659047,-12.3573802499,2021-11-16,2023-05-23,,277,70,207,25.2707581227,0.0823422731106,-0.303358812092,0.0823422731106,1.25876341381,6.41155234657,3,10.7132644605,99.4653182755,1.81003560598,161.753180347,0.568664643399,5,1581,754,731,277,37.8932968536,4,75,1,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,56,20.2166064982,37,13.357400722,10236.6009167,100000,106560.709068,6.5607090683,0.598125258329,5.91661462034,0.132270845593,-0.852678302203,0.137565028856,-1.09425163244,0.0286225609656,-20.896986089,2021-11-12,2023-03-28,,218,68,150,31.1926605505,0.0346287101875,-1.03521143468,0.0346287101875,1.057470204,16.0137614679,10,22.4614953487,99.2513072227,0.292086923264,27.3330257284,1.24165402124,5,971,754,731,218,29.8221614227,4,66,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.6146788991,62,28.4403669725,7599.83276717,12.8306810615,1.07908832017,8.53960583915,0.0477135629231,0.201293209813
R3_K1,100000,122414.982453,22.414982453,1.91613710247,3.60105479396,0.554930670756,-1.06336309637,0.551764332919,-1.54894203163,0.192106896719,-9.97432749783,2021-11-16,2023-05-23,2025-07-04,249,64,185,25.702811245,0.111239823263,-0.298877504975,0.111239823263,1.32944483537,6.37751004016,3,9.64277406654,91.255081303,2.32453672546,204.75860561,0.507966616085,4,1641,754,600,249,41.5,2,65,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,52,20.8835341365,37,14.859437751,9379.88138168,100000,105794.528275,5.79452827472,0.530023174492,5.48292834051,0.125661348396,-0.937194878465,0.129676795061,-1.1880741984,0.0293752415248,-18.0431937571,2021-11-12,2023-03-28,,205,64,141,31.2195121951,0.024438326784,-1.03516085191,0.024438326784,1.05428652006,16.1219512195,10,21.3253975421,99.815081715,0.271719589906,25.475513742,1.17602427921,5,973,754,600,205,34.1666666667,2,55,4,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,38.0487804878,58,28.2926829268,7103.72761904,16.6204541783,1.38611392797,8.06886625925,0.086801496479,0.275158315313
R3_K2,100000,117931.15445,17.9311544505,1.55985638636,3.87811212965,0.425961009195,-1.07671976262,0.421156680785,-1.54603340531,0.127129848544,-12.2697887571,2021-11-16,2023-05-23,,278,69,209,24.8201438849,0.0759958685184,-0.304430722839,0.0759958685184,1.23955096656,6.29496402878,3,10.5946778345,99.344598309,1.69246811753,152.481025635,0.55842185129,5,1599,754,731,278,38.0300957592,4,75,1,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,55,19.7841726619,37,13.309352518,10192.0754577,100000,105879.595494,5.87959549425,0.537606401227,5.90969091162,0.121986726076,-0.864116373951,0.126506440062,-1.10511527245,0.0256491200486,-20.960032945,2021-11-12,2023-03-28,,219,68,151,31.0502283105,0.0293176401452,-1.03526201745,0.0293176401452,1.051526691,15.8538812785,10,22.4572095706,99.7766406577,0.261813270958,24.6360304139,1.23406676783,5,970,754,731,219,29.9589603283,4,65,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.4429223744,62,28.3105022831,7594.84610957,12.0515589562,1.02224998514,8.69024418783,0.0466782283732,0.188024275555
R4_K1,100000,119965.325474,19.9653254737,1.72298421398,3.6443080027,0.495742492571,-1.10334422673,0.492544999944,-1.60198593887,0.165438615471,-10.4146435768,2022-01-17,2023-05-23,,249,64,185,25.702811245,0.101981719804,-0.301871951452,0.101981719804,1.29682231828,6.39357429719,3,9.61211429595,86.9968222708,2.07710029853,184.896881834,0.509484066768,4,1634,754,600,249,41.5,2,65,0,FULL_BAR_PRICE_TOUCH_NON_CONSERVATIVE_STOP_FIRST_AMBIGUITY,51,20.4819277108,37,14.859437751,9306.16139401,100000,105601.725542,5.60172554173,0.512815506463,5.52329784753,0.12198785285,-0.933100011143,0.126059378337,-1.18058172451,0.0287406760587,-17.8428477262,2021-11-12,2023-03-28,,205,64,141,31.2195121951,0.0315358368187,-1.03516085191,0.0315358368187,1.05238987596,16.2146341463,10,21.4349944273,99.5941804109,0.261335525919,24.5575581258,1.18323216995,5,963,754,600,205,34.1666666667,2,55,3,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,38.0487804878,58,28.2926829268,7125.33223127,14.3635999319,1.21016870751,7.42820414937,0.0704458829848,0.244432442317
