Policy,Comparator,ML Actual Total Return %,Prior-Session Exposure-Matched Rule Return %,Difference %,Exposure Lag,Scale Cap,Same-Day Exposure Lookahead
R1_K1,R0_K1,16.8612140887,22.2975221506,-5.43630806192,t-1,1,NO
R1_K2,R0_K2,19.9870530981,24.7961365252,-4.8090834271,t-1,1,NO
R2_K1,R0_K1,18.7128275418,23.3973177702,-4.68449022844,t-1,1,NO
R2_K2,R0_K2,19.3913901298,24.9724136235,-5.58102349379,t-1,1,NO
R3_K1,R0_K1,22.414982453,25.8511903696,-3.43620791665,t-1,1,NO
R3_K2,R0_K2,17.9311544505,26.0591128913,-8.12795844079,t-1,1,NO
R4_K1,R0_K1,19.9653254737,24.7053306584,-4.7400051847,t-1,1,NO
R4_K2,R0_K2,19.8483753082,27.6565323853,-7.80815707711,t-1,1,NO
R5_K1,R0_K1,16.28893716,22.5852711984,-6.29633403846,t-1,1,NO
R5_K2,R0_K2,20.6857956523,29.0654721141,-8.37967646175,t-1,1,NO
