Policy,Daily K,Metric,Named Value,Random Percentile %
R0_K1,1,Total Return %,15.0507219772,23.4
R0_K1,1,CAGR %,1.32444723838,23.4
R0_K1,1,Maximum Drawdown %,-8.50989880423,45.6
R0_K1,1,Expectancy R,0.072612688428,22.8
R0_K1,1,Profit Factor,1.22289594068,20.4
R0_K1,1,Win Rate %,24.0963855422,27.3
R0_K1,1,Trade Count,249,82.1
R0_K1,1,Average Exposure %,9.59003396272,66.2
R0_K1,1,Days Fully Cash,1634,35.9
R0_K1,1,Fill Rate %,41.5,82.1
R0_K2,2,Total Return %,22.0851043182,84
R0_K2,2,CAGR %,1.89033173003,84
R0_K2,2,Maximum Drawdown %,-10.1997272832,89.6
R0_K2,2,Expectancy R,0.0948769974542,81
R0_K2,2,Profit Factor,1.29426848683,87.4
R0_K2,2,Win Rate %,25.0909090909,50.2
R0_K2,2,Trade Count,275,5.5
R0_K2,2,Average Exposure %,10.6506175975,35
R0_K2,2,Days Fully Cash,1596,79.3
R0_K2,2,Fill Rate %,37.6196990424,5.5
R1_K1,1,Total Return %,16.8612140887,37.6
R1_K1,1,CAGR %,1.47302787587,37.6
R1_K1,1,Maximum Drawdown %,-9.83159234555,17.4
R1_K1,1,Expectancy R,0.0834356674538,42
R1_K1,1,Profit Factor,1.26345802021,43.6
R1_K1,1,Win Rate %,25.3112033195,82.7
R1_K1,1,Trade Count,241,9.8
R1_K1,1,Average Exposure %,9.52680849513,57.6
R1_K1,1,Days Fully Cash,1642,53.3
R1_K1,1,Fill Rate %,40.1666666667,9.8
R1_K2,2,Total Return %,19.9870530981,49.2
R1_K2,2,CAGR %,1.72471306416,49.2
R1_K2,2,Maximum Drawdown %,-12.3237841624,15.6
R1_K2,2,Expectancy R,0.0858157459657,49.8
R1_K2,2,Profit Factor,1.26663678569,54.6
R1_K2,2,Win Rate %,25.3623188406,76.8
R1_K2,2,Trade Count,276,14.7
R1_K2,2,Average Exposure %,10.7108246543,58
R1_K2,2,Days Fully Cash,1581,31.8
R1_K2,2,Fill Rate %,37.756497948,14.7
R2_K1,1,Total Return %,18.7128275418,55.2
R2_K1,1,CAGR %,1.6228411317,55.2
R2_K1,1,Maximum Drawdown %,-10.1733833858,12.6
R2_K1,1,Expectancy R,0.0958475244574,62.6
R2_K1,1,Profit Factor,1.28904571755,60.8
R2_K1,1,Win Rate %,25.4166666667,85.3
R2_K1,1,Trade Count,240,6.2
R2_K1,1,Average Exposure %,9.57072470913,63.6
R2_K1,1,Days Fully Cash,1625,19.7
R2_K1,1,Fill Rate %,40,6.2
R2_K2,2,Total Return %,19.3913901298,37.6
R2_K2,2,CAGR %,1.6772135785,37.6
R2_K2,2,Maximum Drawdown %,-12.3573802499,14.8
R2_K2,2,Expectancy R,0.0823422731106,35.6
R2_K2,2,Profit Factor,1.25876341381,42.4
R2_K2,2,Win Rate %,25.2707581227,67.8
R2_K2,2,Trade Count,277,30.4
R2_K2,2,Average Exposure %,10.7132644605,58.4
R2_K2,2,Days Fully Cash,1581,31.8
R2_K2,2,Fill Rate %,37.8932968536,30.4
R3_K1,1,Total Return %,22.414982453,81.8
R3_K1,1,CAGR %,1.91613710247,81.8
R3_K1,1,Maximum Drawdown %,-9.97432749783,15.8
R3_K1,1,Expectancy R,0.111239823263,83.6
R3_K1,1,Profit Factor,1.32944483537,78.8
R3_K1,1,Win Rate %,25.702811245,90.4
R3_K1,1,Trade Count,249,82.1
R3_K1,1,Average Exposure %,9.64277406654,74.6
R3_K1,1,Days Fully Cash,1641,50.8
R3_K1,1,Fill Rate %,41.5,82.1
R3_K2,2,Total Return %,17.9311544505,15.6
R3_K2,2,CAGR %,1.55985638636,15.6
R3_K2,2,Maximum Drawdown %,-12.2697887571,19
R3_K2,2,Expectancy R,0.0759958685184,16.6
R3_K2,2,Profit Factor,1.23955096656,18
R3_K2,2,Win Rate %,24.8201438849,17.6
R3_K2,2,Trade Count,278,50.5
R3_K2,2,Average Exposure %,10.5946778345,21.6
R3_K2,2,Days Fully Cash,1599,85.2
R3_K2,2,Fill Rate %,38.0300957592,50.5
R4_K1,1,Total Return %,19.9653254737,64.2
R4_K1,1,CAGR %,1.72298421398,64.2
R4_K1,1,Maximum Drawdown %,-10.4146435768,9.8
R4_K1,1,Expectancy R,0.101981719804,71
R4_K1,1,Profit Factor,1.29682231828,62.8
R4_K1,1,Win Rate %,25.702811245,90.4
R4_K1,1,Trade Count,249,82.1
R4_K1,1,Average Exposure %,9.61211429595,69.2
R4_K1,1,Days Fully Cash,1634,35.9
R4_K1,1,Fill Rate %,41.5,82.1
R4_K2,2,Total Return %,19.8483753082,46.8
R4_K2,2,CAGR %,1.71367370358,46.8
R4_K2,2,Maximum Drawdown %,-12.7502217462,8
R4_K2,2,Expectancy R,0.0854068584168,47
R4_K2,2,Profit Factor,1.25877257124,42.4
R4_K2,2,Win Rate %,25.0896057348,44.2
R4_K2,2,Trade Count,279,70.3
R4_K2,2,Average Exposure %,10.6404074144,31.8
R4_K2,2,Days Fully Cash,1599,85.2
R4_K2,2,Fill Rate %,38.1668946648,70.3
R5_K1,1,Total Return %,16.28893716,32.6
R5_K1,1,CAGR %,1.42628995591,32.6
R5_K1,1,Maximum Drawdown %,-12.1641069385,0
R5_K1,1,Expectancy R,0.0740129595965,24
R5_K1,1,Profit Factor,1.23561801549,26.2
R5_K1,1,Win Rate %,24.4,40.9
R5_K1,1,Trade Count,250,89.2
R5_K1,1,Average Exposure %,9.48768760663,52.8
R5_K1,1,Days Fully Cash,1637,41.4
R5_K1,1,Fill Rate %,41.6666666667,89.2
R5_K2,2,Total Return %,20.6857956523,59.6
R5_K2,2,CAGR %,1.78016076106,59.6
R5_K2,2,Maximum Drawdown %,-11.3541098754,42
R5_K2,2,Expectancy R,0.0884862155513,58
R5_K2,2,Profit Factor,1.26993187062,58.4
R5_K2,2,Win Rate %,25.3571428571,73.1
R5_K2,2,Trade Count,280,86
R5_K2,2,Average Exposure %,10.850240551,86.2
R5_K2,2,Days Fully Cash,1574,10.9
R5_K2,2,Fill Rate %,38.3036935705,86
