Policy,Comparator,Trade Count,Delta Total Return %,Delta CAGR %,Delta Maximum Drawdown %,Delta Expectancy R,Delta Profit Factor,Delta Average Exposure %,Delta Fill Rate %
R1_K1,R0_K1,241,1.81049211146,0.148580637491,-1.32169354132,0.0108229790258,0.0405620795292,-0.0632254675882,-1.33333333333
R1_K2,R0_K2,276,-2.09805122008,-0.165618665877,-2.1240568792,-0.0090612514885,-0.0276317011381,0.0602070568113,0.136798905609
R2_K1,R0_K1,240,3.66210556458,0.298393893321,-1.66348458162,0.0232348360295,0.0661497768748,-0.0193092535814,-1.5
R2_K2,R0_K2,277,-2.69371418846,-0.213118151531,-2.15765296663,-0.0125347243437,-0.0355050730177,0.062646863012,0.273597811218
R3_K1,R0_K1,249,7.36426047578,0.591689864082,-1.46442869361,0.038627134835,0.106548894695,0.0527401038268,0
R3_K2,R0_K2,278,-4.15394986774,-0.330475343672,-2.0700614739,-0.0188811289358,-0.0547175202726,-0.0559397629644,0.410396716826
R4_K1,R0_K1,249,4.91460349646,0.398536975592,-1.90474477259,0.0293690313755,0.0739263775979,0.022080333237,0
R4_K2,R0_K2,279,-2.23672901001,-0.176658026451,-2.55049446294,-0.00947013903744,-0.0354959155913,-0.0102101830846,0.547195622435
R5_K1,R0_K1,250,1.23821518277,0.101842717523,-3.65420813432,0.00140027116856,0.0127220748069,-0.102346356091,0.166666666667
R5_K2,R0_K2,280,-1.39930866588,-0.110170968979,-1.15438259215,-0.00639078190291,-0.0243366162145,0.199622953506,0.683994528044
