Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe Ratio RF=0,Sharpe Ratio RF=6%,Sortino RF=0,Sortino RF=6%,Calmar Ratio,Maximum Drawdown %,Max Drawdown Peak Date,Max Drawdown Trough Date,Recovery Date,Trade Count,Winning Trades,Losing Trades,Win Rate %,Mean Net R,Median Net R,Expectancy R,Profit Factor,Average Holding Sessions,Median Holding Sessions,Average Exposure %,Maximum Exposure %,Return / Average Exposure,Net PnL / Average Invested Capital %,Average Open Positions,Maximum Open Positions,Days Fully Cash,Candidate Count,Selected Candidate Count,Entry Filled Count,Fill Rate %,Invalid Risk Count,Expired Entry Count,Capital Rejection Count,Target Diagnostic Semantics,T1 Diagnostic Count,T1 Diagnostic Rate %,T2 Diagnostic Count,T2 Diagnostic Rate %,Total Costs
ALL_BASELINE_PRIMARY,100000,106745.309769,6.74530976891,0.614467171247,6.07259884797,0.133157856504,-0.826491327321,0.135333904972,-1.04554692516,0.02943529914,-20.8751801137,2021-11-12,2023-03-28,,225,70,155,31.1111111111,0.0330785810329,-1.03516085191,0.0330785810329,1.05655829375,15.7066666667,10,22.7854536642,99.9231242682,0.296035789689,27.4335290995,1.25531107739,5,970,754,754,225,29.8408488064,4,65,12,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,84,37.3333333333,64,28.4444444444,7931.77725322
R0_K1,100000,100565.29962,0.565299619815,0.0529159156581,5.43551103015,0.0371178120302,-1.03501036429,0.0385380221401,-1.31698148382,0.00291713618804,-18.1396795512,2021-11-16,2023-03-28,,201,61,140,30.3482587065,-0.00388336759968,-1.03526201745,-0.00388336759968,1.00548912021,15.9751243781,10,20.8903574565,99.6069799808,0.0270603134002,2.617254899,1.14188163885,5,977,754,600,201,33.5,2,57,6,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,76,37.8109452736,56,27.8606965174,6718.40955576
R0_K2,100000,111276.862435,11.2768624349,1.00780368553,5.96229613771,0.201150488619,-0.7762522424,0.210561955754,-1.00100578272,0.052725268462,-19.1142447431,2021-11-12,2023-03-28,,221,70,151,31.6742081448,0.0570244012852,-1.03513429968,0.0570244012852,1.09592825395,15.8325791855,10,22.7454965914,99.8798975789,0.495784402399,45.1177281881,1.2435508346,5,969,754,731,221,30.2325581395,4,64,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,84,38.0090497738,64,28.9592760181,7927.67286993
R1_K1,100000,108608.536131,8.60853613133,0.777992235429,5.53561370508,0.170321177982,-0.882419283803,0.175579402757,-1.12825311299,0.0437745093462,-17.7727231452,2021-11-12,2023-03-28,,200,63,137,31.5,0.0492331465119,-1.03444915377,0.0492331465119,1.08174260876,16.46,10,21.2179939139,99.877947619,0.405718663426,37.5768402874,1.17298937785,5,1008,754,600,200,33.3333333333,3,60,5,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,39,58,29,6962.78962136
R1_K2,100000,106834.858265,6.83485826461,0.622385295363,5.90955528504,0.136515802546,-0.849609928928,0.141863409092,-1.08992364766,0.0298796400224,-20.8297454352,2021-11-12,2023-03-28,,218,68,150,31.1926605505,0.0356475958304,-1.03521143468,0.0356475958304,1.05981038635,16.0091743119,10,22.4407627895,99.118835772,0.304573348451,28.4517418851,1.24127465857,5,971,754,731,218,29.8221614227,4,66,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.6146788991,62,28.4403669725,7613.10460483
R2_K1,100000,111978.77495,11.9787749496,1.06742649621,5.47135556794,0.225061221876,-0.840043112102,0.239014765213,-1.09182342918,0.0579299560944,-18.4261575216,2021-11-12,2023-03-28,,199,64,135,32.1608040201,0.0731570072442,-1.0342569495,0.0731570072442,1.11214300992,16.4623115578,10,21.3313512147,99.4281100093,0.561557251065,50.50452953,1.16729893778,5,998,754,600,199,33.1666666667,2,60,5,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,80,40.2010050251,59,29.648241206,7207.93851409
R2_K2,100000,106560.709068,6.5607090683,0.598125258329,5.91661462034,0.132270845593,-0.852678302203,0.137565028856,-1.09425163244,0.0286225609656,-20.896986089,2021-11-12,2023-03-28,,218,68,150,31.1926605505,0.0346287101875,-1.03521143468,0.0346287101875,1.057470204,16.0137614679,10,22.4614953487,99.2513072227,0.292086923264,27.3330257284,1.24165402124,5,971,754,731,218,29.8221614227,4,66,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.6146788991,62,28.4403669725,7599.83276717
R3_K1,100000,105794.528275,5.79452827472,0.530023174492,5.48292834051,0.125661348396,-0.937194878465,0.129676795061,-1.1880741984,0.0293752415248,-18.0431937571,2021-11-12,2023-03-28,,205,64,141,31.2195121951,0.024438326784,-1.03516085191,0.024438326784,1.05428652006,16.1219512195,10,21.3253975421,99.815081715,0.271719589906,25.475513742,1.17602427921,5,973,754,600,205,34.1666666667,2,55,4,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,38.0487804878,58,28.2926829268,7103.72761904
R3_K2,100000,105879.595494,5.87959549425,0.537606401227,5.90969091162,0.121986726076,-0.864116373951,0.126506440062,-1.10511527245,0.0256491200486,-20.960032945,2021-11-12,2023-03-28,,219,68,151,31.0502283105,0.0293176401452,-1.03526201745,0.0293176401452,1.051526691,15.8538812785,10,22.4572095706,99.7766406577,0.261813270958,24.6360304139,1.23406676783,5,970,754,731,219,29.9589603283,4,65,11,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,82,37.4429223744,62,28.3105022831,7594.84610957
R4_K1,100000,105601.725542,5.60172554173,0.512815506463,5.52329784753,0.12198785285,-0.933100011143,0.126059378337,-1.18058172451,0.0287406760587,-17.8428477262,2021-11-12,2023-03-28,,205,64,141,31.2195121951,0.0315358368187,-1.03516085191,0.0315358368187,1.05238987596,16.2146341463,10,21.4349944273,99.5941804109,0.261335525919,24.5575581258,1.18323216995,5,963,754,600,205,34.1666666667,2,55,3,AUTHORITATIVE_FROZEN_STOP_FIRST_OUTCOME,78,38.0487804878,58,28.2926829268,7125.33223127
