Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe Ratio RF=0,Sharpe Ratio RF=6%,Sortino RF=0,Sortino RF=6%,Calmar Ratio,Maximum Drawdown %,Max Drawdown Peak Date,Max Drawdown Trough Date,Recovery Date,Trade Count,Winning Trades,Losing Trades,Win Rate %,Mean Net R,Median Net R,Expectancy R,Profit Factor,Average Holding Sessions,Median Holding Sessions,Average Exposure %,Maximum Exposure %,Return / Average Exposure,Net PnL / Average Invested Capital %,Average Open Positions,Maximum Open Positions,Days Fully Cash,Candidate Count,Selected Candidate Count,Entry Filled Count,Fill Rate %,Invalid Risk Count,Expired Entry Count,Capital Rejection Count,T1 Hit Count,T1 Hit Rate %,T2 Hit Count,T2 Hit Rate %,Total Costs
ALL_BASELINE_PRIMARY,100000,120093.408187,20.0934081866,1.73317156511,4.00171002799,0.457432454994,-0.998836112041,0.446306744408,-1.41647323431,0.146557722472,-11.8258631199,2021-11-16,2023-05-23,,285,72,213,25.2631578947,0.0849971774815,-0.303358812092,0.0849971774815,1.25369808004,6.39298245614,3,11.0141546903,99.1819189937,1.82432594708,160.865609473,0.583080424886,5,1573,754,754,285,37.7984084881,4,75,1,58,20.350877193,39,13.6842105263,10680.4239909
R0_K1,100000,115050.721977,15.0507219772,1.32444723838,3.58401029987,0.391895818972,-1.23409407519,0.386044251292,-1.76858666151,0.155636073807,-8.50989880423,2022-01-17,2023-05-23,2025-04-17,249,60,189,24.0963855422,0.072612688428,-0.305892801752,0.072612688428,1.22289594068,6.32128514056,3,9.59003396272,90.2933260841,1.56941279204,144.591456765,0.502655538695,4,1634,754,600,249,41.5,2,66,0,51,20.4819277108,35,14.0562248996,8918.00373148
R0_K2,100000,122085.104318,22.0851043182,1.89033173003,3.86349175959,0.513084946043,-0.995282326562,0.521463197663,-1.45167422096,0.185331595399,-10.1997272832,2021-11-16,2023-05-23,2025-07-04,275,69,206,25.0909090909,0.0948769974542,-0.303233811705,0.0948769974542,1.29426848683,6.4,3,10.6506175975,95.1017603981,2.07359846657,182.833686166,0.563353566009,4,1596,754,731,275,37.6196990424,4,75,0,56,20.3636363636,38,13.8181818182,10301.013814
R1_K1,100000,116861.214089,16.8612140887,1.47302787587,3.63057899667,0.428445774885,-1.17668787831,0.416881762512,-1.69255022237,0.149825971633,-9.83159234555,2022-01-17,2023-05-23,2024-12-13,241,61,180,25.3112033195,0.0834356674538,-0.303358812092,0.0834356674538,1.26345802021,6.55186721992,3,9.52680849513,91.524510896,1.76987016137,162.527275505,0.507587253414,4,1642,754,600,241,40.1666666667,3,69,0,49,20.3319502075,33,13.6929460581,8620.9930782
R1_K2,100000,119987.053098,19.9870530981,1.72471306416,3.89798795422,0.466375976241,-1.02864263248,0.46443763112,-1.47898901054,0.139949957044,-12.3237841624,2021-11-16,2023-05-23,,276,70,206,25.3623188406,0.0858157459657,-0.303296311899,0.0858157459657,1.26663678569,6.43115942029,3,10.7108246543,99.4653182755,1.8660610871,165.965669717,0.568664643399,5,1581,754,731,276,37.756497948,4,75,1,56,20.2898550725,37,13.4057971014,10263.2594051
R2_K1,100000,118712.827542,18.7128275418,1.6228411317,3.61450772113,0.471770117616,-1.14050048125,0.468675250132,-1.65065195352,0.159518330348,-10.1733833858,2021-11-16,2023-05-23,2025-04-16,240,61,179,25.4166666667,0.0958475244574,-0.303296311899,0.0958475244574,1.28904571755,6.575,3,9.57072470913,90.7719424899,1.95521531655,176.197656838,0.507587253414,4,1625,754,600,240,40,2,69,0,51,21.25,33,13.75,8805.89539167
R2_K2,100000,119391.39013,19.3913901298,1.6772135785,3.90373353967,0.453558263646,-1.03925994972,0.45191756662,-1.49374737145,0.135725659047,-12.3573802499,2021-11-16,2023-05-23,,277,70,207,25.2707581227,0.0823422731106,-0.303358812092,0.0823422731106,1.25876341381,6.41155234657,3,10.7132644605,99.4653182755,1.81003560598,161.753180347,0.568664643399,5,1581,754,731,277,37.8932968536,4,75,1,56,20.2166064982,37,13.357400722,10236.6009167
R3_K1,100000,122414.982453,22.414982453,1.91613710247,3.60105479396,0.554930670756,-1.06336309637,0.551764332919,-1.54894203163,0.192106896719,-9.97432749783,2021-11-16,2023-05-23,2025-07-04,249,64,185,25.702811245,0.111239823263,-0.298877504975,0.111239823263,1.32944483537,6.37751004016,3,9.64277406654,91.255081303,2.32453672546,204.75860561,0.507966616085,4,1641,754,600,249,41.5,2,65,0,52,20.8835341365,37,14.859437751,9379.88138168
R3_K2,100000,117931.15445,17.9311544505,1.55985638636,3.87811212965,0.425961009195,-1.07671976262,0.421156680785,-1.54603340531,0.127129848544,-12.2697887571,2021-11-16,2023-05-23,,278,69,209,24.8201438849,0.0759958685184,-0.304430722839,0.0759958685184,1.23955096656,6.29496402878,3,10.5946778345,99.344598309,1.69246811753,152.481025635,0.55842185129,5,1599,754,731,278,38.0300957592,4,75,1,55,19.7841726619,37,13.309352518,10192.0754577
R4_K1,100000,119965.325474,19.9653254737,1.72298421398,3.6443080027,0.495742492571,-1.10334422673,0.492544999944,-1.60198593887,0.165438615471,-10.4146435768,2022-01-17,2023-05-23,,249,64,185,25.702811245,0.101981719804,-0.301871951452,0.101981719804,1.29682231828,6.39357429719,3,9.61211429595,86.9968222708,2.07710029853,184.896881834,0.509484066768,4,1634,754,600,249,41.5,2,65,0,51,20.4819277108,37,14.859437751,9306.16139401
