Daily K,Metric,Random 2.5%,Random Median,Random 97.5%
1,Total Return %,10.0283537823,18.0307913333,27.7762905727
1,CAGR %,0.900899192545,1.56790579791,2.32693573215
1,Maximum Drawdown %,-11.2848073425,-8.3391629582,-6.19673542116
1,Expectancy R,0.0475953188113,0.0870549583379,0.135089093861
1,Profit Factor,1.15496798361,1.27236636784,1.40735182411
1,Win Rate %,23.1404958678,24.593469064,26.1138841079
1,Trade Count,238.475,246,253
1,Average Exposure %,9.00941681041,9.46800689635,10.0147173053
1,Days Fully Cash,1609,1641,1672
1,Fill Rate %,39.7458333333,41,42.1666666667
2,Total Return %,16.0401543752,20.0299055581,24.1717556812
2,CAGR %,1.40590678826,1.72812195422,2.05251186113
2,Maximum Drawdown %,-13.0975894803,-11.1353396333,-10.0143358736
2,Expectancy R,0.0667710154586,0.0859893825699,0.103471826427
2,Profit Factor,1.2133560527,1.26318551843,1.31440755852
2,Win Rate %,24.4525547445,25.0909090909,25.7142857143
2,Trade Count,275,278,281
2,Average Exposure %,10.4329136631,10.6898518188,11.0252954087
2,Days Fully Cash,1572,1586,1608
2,Fill Rate %,37.6196990424,38.0300957592,38.4404924761
