Check,Status,Expected,Actual
stage4a1-executable-cohort-robustness-baseline dereference,PASS,012fd37df9158d4c5f7b2165de1d0ec1debbde6f,012fd37df9158d4c5f7b2165de1d0ec1debbde6f
stage4a-chronological-ml-research-baseline dereference,PASS,9e2ce2f4bcba7a97e08193ae6e84491df02307f5,9e2ce2f4bcba7a97e08193ae6e84491df02307f5
stage3.1-point-in-time-ml-dataset-baseline dereference,PASS,ac62c35f2a47bc862e406030b81f93da17c75d74,ac62c35f2a47bc862e406030b81f93da17c75d74
stage2b.1-dynamic-research-baseline dereference,PASS,c9cc9f4fcaf2fe81128365be09515fbf9fa67c28,c9cc9f4fcaf2fe81128365be09515fbf9fa67c28
Stage 4A.1 experiment ID,PASS,S4A1_20160101_20260828_89fadf5b6425,S4A1_20160101_20260828_89fadf5b6425
Stage 4A.1 package hash,PASS,8faeb82028289186c5d3bef40d242298b2d4f812c606b20b9b3cd7eb7e2a319d,8faeb82028289186c5d3bef40d242298b2d4f812c606b20b9b3cd7eb7e2a319d
Stage 2B.1 package hash,PASS,9bba171b9917b9d125d2487e4afa53f6cc047e0a5ccbe3055ebb3e84363d854e,9bba171b9917b9d125d2487e4afa53f6cc047e0a5ccbe3055ebb3e84363d854e
Stage 2B.1 policy config hash,PASS,1830639ace2e2ddcdb24a899b52e44e3305b3ec297b74a6e620a5ee1d1d93e28,1830639ace2e2ddcdb24a899b52e44e3305b3ec297b74a6e620a5ee1d1d93e28
Stage 2B accepted main hash,PASS,5cdf4b4060ea093d0c6655c76e8d262f9a33e36f728655fd7fad35ede7d4e673,5cdf4b4060ea093d0c6655c76e8d262f9a33e36f728655fd7fad35ede7d4e673
prediction logical hash: stage4a1_primary_only_oos_predictions.csv.gz,PASS,fd0dda139164ec969b74b3498140b9e32694104eaf6c8cf2eeeadf1a75bfeb92,fd0dda139164ec969b74b3498140b9e32694104eaf6c8cf2eeeadf1a75bfeb92
prediction logical hash: stage4a1_primary_only_joint_oos_predictions.csv.gz,PASS,3bf899fba9f915c8a1f88d3ce342fd67c616e68a4e91d81b30909c1c28e854ac,3bf899fba9f915c8a1f88d3ce342fd67c616e68a4e91d81b30909c1c28e854ac
prediction logical hash: stage4a1_transfer_baseline_primary_predictions.csv.gz,PASS,76e658d369f9af32884fdc9d9ffc89a69d18a59a0261c73e72ec1609ea029d74,76e658d369f9af32884fdc9d9ffc89a69d18a59a0261c73e72ec1609ea029d74
prediction logical hash: stage4a1_transfer_baseline_primary_joint_predictions.csv.gz,PASS,2b01a10fd4f7db7fb45578225632e5d5e4925598f3b226601238fd5ad9b46c7e,2b01a10fd4f7db7fb45578225632e5d5e4925598f3b226601238fd5ad9b46c7e
Stage 3.1 opportunity logical hash,PASS,3da733b3f1a9fa03c107c960495690290e7fe065901e4f0822c2905ba62d11d5,3da733b3f1a9fa03c107c960495690290e7fe065901e4f0822c2905ba62d11d5
branch merge-base is frozen Stage 4A.1,PASS,012fd37df9158d4c5f7b2165de1d0ec1debbde6f,012fd37df9158d4c5f7b2165de1d0ec1debbde6f
