Policy,Comparator,Same-Date Candidate Dates,Same Selections,Different Selections,Shared Selected Signal IDs,ML-Only Selected Signal IDs,Rule-Only Selected Signal IDs,Shared Filled Trades,ML-Only Filled Trades,Rule-Only Filled Trades,ML-Only Mean Net R,ML-Only Median Net R,ML-Only Win Rate %,ML-Only T1 Rate %,ML-Only T2 Rate %,ML-Only Average Hold,Rule-Only Mean Net R,Rule-Only Median Net R,Rule-Only Win Rate %,Rule-Only T1 Rate %,Rule-Only T2 Rate %,Rule-Only Average Hold
R1_K1,R0_K1,600,538,124,538,62,62,208,33,41,0.0664309638876,-0.306151566552,30.303030303,21.2121212121,12.1212121212,6.81818181818,0.0040191553779,-0.35733090923,21.9512195122,21.9512195122,14.6341463415,5.36585365854
R1_K2,R0_K2,600,717,28,717,14,14,267,9,8,0.787368357649,0.467581213209,55.5555555556,44.4444444444,33.3333333333,10.3333333333,1.18654295403,1.18340115543,50,50,50,9.75
R2_K1,R0_K1,600,533,134,533,67,67,204,36,45,0.0778181654879,-0.304755189322,27.7777777778,22.2222222222,11.1111111111,6.66666666667,-0.0471420554146,-0.35733090923,20,17.7777777778,13.3333333333,5.24444444444
R2_K2,R0_K2,600,716,30,716,15,15,266,11,9,0.824857456292,0.467581213209,54.5454545455,45.4545454545,36.3636363636,9.27272727273,1.37286629639,2.45483812701,55.5555555556,55.5555555556,55.5555555556,9.55555555556
R3_K1,R0_K1,600,537,126,537,63,63,209,40,40,0.193621581655,-0.296950772102,30,22.5,17.5,6.225,-0.0468323326923,-0.365313930106,20,20,12.5,5.875
R3_K2,R0_K2,600,719,24,719,12,12,266,12,9,0.364845685139,-0.286853783072,33.3333333333,25,25,5.66666666667,1.0380523415,-0.0880358161578,44.4444444444,44.4444444444,44.4444444444,8.66666666667
R4_K1,R0_K1,600,536,128,536,64,64,209,40,40,0.210061708158,-0.288440197155,32.5,22.5,17.5,6.5,0.0272394878449,-0.365313930106,22.5,22.5,12.5,6.05
R4_K2,R0_K2,600,718,26,718,13,13,266,13,9,0.285096482111,-0.301811537076,30.7692307692,23.0769230769,23.0769230769,5.38461538462,0.663212785452,-0.298524546703,33.3333333333,33.3333333333,33.3333333333,7.88888888889
R5_K1,R0_K1,600,529,142,529,71,71,205,45,44,0.180196566925,-0.31055210982,31.1111111111,22.2222222222,17.7777777778,6.57777777778,0.174685568888,-0.314037213287,29.5454545455,25,18.1818181818,6.5
R5_K2,R0_K2,600,717,28,717,14,14,268,12,7,-0.0544870521816,-0.299085422321,33.3333333333,16.6666666667,8.33333333333,6.66666666667,0.0944556170519,-0.298524546703,28.5714285714,14.2857142857,14.2857142857,5.85714285714
