Scope,Comparison Class,Field,Expected,Actual,Absolute Difference,Canonical Expected,Canonical Actual,Behavioral Match,Status,Explanation
R0_K1 D1 policy summary,ROW_AND_KEY_IDENTITY,Policy,1,1,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R0_K1 D1 policy summary,NUMERIC_VALUE,Starting Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D1 policy summary,NUMERIC_VALUE,Ending Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.03377567232e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Total Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.36264349698e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,CAGR %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.07531777821e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Maximum Drawdown %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.90967250294e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Annualized Volatility %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.39221967288e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Average Exposure %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.82449627523e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Trade Count,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D1 policy summary,NUMERIC_VALUE,Expectancy R,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,3.57214258173e-14,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Profit Factor,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,8.39772695826e-13,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 policy summary,NUMERIC_VALUE,Total Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.6916601453e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 policy summary,ROW_AND_KEY_IDENTITY,Policy,1,1,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R3_K1 D1 policy summary,NUMERIC_VALUE,Starting Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R3_K1 D1 policy summary,NUMERIC_VALUE,Ending Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,1.88447302207e-08,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
