Ticker,Membership
AXISBANK.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
BEL.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
CIPLA.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
HAL.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
HCLTECH.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
HDFCBANK.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
HINDUNILVR.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
ICICIBANK.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
INFY.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
ITC.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
LT.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
M&M.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
MARUTI.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
SBIN.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
SUNPHARMA.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
TCS.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
TITAN.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
TMPV.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
WIPRO.NS,FROZEN_STAGE3_1_RESEARCH_UNIVERSE
