Policy,Metric,Expected,Actual,Tolerance,Status
R0_K1,Ending Equity,115050.721977,115050.721977,1e-08,PASS
R0_K1,Total Return %,15.0507219772,15.050721976999991,1e-08,PASS
R0_K1,CAGR %,1.32444723838,1.3244472383662664,1e-08,PASS
R0_K1,Maximum Drawdown %,-8.50989880423,-8.509898804256721,1e-08,PASS
R0_K1,Trade Count,249.0,249.0,0.0,PASS
R0_K1,Expectancy R,0.072612688428,0.07261268842809919,1e-08,PASS
R0_K1,Profit Factor,1.22289594068,1.2228959406791895,1e-08,PASS
R3_K1,Ending Equity,122414.982453,122414.982453,1e-08,PASS
R3_K1,Total Return %,22.414982453,22.414982453,1e-08,PASS
R3_K1,CAGR %,1.91613710247,1.916137102466653,1e-08,PASS
R3_K1,Maximum Drawdown %,-9.97432749783,-9.974327497635594,1e-08,PASS
R3_K1,Trade Count,249.0,249.0,0.0,PASS
R3_K1,Expectancy R,0.111239823263,0.11123982326307712,1e-08,PASS
R3_K1,Profit Factor,1.32944483537,1.3294448353735775,1e-08,PASS
R0_K1,Total Return %,0.565299619815,0.565299619815,,PASS
R3_K1,Total Return %,5.79452827472,5.79452827472,,PASS
