Target,Model Variant,Feature Set,Rows,Expected Calibration Error
ENTRY_FILLED,DUMMY_PRIOR,NONE,9509,0.0220031288832
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,9509,0.0248933243074
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,9509,0.0251369908613
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,9509,0.0228188729144
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,9509,0.0450343276621
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,7093,0.0100133744825
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,7093,0.136684662916
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,7093,0.134465795163
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,7093,0.0389149157599
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,7093,0.131233349861
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,7088,0.0158284085388
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,7088,0.131847711678
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,7088,0.128026721221
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,7088,0.0259260430302
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,7088,0.0987393299929
