Artifact,Comparison,First Run Hash,Second Run Hash,Status
stage4a_experiment_identity.json,canonical JSON,31a0b008cd18049878819af9b41923f13ad0afc7f46018c40df614f19f89953c,31a0b008cd18049878819af9b41923f13ad0afc7f46018c40df614f19f89953c,PASS
stage4a_feature_set_hashes.json,canonical JSON,b3089ea072bc8aaee9fafc99698218efb36414ee11b14649033c4d825d801d78,b3089ea072bc8aaee9fafc99698218efb36414ee11b14649033c4d825d801d78,PASS
stage4a_model_spec_hashes.json,canonical JSON,bb087479389a8b9ec0dec8d3bf83008f20d9a554867b147babaa6695370495b4,bb087479389a8b9ec0dec8d3bf83008f20d9a554867b147babaa6695370495b4,PASS
stage4a_feature_set_registry.csv,logical content,39ff1fddd8b4a1b8d0a4a188df4f4fd526d964465ce94d0d9980557ed105770c,39ff1fddd8b4a1b8d0a4a188df4f4fd526d964465ce94d0d9980557ed105770c,PASS
stage4a_model_spec_registry.csv,logical content,9574fb4f5e4581fb4d729ecba10251904f24be685c07346fe135daa2d9f37acf,9574fb4f5e4581fb4d729ecba10251904f24be685c07346fe135daa2d9f37acf,PASS
stage4a_fold_reconstruction_audit.csv,logical content,c43db680c6629f4b09a9c85c4c8cae8f5bd3f0224bde8014c1e73989eff8b101,c43db680c6629f4b09a9c85c4c8cae8f5bd3f0224bde8014c1e73989eff8b101,PASS
stage4a_preprocessing_audit.csv,logical content,04e3d9e7ec01c8d21e009d8f4098d1a3a971b351230a29bd8d49446f3d56a37e,04e3d9e7ec01c8d21e009d8f4098d1a3a971b351230a29bd8d49446f3d56a37e,PASS
stage4a_oos_predictions.csv.gz,logical content,a6839e7543ffb4327d57fb03ad8d2d8e11994889dc277118c72a2e04edceecde,a6839e7543ffb4327d57fb03ad8d2d8e11994889dc277118c72a2e04edceecde,PASS
stage4a_joint_oos_predictions.csv.gz,logical content,e320862e2b24d3af7a5991bb626b595a68f543a5d1ebe08de9d6cf9fd94d9d5d,e320862e2b24d3af7a5991bb626b595a68f543a5d1ebe08de9d6cf9fd94d9d5d,PASS
stage4a_metrics_by_year.csv,logical content,49003ce93f2e3245cee0285b5007053d95a17f5a5eb6371926db03c84471cf22,49003ce93f2e3245cee0285b5007053d95a17f5a5eb6371926db03c84471cf22,PASS
stage4a_metrics_pooled_oos.csv,logical content,c9f89a4aabd7bed50ea6a1980fbdf7f21b0435504b26f19574130bef1961671a,c9f89a4aabd7bed50ea6a1980fbdf7f21b0435504b26f19574130bef1961671a,PASS
stage4a_metrics_by_era.csv,logical content,724f9dd09d82d3607e071b0f94691277eb153022a2d9c4906bfbe71a36e98e42,724f9dd09d82d3607e071b0f94691277eb153022a2d9c4906bfbe71a36e98e42,PASS
stage4a_recent_2024_2026_metrics.csv,logical content,a3e23dc6c07a9db8d281ad834b9a9944527270dc19bac18281190888b0e953ec,a3e23dc6c07a9db8d281ad834b9a9944527270dc19bac18281190888b0e953ec,PASS
stage4a_yearly_stability.csv,logical content,7a0e7b19000907e6554e0f718d98308d8d8f0436c814d44d5517d91212faa633,7a0e7b19000907e6554e0f718d98308d8d8f0436c814d44d5517d91212faa633,PASS
stage4a_calibration_buckets.csv,logical content,cc10400883d3e41829fafd3ca4365bbd3407b4d6e6e5d2499f5b415c5d0c145e,cc10400883d3e41829fafd3ca4365bbd3407b4d6e6e5d2499f5b415c5d0c145e,PASS
stage4a_calibration_summary.csv,logical content,3f5caafa9791c9ffc5073ab5a50d26b323806549b98f21a668a14bfba24d3250,3f5caafa9791c9ffc5073ab5a50d26b323806549b98f21a668a14bfba24d3250,PASS
stage4a_rule_score_benchmarks.csv,logical content,7e7b439c81c6a6462eb7dcc6dacd07e7cf0c02e3d516f7d6009f9f0c24678112,7e7b439c81c6a6462eb7dcc6dacd07e7cf0c02e3d516f7d6009f9f0c24678112,PASS
stage4a_top_bucket_lift.csv,logical content,e2d13314391f5f1ab868d6f6abd85001bf67c70d042c076288f54f5b73cd566b,e2d13314391f5f1ab868d6f6abd85001bf67c70d042c076288f54f5b73cd566b,PASS
stage4a_joint_metrics.csv,logical content,132651ae7c64b971ab5b49a90930932e2b4b877eb9ac65b589e94ae41db986da,132651ae7c64b971ab5b49a90930932e2b4b877eb9ac65b589e94ae41db986da,PASS
stage4a_joint_calibration_buckets.csv,logical content,b1577ce186ff4c23630551bcd742d4758dec09fca32741f0f51ecc643192288b,b1577ce186ff4c23630551bcd742d4758dec09fca32741f0f51ecc643192288b,PASS
stage4a_joint_top_bucket_lift.csv,logical content,a72e98edf9c5c73b39591f5e7f5c618ce8ebfb029a774a5b9761b4c0fe2a8a34,a72e98edf9c5c73b39591f5e7f5c618ce8ebfb029a774a5b9761b4c0fe2a8a34,PASS
stage4a_metrics_by_dataset_cohort.csv,logical content,cd716bd662691a9a2d162c0a504bd9131ba1891411e28fe8e0ae1af4e730c737,cd716bd662691a9a2d162c0a504bd9131ba1891411e28fe8e0ae1af4e730c737,PASS
stage4a_metrics_by_setup.csv,logical content,e6d30ab846024faaeee2269f8eaa7ecc5491954babb2b98ad807c5f6571a295b,e6d30ab846024faaeee2269f8eaa7ecc5491954babb2b98ad807c5f6571a295b,PASS
stage4a_metrics_by_regime.csv,logical content,e0dc89240b04c1f46ad4677568e3284625c90e06114bbbaccdef3527e42396e9,e0dc89240b04c1f46ad4677568e3284625c90e06114bbbaccdef3527e42396e9,PASS
stage4a_metrics_by_original_signal.csv,logical content,5edd565d11d2b2a94c3b0e63fd53c70c9a31068f8206bcdacd89cbfd7086815d,5edd565d11d2b2a94c3b0e63fd53c70c9a31068f8206bcdacd89cbfd7086815d,PASS
stage4a_model_comparison.csv,logical content,3338bf709d1a75480beecb566459beb4b27653990d439a5de90726dd068552e1,3338bf709d1a75480beecb566459beb4b27653990d439a5de90726dd068552e1,PASS
stage4a_research_evidence_classification.csv,logical content,e829a68561a6d52cb638f75a9c653599aa92e71d2257426a29c7471d6344e787,e829a68561a6d52cb638f75a9c653599aa92e71d2257426a29c7471d6344e787,PASS
stage4a_logistic_coefficient_audit.csv.gz,logical content,d7bc98bfbadb083b77982d80193d230705c6a77439982603ddc3e3ee5402a215,d7bc98bfbadb083b77982d80193d230705c6a77439982603ddc3e3ee5402a215,PASS
