Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
JOINT_T1,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.2-0.3,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.3-0.4,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.4-0.5,9442,0.435611263624,0.414636729506,0.0209745341175
JOINT_T1,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
JOINT_T1,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,736,0.0642556023431,0.222826086957,0.158570484613
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,1576,0.153198453907,0.292512690355,0.139314236448
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,1730,0.249877859626,0.365317919075,0.115440059449
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,1638,0.351360460181,0.420634920635,0.0692744604537
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,1441,0.448156939444,0.469812630118,0.0216556906736
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,1115,0.545605908231,0.539013452915,0.00659245531601
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,706,0.646136327916,0.541076487252,0.105059840664
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,423,0.740486159435,0.621749408983,0.118736750452
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,76,0.831016269967,0.605263157895,0.225753112072
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,1,0.902321410825,0,0.902321410825
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,704,0.0630518818185,0.211647727273,0.148595845454
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,1592,0.152556735334,0.298994974874,0.14643823954
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,1757,0.249580727898,0.369948776323,0.120368048425
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,1614,0.350334193794,0.410161090458,0.0598268966647
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,1471,0.447706719264,0.479265805574,0.03155908631
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,1114,0.546607574217,0.526929982047,0.0196775921703
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,695,0.64742375648,0.546762589928,0.100661166552
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,429,0.740756136972,0.629370629371,0.111385507602
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,66,0.835236216285,0.545454545455,0.28978167083
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,0,,,
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,0,,,
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,101,0.17033571384,0.227722772277,0.0573870584376
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,1305,0.274982901822,0.316475095785,0.0414921939635
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,1431,0.34256440618,0.292103424179,0.0504609820007
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.4-0.5,3412,0.457677395678,0.413833528722,0.0438438669563
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.5-0.6,3174,0.526294554974,0.517643352237,0.00865120273708
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.6-0.7,19,0.630067313964,0.315789473684,0.31427784028
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,0,,,
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,0,,,
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,0,,,
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,105,0.0889328602908,0.27619047619,0.1872576159
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,1500,0.160849352219,0.309333333333,0.148483981114
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,2931,0.250757839534,0.383486864551,0.132729025017
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,2356,0.346250609979,0.410865874363,0.0646152643844
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,1471,0.44473090061,0.498300475867,0.0535695752563
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,696,0.541103205995,0.512931034483,0.0281721715123
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,336,0.640749068232,0.622023809524,0.0187252587079
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,47,0.730543056471,0.659574468085,0.0709685883858
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,0,,,
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.2-0.3,9437,0.264511545401,0.244357316944,0.0201542284566
JOINT_T2,DUMMY_PRIOR,NONE,0.3-0.4,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
JOINT_T2,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,2785,0.0522129701235,0.185278276481,0.133065306358
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,2724,0.149065145529,0.235682819383,0.0866176738546
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,1908,0.245760664105,0.247379454927,0.00161879082149
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,1109,0.344183690919,0.284941388638,0.0592423022805
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,545,0.444236507038,0.357798165138,0.0864383419004
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,247,0.546015608395,0.441295546559,0.104720061836
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,85,0.643778683633,0.494117647059,0.149661036574
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,26,0.734517426902,0.384615384615,0.349902042287
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,8,0.82812274038,0.5,0.32812274038
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,2783,0.0522297853187,0.187926697808,0.135696912489
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,2689,0.148780544588,0.230940870212,0.0821603256241
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,1952,0.245105151838,0.25256147541,0.00745632357159
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,1113,0.344427011374,0.283917340521,0.0605096708533
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,524,0.443185480357,0.356870229008,0.086315251349
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,255,0.545051828495,0.435294117647,0.109757710848
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,88,0.642812896053,0.454545454545,0.188267441508
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,27,0.735155320617,0.481481481481,0.253673839135
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,6,0.828711044126,0.333333333333,0.495377710792
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,0,,,
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,139,0.0804002017778,0.10071942446,0.0203192226827
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,257,0.173524534592,0.163424124514,0.0101004100785
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,7217,0.257553065361,0.239850353332,0.0177027120289
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,1794,0.326152875425,0.287068004459,0.0390848709652
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.4-0.5,30,0.417849771381,0.133333333333,0.284516438047
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.5-0.6,0,,,
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.6-0.7,0,,,
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,0,,,
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,0,,,
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,0,,,
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,1469,0.0789461390395,0.186521443159,0.107575304119
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,4542,0.148959721824,0.228533685601,0.0795739637771
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,2387,0.241310834621,0.247172182656,0.00586134803555
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,777,0.338839563161,0.384813384813,0.0459738216527
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,209,0.435871427685,0.444976076555,0.00910464887019
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,50,0.550170880517,0.24,0.310170880517
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,3,0.619066755818,0,0.619066755818
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,0,,,
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,0,,,
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
