Target,Model Variant,Feature Set,Scope,Bucket,Rows,Success Rate,Overall Base Rate,Lift
JOINT_T1,DUMMY_PRIOR,NONE,POOLED_OOS,TOP_10_PERCENT,945,0.369312169312,0.414636729506,0.890688506423
JOINT_T1,DUMMY_PRIOR,NONE,POOLED_OOS,TOP_20_PERCENT,1889,0.370037056644,0.414636729506,0.892436753213
JOINT_T1,DUMMY_PRIOR,NONE,POOLED_OOS,BOTTOM_20_PERCENT,1889,0.401270513499,0.414636729506,0.967764032812
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,945,0.582010582011,0.414636729506,1.40366383534
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1889,0.5600847009,0.414636729506,1.35078409857
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1889,0.257278983589,0.414636729506,0.620492506526
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,945,0.574603174603,0.414636729506,1.38579902289
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1889,0.562731604023,0.414636729506,1.35716776633
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1889,0.25622022234,0.414636729506,0.617939039421
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,TOP_10_PERCENT,945,0.529100529101,0.414636729506,1.27605803212
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,TOP_20_PERCENT,1889,0.520910534674,0.414636729506,1.25630581568
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,BOTTOM_20_PERCENT,1889,0.305982001059,0.414636729506,0.737951993358
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,945,0.553439153439,0.414636729506,1.3347567016
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1889,0.537850714664,0.414636729506,1.29716128936
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1889,0.320275277925,0.414636729506,0.772423799276
JOINT_T2,DUMMY_PRIOR,NONE,POOLED_OOS,TOP_10_PERCENT,944,0.198093220339,0.244357316944,0.810670303703
JOINT_T2,DUMMY_PRIOR,NONE,POOLED_OOS,TOP_20_PERCENT,1888,0.172669491525,0.244357316944,0.706627056169
JOINT_T2,DUMMY_PRIOR,NONE,POOLED_OOS,BOTTOM_20_PERCENT,1888,0.275423728814,0.244357316944,1.12713518162
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,944,0.391949152542,0.244357316944,1.60400006615
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1888,0.338453389831,0.244357316944,1.3850757328
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1888,0.166843220339,0.244357316944,0.682783811942
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,944,0.393008474576,0.244357316944,1.60833520146
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1888,0.332097457627,0.244357316944,1.35906492091
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1888,0.163665254237,0.244357316944,0.669778406001
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,TOP_10_PERCENT,944,0.287076271186,0.244357316944,1.17482167007
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,TOP_20_PERCENT,1888,0.283898305085,0.244357316944,1.16181626413
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,BOTTOM_20_PERCENT,1888,0.197563559322,0.244357316944,0.808502736046
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_10_PERCENT,944,0.400423728814,0.244357316944,1.63868114866
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,TOP_20_PERCENT,1888,0.322033898305,0.244357316944,1.31788113543
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,BOTTOM_20_PERCENT,1888,0.196504237288,0.244357316944,0.804167600732
