Target,Model Variant,Feature Set,Cohort,Cohort Field,Models Refit for Cohort,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
ENTRY_FILLED,DUMMY_PRIOR,NONE,ALL,Dataset Cohort,False,9509,7160,0.752970869702,0.502288713134,0.754765127725,0.18653359846,0.18653359846,0,0.560544233516,0.752970869702,0.752970869702,1,0,0.859079728838
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9509,7160,0.752970869702,0.75731840008,0.885069844199,0.153318305126,0.18653359846,0.178066008525,0.477175845486,0.782626984962,0.810057226348,0.929189944134,0.33588761175,0.865543485331
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,9509,7160,0.752970869702,0.757468648254,0.88470035569,0.153390295888,0.18653359846,0.177680068606,0.477482957532,0.781996003786,0.809541195083,0.92905027933,0.333759046403,0.865188268193
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,9509,7160,0.752970869702,0.556912724064,0.779335834445,0.184771745012,0.18653359846,0.00944523379379,0.556167169316,0.75339152382,0.753287743293,1,0.00170285227756,0.859285928593
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9509,7160,0.752970869702,0.759644898221,0.884188404062,0.154148094815,0.18653359846,0.17361753546,0.478300379832,0.779051424966,0.786045459686,0.970810055866,0.194550872712,0.868712116478
JOINT_T1,DUMMY_PRIOR,NONE,ALL,Dataset Cohort,False,9442,3915,0.414636729506,0.480702396525,0.398883100992,0.243625762281,0.243625762281,0,0.680354648508,0.585363270494,0,0,1,0
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9442,3915,0.414636729506,0.628181311712,0.523209755225,0.241453520972,0.243625762281,0.00891630379687,0.68938181422,0.613217538657,0.556656613529,0.330012771392,0.813823050479,0.414368184734
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,9442,3915,0.414636729506,0.627085472201,0.522704022177,0.241731896048,0.243625762281,0.00777366981164,0.690042507437,0.610993433595,0.552517361111,0.325159642401,0.813461190519,0.409390577263
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,9442,3915,0.414636729506,0.606131770172,0.493544053779,0.235951546495,0.243625762281,0.0315000175433,0.664621137032,0.596483795806,0.51644221735,0.421200510856,0.720644110729,0.463984243106
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9442,3915,0.414636729506,0.586544632515,0.499135188164,0.247831545313,0.243625762281,-0.0172632934748,0.695827111669,0.597542893455,0.553290083411,0.152490421456,0.912791749593,0.239086904285
JOINT_T2,DUMMY_PRIOR,NONE,ALL,Dataset Cohort,False,9437,2306,0.244357316944,0.447835014971,0.220642076719,0.185594980689,0.185594980689,0,0.558492000643,0.755642683056,0,0,1,0
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9437,2306,0.244357316944,0.587102560763,0.319009830537,0.189839742479,0.185594980689,-0.022871102303,0.597997007872,0.751827911413,0.450819672131,0.0715524718127,0.971813209928,0.123502994012
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,9437,2306,0.244357316944,0.585680773015,0.318146049698,0.190004850315,0.185594980689,-0.0237607159964,0.598998963104,0.750980184381,0.441489361702,0.071986123157,0.970551114851,0.123788217748
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,9437,2306,0.244357316944,0.548228615443,0.269769346379,0.184248099207,0.185594980689,0.0072571007963,0.554365074887,0.755642683056,0,0,1,0
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,9437,2306,0.244357316944,0.56652142296,0.302068503572,0.187428512424,0.185594980689,-0.00987920971106,0.571288935652,0.752569672565,0.22641509434,0.00520381613183,0.994250455757,0.0101738024587
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ALL,Dataset Cohort,False,7093,3915,0.551952629353,0.454971037312,0.52176192766,0.248293074216,0.248293074216,0,0.689759594514,0.551952629353,0.551952629353,1,0,0.711300872093
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,7093,3915,0.551952629353,0.57917885334,0.621585239534,0.267493398916,0.248293074216,-0.0773292801665,0.748266622773,0.556182151417,0.61362962963,0.528991060026,0.589679043424,0.56817558299
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,7093,3915,0.551952629353,0.576480946996,0.621144325361,0.268420112653,0.248293074216,-0.081061618413,0.749850581186,0.553362470041,0.610666666667,0.526436781609,0.586532410321,0.565432098765
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,7093,3915,0.551952629353,0.614848129743,0.637494962114,0.237766874137,0.248293074216,0.0423942557108,0.668476386512,0.606090511772,0.608058608059,0.805619412516,0.360289490245,0.693034497913
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,7093,3915,0.551952629353,0.542559518786,0.60465760332,0.272359015374,0.248293074216,-0.0969255434684,0.745878691012,0.517270548428,0.605229318474,0.360664112388,0.710195091252,0.451984635083
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.416783785176,0.287410832269,0.220738493545,0.220738493545,0,0.633600996723,0.674661399549,0,0,1,0
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.551406727962,0.375922646157,0.23909397598,0.220738493545,-0.0831548777032,0.714908301678,0.658436794582,0.432590855803,0.160017346054,0.898787118361,0.233618233618
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.549567019718,0.374895878244,0.239369485857,0.220738493545,-0.0844030056209,0.716361996856,0.656743792325,0.423952095808,0.153512575889,0.899414470933,0.225405921681
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.529508060547,0.339308202167,0.219948063084,0.220738493545,0.00358084558991,0.631518193753,0.673532731377,0,0,0.998327059808,0
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.533528358549,0.368515889776,0.230176422319,0.220738493545,-0.0427561528688,0.667585581164,0.669582392777,0.401098901099,0.0316565481353,0.977206189879,0.0586816720257
