Target,Model Variant,Feature Set,Era,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
ENTRY_FILLED,DUMMY_PRIOR,NONE,2016-2020,4034,3058,0.758056519584,0.497932391791,0.757115826934,0.184100372384,0.184100372384,0,0.555308034689,0.758056519584,0.758056519584,1,0,0.862380146644
ENTRY_FILLED,DUMMY_PRIOR,NONE,2021-2023,3330,2471,0.742042042042,0.516176000158,0.748445216103,0.192233628564,0.192233628564,0,0.573163393961,0.742042042042,0.742042042042,1,0,0.8519220824
ENTRY_FILLED,DUMMY_PRIOR,NONE,2024-2026,2145,1631,0.760372960373,0.474062843688,0.749064796935,0.182260653819,0.182260653819,0,0.550801120132,0.760372960373,0.760372960373,1,0,0.863877118644
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,4034,3058,0.758056519584,0.760653325328,0.887600553605,0.150459955159,0.184100372384,0.182728675606,0.471666945173,0.789043133366,0.801915184679,0.958469587966,0.258196721311,0.873231044243
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,3330,2471,0.742042042042,0.764744846977,0.884047466135,0.155474185969,0.192233628564,0.191222747388,0.481533530067,0.776276276276,0.813590116279,0.906110886281,0.402793946449,0.857361669539
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2145,1631,0.760372960373,0.75511550289,0.889395044474,0.155346976716,0.182260653819,0.147665865008,0.480771096866,0.78041958042,0.821151716501,0.90925812385,0.371595330739,0.862961885365
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,4034,3058,0.758056519584,0.760331004943,0.887169241097,0.150413151214,0.184100372384,0.182982906189,0.471927207713,0.788795240456,0.801037117904,0.95977763244,0.253073770492,0.873252008331
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,3330,2471,0.742042042042,0.764880059211,0.884099075213,0.155725570545,0.192233628564,0.189915043955,0.482177466265,0.776576576577,0.814571948998,0.904896802914,0.407450523865,0.85736196319
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,2145,1631,0.760372960373,0.756519477917,0.889728866148,0.155363879574,0.182260653819,0.147573124983,0.480643414728,0.777622377622,0.819137168142,0.908031882281,0.363813229572,0.86129688863
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,4034,3058,0.758056519584,0.562056390655,0.781797672097,0.182193263902,0.184100372384,0.0103590691139,0.550526310708,0.758056519584,0.758056519584,1,0,0.862380146644
