Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed
ENTRY_FILLED,2016,DUMMY_PRIOR,NONE,4031,3177,854,0.788141900273,529,0,0,4.00003045797e-07,5.89998671785e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2016,LOGIT_RULE,FS1_RULE_SUMMARY,4031,3177,854,0.788141900273,529,5,15,0.0393897999893,0.00361860002158,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,4031,3177,854,0.788141900273,529,92,107,0.11950869998,0.00617220002459,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,4031,3177,854,0.788141900273,529,97,122,0.137037699984,0.00662749999901,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,4031,3177,854,0.788141900273,529,97,122,16302.0825949,0.0714967999957,,CONVERGED,42
ENTRY_FILLED,2017,DUMMY_PRIOR,NONE,4556,3563,993,0.782045654083,1219,0,0,1.60001218319e-06,1.85000244528e-05,,NOT_APPLICABLE,42
ENTRY_FILLED,2017,LOGIT_RULE,FS1_RULE_SUMMARY,4556,3563,993,0.782045654083,1219,5,15,0.0308881999808,0.0119746000273,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,4556,3563,993,0.782045654083,1219,92,107,0.647227499983,0.0284051999915,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,4556,3563,993,0.782045654083,1219,97,122,0.707624699979,0.0214771000319,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,4556,3563,993,0.782045654083,1219,97,122,4.53408179997,0.0543200999964,,CONVERGED,42
