Target,Model Variant,Feature Set,Period,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
ENTRY_FILLED,DUMMY_PRIOR,NONE,2024-2026,2145,1631,0.760372960373,0.474062843688,0.749064796935,0.182260653819,0.182260653819,0,0.550801120132,0.760372960373,0.760372960373,1,0,0.863877118644
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2145,1631,0.760372960373,0.75511550289,0.889395044474,0.155346976716,0.182260653819,0.147665865008,0.480771096866,0.78041958042,0.821151716501,0.90925812385,0.371595330739,0.862961885365
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,2145,1631,0.760372960373,0.756519477917,0.889728866148,0.155363879574,0.182260653819,0.147573124983,0.480643414728,0.777622377622,0.819137168142,0.908031882281,0.363813229572,0.86129688863
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,2145,1631,0.760372960373,0.552602542662,0.786484132309,0.180654478758,0.182260653819,0.00881251673041,0.546711486895,0.760839160839,0.76072761194,1,0.00194552529183,0.864105960265
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2145,1631,0.760372960373,0.767249091651,0.892526529905,0.152168123807,0.182260653819,0.165107111061,0.473657369849,0.781818181818,0.794728839331,0.961373390558,0.212062256809,0.870144284129
JOINT_T1,DUMMY_PRIOR,NONE,2024-2026,2096,850,0.405534351145,0.503753658767,0.407311659974,0.241397103552,0.241397103552,0,0.675851658111,0.594465648855,0,0,1,0
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2096,850,0.405534351145,0.587986025871,0.487145140529,0.249076601391,0.241397103552,-0.0318127174076,0.707071184955,0.600667938931,0.515892420538,0.248235294118,0.841091492777,0.335186656076
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,2096,850,0.405534351145,0.588308941554,0.490162908129,0.248565925897,0.241397103552,-0.0296972177359,0.706590176039,0.600667938931,0.515587529976,0.252941176471,0.837881219904,0.339384372534
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,2096,850,0.405534351145,0.576224152582,0.452513089359,0.238954621267,0.241397103552,0.0101181093277,0.67090807986,0.586354961832,0.482328482328,0.272941176471,0.800160513644,0.348610067618
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2096,850,0.405534351145,0.608992540837,0.474659987721,0.235192596124,0.241397103552,0.0257024932642,0.662398305118,0.587786259542,0.467289719626,0.117647058824,0.908507223114,0.187969924812
JOINT_T2,DUMMY_PRIOR,NONE,2024-2026,2091,440,0.210425633668,0.525364792688,0.220609361758,0.168320066299,0.168320066299,0,0.520461502724,0.789574366332,0,0,1,0
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2091,440,0.210425633668,0.567054402291,0.296953869357,0.169373007295,0.168320066299,-0.00625558805584,0.551278679102,0.788139646102,0.475409836066,0.0659090909091,0.980617807389,0.115768463074
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,2091,440,0.210425633668,0.567325587798,0.303093396056,0.168811053956,0.168320066299,-0.00291698825727,0.550539073184,0.789574366332,0.5,0.0681818181818,0.981829194428,0.12
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,2091,440,0.210425633668,0.588665271736,0.262420811838,0.166709302652,0.168320066299,0.00956964717285,0.516172277585,0.789574366332,0,0,1,0
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,2091,440,0.210425633668,0.655883486592,0.333499257226,0.157777861829,0.168320066299,0.0626318935191,0.489731666983,0.788139646102,0,0,0.998182919443,0
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,1582,850,0.537294563843,0.515132594021,0.545543800899,0.248895116623,0.248895116623,0,0.690940322343,0.537294563843,0.537294563843,1,0,0.699013157895
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,1582,850,0.537294563843,0.535638058502,0.589974244283,0.277428680948,0.248895116623,-0.11464091667,0.766395734672,0.524652338812,0.566576086957,0.490588235294,0.564207650273,0.525851197982
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,1582,850,0.537294563843,0.53743490839,0.596285959228,0.275782760318,0.248895116623,-0.108028008182,0.763267444708,0.529077117573,0.570469798658,0.5,0.562841530055,0.532915360502
