Category,Check,Status,Expected,Actual,Details
REFERENCE,Stage 3.1 frozen tag commit,PASS,ac62c35f2a47bc862e406030b81f93da17c75d74,ac62c35f2a47bc862e406030b81f93da17c75d74,
REFERENCE,Stage 2B.1 frozen tag commit,PASS,c9cc9f4fcaf2fe81128365be09515fbf9fa67c28,c9cc9f4fcaf2fe81128365be09515fbf9fa67c28,
REFERENCE,Stage 3 immutable reference commit,PASS,70951a5a05727a605bb579973da6216fb9887e44,70951a5a05727a605bb579973da6216fb9887e44,
REFERENCE,Branch created from frozen Stage 3.1 commit,PASS,ac62c35f2a47bc862e406030b81f93da17c75d74,ac62c35f2a47bc862e406030b81f93da17c75d74,Verified by merge-base so the gate remains valid after Stage 4A is committed
UPSTREAM,Tracked changes since frozen tag confined to Stage 4A,PASS,Stage 4A/* only,Stage 4A/* only,
UPSTREAM,Stage 3.1 working tree unchanged,PASS,no changes,no changes,
UPSTREAM,Stage 3.1 equals frozen tag tree,PASS,no differences,no differences,
IDENTITY,Stage 3.1 experiment ID,PASS,S3_1_20110830_20260828_4bbdb236598d,S3_1_20110830_20260828_4bbdb236598d,
IDENTITY,Stage 3.1 package hash in identity,PASS,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,
IDENTITY,Stage 3.1 schema hash in identity,PASS,7e6fb19e0618c70c9ea04300b2825bf674ac14322ab24eb1c958145781a6d2c4,7e6fb19e0618c70c9ea04300b2825bf674ac14322ab24eb1c958145781a6d2c4,
IDENTITY,Stage 3.1 schema hash in dataset manifest,PASS,7e6fb19e0618c70c9ea04300b2825bf674ac14322ab24eb1c958145781a6d2c4,7e6fb19e0618c70c9ea04300b2825bf674ac14322ab24eb1c958145781a6d2c4,
SOURCE,Stage 3.1 source hash: config/stage3_1_dataset_config.json,PASS,592717d1eebf9ef7a1666968b03bc7823d3262992f8e631604c46ce877f32c46,592717d1eebf9ef7a1666968b03bc7823d3262992f8e631604c46ce877f32c46,
SOURCE,Stage 3.1 source hash: stage3_1/Stock_Alert_Stage3_1_Dataset_Builder.py,PASS,ad16cef6e5cf5d403d8c88004caf5450703b6b5f1955a0268673824fcb42f559,ad16cef6e5cf5d403d8c88004caf5450703b6b5f1955a0268673824fcb42f559,
SOURCE,Stage 3.1 source hash: stage3_1/__init__.py,PASS,44a70dd939aecb0094ff1d62d02403e668f824bace9f03148a46b4485982bbb0,44a70dd939aecb0094ff1d62d02403e668f824bace9f03148a46b4485982bbb0,
SOURCE,Stage 3.1 source hash: stage3_1/diagnostics.py,PASS,d084370256d3712197acce1b8e233b6b3b4826009ceddf8cd612185c90913ea8,d084370256d3712197acce1b8e233b6b3b4826009ceddf8cd612185c90913ea8,
SOURCE,Stage 3.1 source hash: stage3_1/features.py,PASS,65ad9c73655d06c600ac8d80536c8894aa11a935cafe71a24d738ec45ffda65c,65ad9c73655d06c600ac8d80536c8894aa11a935cafe71a24d738ec45ffda65c,
SOURCE,Stage 3.1 source hash: stage3_1/hashing.py,PASS,068c877fee7becfaa73406ac86a4957f2b70c0922e91c3e69e6aa43f011163d4,068c877fee7becfaa73406ac86a4957f2b70c0922e91c3e69e6aa43f011163d4,
SOURCE,Stage 3.1 source hash: stage3_1/labels.py,PASS,fd793cebaf345b8146cc7b1378cce25ab73648fb03226a8a1607876ff069b833,fd793cebaf345b8146cc7b1378cce25ab73648fb03226a8a1607876ff069b833,
SOURCE,Stage 3.1 source hash: stage3_1/opportunity_engine.py,PASS,866ff7a5b63f4c479a6a93d8fd9e38e4819a5c161e66685a20f98b2b06171a60,866ff7a5b63f4c479a6a93d8fd9e38e4819a5c161e66685a20f98b2b06171a60,
SOURCE,Stage 3.1 source hash: stage3_1/position_day_builder.py,PASS,8ad5cc121c7932fc853e59e19acd7b9172673765dfb661a18dbef9a226c336f8,8ad5cc121c7932fc853e59e19acd7b9172673765dfb661a18dbef9a226c336f8,
SOURCE,Stage 3.1 source hash: stage3_1/splits.py,PASS,6d3eec4f2b2fcccbf3b7e71e199e2b933df976a84c9edaaf9cbe2964e5fc044b,6d3eec4f2b2fcccbf3b7e71e199e2b933df976a84c9edaaf9cbe2964e5fc044b,
SOURCE,Stage 3.1 source hash: stage3_1/validation.py,PASS,d61f22016bdc0e7ec69110a982b5ce35b633617742b78ae10ba58f0d61b37d84,d61f22016bdc0e7ec69110a982b5ce35b633617742b78ae10ba58f0d61b37d84,
SOURCE,Stage 3.1 source hash: tests/run_stage3_1_tests.py,PASS,25a0fc36be0d5020230028978626f7356d3a54a113099be2cb24aa67fa961ae7,25a0fc36be0d5020230028978626f7356d3a54a113099be2cb24aa67fa961ae7,
SOURCE,Stage 3.1 recomputed package hash,PASS,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,
SOURCE,Stage 3.1 source-manifest package hash,PASS,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,8747ee0582a7feddf4282e5801dd11e2c20b7085bf54e6629aafc31fc08165cb,
DATASET,signal_state row count,PASS,68081,68081,
DATASET,signal_state logical content hash,PASS,5876e3629cb609eed16f776d035ff9c13e3c6947dee5c2ecb4e846c8b18f74bd,5876e3629cb609eed16f776d035ff9c13e3c6947dee5c2ecb4e846c8b18f74bd,
DATASET,signal_state manifest logical hash,PASS,5876e3629cb609eed16f776d035ff9c13e3c6947dee5c2ecb4e846c8b18f74bd,5876e3629cb609eed16f776d035ff9c13e3c6947dee5c2ecb4e846c8b18f74bd,
DATASET,signal_state artifact hash,PASS,d6bc491d29497f9c8547a8e85de337c437a2a5df6957c42ec4e0267b9a023bc7,d6bc491d29497f9c8547a8e85de337c437a2a5df6957c42ec4e0267b9a023bc7,
DATASET,trade_opportunity row count,PASS,13544,13544,
