Target,Model Variant,Feature Set,Research Evidence Classification,Pooled ROC AUC,Pooled Brier Skill Score,Years ROC AUC > 0.50,Recent 2024-2026 ROC AUC,Recent 2024-2026 Brier Skill Score,Production Model Selected,Validated for Live Trading
ENTRY_FILLED,DUMMY_PRIOR,NONE,MIXED,0.502288713134,0,0,0.474062843688,0,False,False
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,PROMISING HISTORICAL SIGNAL,0.75731840008,0.178066008525,11,0.75511550289,0.147665865008,False,False
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,PROMISING HISTORICAL SIGNAL,0.757468648254,0.177680068606,11,0.756519477917,0.147573124983,False,False
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,WEAK POSITIVE HISTORICAL SIGNAL,0.556912724064,0.00944523379379,11,0.552602542662,0.00881251673041,False,False
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,PROMISING HISTORICAL SIGNAL,0.759644898221,0.17361753546,11,0.767249091651,0.165107111061,False,False
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,NO USEFUL HISTORICAL SIGNAL,0.454971037312,0,0,0.515132594021,0,False,False
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.57917885334,-0.0773292801665,10,0.535638058502,-0.11464091667,False,False
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,MIXED,0.576480946996,-0.081061618413,10,0.53743490839,-0.108028008182,False,False
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,PROMISING HISTORICAL SIGNAL,0.614848129743,0.0423942557108,11,0.588837190614,0.0146536389807,False,False
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.542559518786,-0.0969255434684,10,0.557468659595,-0.00983114396256,False,False
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,NO USEFUL HISTORICAL SIGNAL,0.416783785176,0,0,0.533932997521,-2.22044604925e-16,False,False
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.551406727962,-0.0831548777032,10,0.53112257136,-0.0645390551508,False,False
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,MIXED,0.549567019718,-0.0844030056209,10,0.531544335172,-0.0576953933605,False,False
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,WEAK POSITIVE HISTORICAL SIGNAL,0.529508060547,0.00358084558991,8,0.565918085872,0.00358471261172,False,False
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.533528358549,-0.0427561528688,11,0.629601423203,0.0655152877051,False,False
JOINT_T1,DUMMY_PRIOR,NONE,NO USEFUL HISTORICAL SIGNAL,0.480702396525,0,0,0.503753658767,0,False,False
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,WEAK POSITIVE HISTORICAL SIGNAL,0.628181311712,0.00891630379687,11,0.587986025871,-0.0318127174076,False,False
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,WEAK POSITIVE HISTORICAL SIGNAL,0.627085472201,0.00777366981164,11,0.588308941554,-0.0296972177359,False,False
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,PROMISING HISTORICAL SIGNAL,0.606131770172,0.0315000175433,11,0.576224152582,0.0101181093277,False,False
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.586544632515,-0.0172632934748,11,0.608992540837,0.0257024932642,False,False
JOINT_T2,DUMMY_PRIOR,NONE,NO USEFUL HISTORICAL SIGNAL,0.447835014971,0,0,0.525364792688,0,False,False
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.587102560763,-0.022871102303,11,0.567054402291,-0.00625558805584,False,False
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,MIXED,0.585680773015,-0.0237607159964,11,0.567325587798,-0.00291698825727,False,False
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,WEAK POSITIVE HISTORICAL SIGNAL,0.548228615443,0.0072571007963,9,0.588665271736,0.00956964717285,False,False
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,MIXED,0.56652142296,-0.00987920971106,11,0.655883486592,0.0626318935191,False,False
