Target,Model Variant,Feature Set,Valid Evaluation Years,Years ROC AUC > 0.50,Years ROC AUC > 0.55,Years Positive Brier Skill,Median Yearly ROC AUC,Mean Yearly ROC AUC,Worst Yearly ROC AUC,Best Yearly ROC AUC,Std Yearly ROC AUC,Total Yearly Positive Count
ENTRY_FILLED,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0,7160
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,11,0.757590719007,0.763119708641,0.718297981089,0.807500696767,0.0280218278386,7160
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,11,11,11,0.762603534332,0.763790146501,0.712803475594,0.808883901166,0.027977093642,7160
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,11,11,8,9,0.562767826197,0.558605510141,0.506627915899,0.605535631153,0.028720781303,7160
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,11,0.764284085077,0.762428104805,0.742831525769,0.795532151627,0.0148485255832,7160
JOINT_T1,DUMMY_PRIOR,NONE,11,0,0,1,0.5,0.5,0.5,0.5,0,3915
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,7,0.655208917118,0.6408830382,0.560034722222,0.693841786127,0.0396691924769,3915
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,11,11,7,0.665231774214,0.642203087448,0.563736111111,0.692778615074,0.0400737397024,3915
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,11,11,10,10,0.605749171678,0.609757258662,0.54928125,0.684600439013,0.0429912062885,3915
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,7,0.633769328765,0.653980583223,0.590892341192,0.802874347413,0.0578794894225,3915
JOINT_T2,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0,2306
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,11,10,4,0.634586946965,0.623221069872,0.508441219709,0.741000378931,0.0608196408931,2306
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,11,10,3,0.624545381879,0.623186237928,0.506378337364,0.772641151951,0.0695663003338,2306
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,11,9,6,8,0.553783884435,0.541047085899,0.435559777843,0.648390044994,0.056157389942,2306
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,11,11,11,7,0.641861689275,0.665401757135,0.584302835428,0.848081756532,0.0774220160998,2306
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0,3915
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,10,8,4,0.606856030567,0.604147690332,0.490705705706,0.701325543583,0.0670350889406,3915
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,10,8,4,0.608618700887,0.605063943563,0.494249249249,0.698900432662,0.0681757113269,3915
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,11,11,10,10,0.627805182756,0.630465274339,0.546651651652,0.728250558036,0.052858334097,3915
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,11,10,9,6,0.617433908339,0.623542521093,0.484770384255,0.835407366071,0.0885814065998,3915
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0,2306
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,10,8,3,0.630864057095,0.59925081077,0.45879851143,0.727495908347,0.0702077575287,2306
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,10,7,3,0.63263690594,0.599578133872,0.451355661882,0.758865248227,0.0783890708956,2306
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,11,8,4,7,0.546103548663,0.524877565715,0.418536239589,0.62029207556,0.0548128084493,2306
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,11,11,10,7,0.610984435412,0.634450657386,0.542515856237,0.85578592947,0.0861635979209,2306
