Experiment ID,Variant,Period,Trades,Wins,Losses,Win Rate %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_10D,2011-2015,106,53,53,50.0,11.131082459023634,0.15337179053435349,0.15337179053435349,1.2855235216257181,-6.8197483477196785,111131.08245902364,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,11131.082459023666,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2016-2020,109,53,56,48.62385321100918,6.397640921944681,0.08125822452298102,0.08125822452298102,1.173620934632492,-6.714428935115768,118240.85006742222,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,7109.767608398442,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2021-2023,95,43,52,45.26315789473684,7.712349759511428,0.09725342351508744,0.09725342351508744,1.2514215148666215,-12.262008587435414,127359.99798324131,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,9077.41169529413,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2024-2026,46,17,29,36.95652173913043,-2.382213781895648,-0.1044783902688184,-0.1044783902688184,0.8534700152102157,-6.075033404602237,124326.01055866251,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-2992.2512040538095,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2011-2015,100,44,56,44.0,9.59288335022328,0.14296072701596893,0.14296072701596893,1.2135810068530946,-8.57853155973145,109592.88335022329,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,9592.88335022334,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2016-2020,104,44,60,42.30769230769231,5.731366874801691,0.06959955706205712,0.06959955706205712,1.1098404825640424,-9.668347990016791,115874.05356369805,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,5297.283652038771,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2021-2023,92,35,57,38.04347826086957,-1.6234729057318042,-0.026231993130557355,-0.026231993130557355,0.9749967857844634,-17.182034785161093,113992.86969931825,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-1087.1185461428208,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2024-2026,45,17,28,37.77777777777778,-2.4193864079892435,-0.1493852647797016,-0.1493852647797016,0.8708518925133898,-5.925746670531917,111234.94170373605,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-2568.1067523831503,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2011-2015,99,41,58,41.41414141414141,5.488827744425917,0.09867998514766528,0.09867998514766528,1.1165053120874668,-10.048165577823776,105488.82774442591,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,5488.827744425832,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,2016-2020,103,45,58,43.689320388349515,10.601292449254496,0.1363550649172152,0.1363550649172152,1.209801195629599,-9.088288125165045,116672.00687490283,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,10199.292569040947,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
