Experiment ID,Ticker,Signal Date,Classification,Material To Portfolio Membership,Generated Signal,Reference Signal,Generated Setup,Reference Setup,Generated Market Regime,Reference Market Regime,Generated Technical Score,Reference Technical Score,Abs Diff Technical Score,Generated Actionability Score,Reference Actionability Score,Abs Diff Actionability Score,Generated Entry Low,Reference Entry Low,Abs Diff Entry Low,Generated Entry High,Reference Entry High,Abs Diff Entry High,Generated Stop Loss,Reference Stop Loss,Abs Diff Stop Loss,Generated Target 1,Reference Target 1,Abs Diff Target 1,Generated Target 2,Reference Target 2,Abs Diff Target 2,Generated R:R T1,Reference R:R T1,Abs Diff R:R T1,Generated R:R T2,Reference R:R T2,Abs Diff R:R T2,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-06-07,STOP_DIFFERENCE,False,AVOID,AVOID,BREAKOUT,BREAKOUT,NEUTRAL,NEUTRAL,53.0,53.0,0.0,65.0,65.0,0.0,193.2942,193.2942,0.0,196.1936,196.1936,0.0,174.5802,174.5801,0.00010000000000331966,238.5708,238.5708,0.0,243.1705,243.1705,0.0,1.9607,1.9607,0.0,2.1735,2.1735,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-08-24,ENTRY_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,62.0,62.0,0.0,20.0,20.0,0.0,200.2367,200.2367,0.0,202.9771,202.9772,0.00010000000000331966,193.4109,193.4109,0.0,211.7628,211.7628,0.0,238.5708,238.5708,0.0,0.9184,0.9184,0.0,3.7207,3.7207,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-09-17,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,65.0,65.0,0.0,20.0,20.0,0.0,193.1552,193.1552,0.0,197.981,197.981,0.0,174.1313,174.1313,0.0,211.6873,211.6874,0.00010000000000331966,227.9404,227.9404,0.0,0.5747,0.5747,0.0,1.2562,1.2562,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-09-20,STOP_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,60.0,60.0,0.0,20.0,20.0,0.0,193.2759,193.2759,0.0,197.1169,197.1169,0.0,174.3004,174.3003,0.00010000000000331966,211.3571,211.3571,0.0,227.9404,227.9404,0.0,0.6241,0.6241,0.0,1.3509,1.3509,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-09-21,STOP_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,BREAKOUT,BREAKOUT,STRONG BULL,STRONG BULL,66.0,66.0,0.0,20.0,20.0,0.0,211.5245,211.5245,0.0,214.6973,214.6973,0.0,176.7135,176.7134,0.00010000000000331966,227.9404,227.9404,0.0,309.657,309.6571,0.00010000000003174137,0.3486,0.3487,9.999999999998899e-05,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-10-11,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,203.1638,203.1638,0.0,209.5624,209.5624,0.0,189.3895,189.3895,0.0,221.6715,221.6715,0.0,224.7625,224.7624,9.999999997489795e-05,0.6003,0.6003,0.0,0.7535,0.7535,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-10-15,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,68.0,68.0,0.0,20.0,20.0,0.0,206.5272,206.5272,0.0,211.2155,211.2155,0.0,189.3895,189.3895,0.0,221.6715,221.6715,0.0,265.7806,265.7805,9.999999997489795e-05,0.4791,0.4791,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-10-18,SIGNAL_LABEL_DIFFERENCE|SCORE_DIFFERENCE,False,WATCH,WAIT FOR BETTER ENTRY,BREAKOUT,BREAKOUT,STRONG BULL,STRONG BULL,80.0,80.0,0.0,62.0,35.0,27.0,222.1149,222.1149,0.0,225.4466,225.4466,0.0,189.3895,189.3895,0.0,279.5323,279.5323,0.0,315.5894,315.5894,0.0,1.5,1.5,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-10-30,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,81.0,81.0,0.0,20.0,20.0,0.0,215.9758,215.9758,0.0,221.8458,221.8458,0.0,208.1876,208.1876,0.0,234.6,234.6,0.0,255.9913,255.9914,0.00010000000000331966,0.9338,0.9338,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-10-31,STOP_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,79.0,79.0,0.0,35.0,35.0,0.0,216.51,216.51,0.0,222.191,222.191,0.0,210.3773,210.3772,0.00010000000000331966,234.6,234.6,0.0,251.7255,251.7256,9.999999997489795e-05,1.0504,1.0504,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-01,STOP_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,217.2578,217.2578,0.0,222.8862,222.8862,0.0,210.3773,210.3772,0.00010000000000331966,234.6,234.6,0.0,254.1586,254.1587,0.00010000000000331966,0.9364,0.9364,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-02,STOP_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,218.3099,218.3099,0.0,223.7611,223.7611,0.0,210.3773,210.3772,0.00010000000000331966,234.6,234.6,0.0,257.2208,257.2209,9.999999997489795e-05,0.8098,0.8098,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-05,STOP_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,219.0993,219.0993,0.0,224.358,224.358,0.0,210.3773,210.3772,0.00010000000000331966,234.6,234.6,0.0,259.3098,259.3099,0.00010000000003174137,0.7326,0.7326,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-06,STOP_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,219.9126,219.9126,0.0,225.0017,225.0017,0.0,210.3773,210.3772,0.00010000000000331966,234.6,234.6,0.0,261.5628,261.5629,0.00010000000003174137,0.6563,0.6563,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-08,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,221.8504,221.8504,0.0,226.748,226.748,0.0,213.02,213.02,0.0,234.7322,234.7321,0.00010000000000331966,261.0682,261.0682,0.0,0.5816,0.5816,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-09,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,222.9117,222.9117,0.0,227.7308,227.7308,0.0,213.02,213.02,0.0,234.7322,234.7321,0.00010000000000331966,264.5077,264.5077,0.0,0.4759,0.4759,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-12,STOP_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,78.0,78.0,0.0,20.0,20.0,0.0,223.8523,223.8523,0.0,228.5407,228.5407,0.0,213.7079,213.708,0.00010000000000331966,234.7322,234.7321,0.00010000000000331966,265.6226,265.6225,9.999999997489795e-05,0.4174,0.4174,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-16,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,NEUTRAL,NEUTRAL,81.0,81.0,0.0,20.0,20.0,0.0,225.986,225.986,0.0,230.5535,230.5535,0.0,215.5766,215.5767,9.999999997489795e-05,234.7322,234.7321,0.00010000000000331966,267.9959,267.9957,0.0002000000000066393,0.279,0.279,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-19,ENTRY_DIFFERENCE|TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,NEUTRAL,NEUTRAL,76.0,76.0,0.0,20.0,20.0,0.0,226.648,226.6479,0.00010000000000331966,229.1833,229.1833,0.0,215.5766,215.5767,9.999999997489795e-05,234.7322,234.7321,0.00010000000000331966,263.1999,263.1998,0.00010000000003174137,0.4078,0.4078,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,AXISBANK.NS,2012-11-20,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,NEUTRAL,NEUTRAL,78.0,78.0,0.0,20.0,20.0,0.0,227.3211,227.3211,0.0,230.0609,230.0609,0.0,215.5766,215.5767,9.999999997489795e-05,234.7322,234.7321,0.00010000000000331966,266.2715,266.2716,9.999999997489795e-05,0.3225,0.3225,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
