Dimension,Group,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,One-Share Net PnL (Diagnostic Only),Candidate Source,Survivorship Bias Warning
Signal,BUY,823,323,500,39.24665856622114,0.3006231697203998,-2.719722100417238,0.07688611156625222,-1.0313649154051288,1.1166082604877117,0.07688611156625222,11.475091130012151,33,404.3924687250042,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Signal,STRONG BUY,6,3,3,50.0,1.812424055786571,1.513990576113025,0.48082002340434427,0.44773269781162406,1.9303371366415594,0.48082002340434427,16.333333333333332,1,-268.24719173792295,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Signal,WATCH,1927,879,1048,45.61494551115724,1.033796457472076,-2.6071841998328593,0.2176455479064508,-1.0160398533377806,1.3720442422205095,0.2176455479064508,16.787752983912817,62,11496.512336157852,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Signal,WATCH - MARKET RISK,194,68,126,35.051546391752574,-0.36718595994939607,-3.4693559989445917,-0.11209570123968586,-1.0331644437339165,0.8428354561580458,-0.11209570123968586,10.128865979381443,38,-1270.5395244907918,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Setup,BREAKOUT,445,226,219,50.78651685393258,1.545577601884417,0.622182216468285,0.19852472046056063,0.06402595402932644,1.4391772335669677,0.19852472046056063,36.698876404494385,11,6473.409440422781,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Setup,PULLBACK,2505,1047,1458,41.796407185628745,0.5953680948082037,-2.738548682507978,0.1498902571376183,-1.0301012095855946,1.2331775883368523,0.1498902571376183,10.988423153692615,78,3888.7086482313584,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Market Regime,BEAR,147,43,104,29.25170068027211,-1.1267776573362047,-3.409487866012288,-0.30153839750970146,-1.036403679738312,0.6148800608913445,-0.30153839750970146,9.034013605442176,33,-2538.64133013532,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Market Regime,BULL,431,188,243,43.619489559164734,1.043684555911073,-2.5067039933272115,0.18618229582888596,-1.024357696055416,1.2925195574288886,0.18618229582888596,13.846867749419953,22,2894.753571429196,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Market Regime,NEUTRAL,537,179,358,33.33333333333333,-0.29439860853164485,-2.8489327439005385,-0.11272234189395242,-1.0329687283505213,0.8425244099539252,-0.11272234189395242,10.364990689013036,30,-325.8715955041994,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Market Regime,STRONG BEAR,107,51,56,47.66355140186916,1.3326928986482958,-2.3782947049061756,0.36662604119359404,-1.0255637429358604,1.6621923524811215,0.36662604119359404,12.644859813084112,14,1321.3991292977496,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Market Regime,STRONG BULL,1728,812,916,46.99074074074074,1.1056026012673559,-2.5744034851662456,0.25995548660630646,-1.0128801437506807,1.4591381857638175,0.25995548660630646,17.153935185185187,52,9010.478313566713,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,AXISBANK.NS,150,56,94,37.333333333333336,0.4670437137853306,-3.083945644402201,0.05137649724199285,-1.0287040702537782,1.0703795108059535,0.05137649724199285,11.026666666666667,15,243.22545261978627,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,BEL.NS,161,70,91,43.47826086956522,1.1298644341775368,-3.4199628603686985,0.15451946557701585,-1.0170623433165924,1.264724462805621,0.15451946557701585,10.105590062111801,14,-147.80363577928404,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,CIPLA.NS,145,69,76,47.58620689655172,1.8084364344556276,-2.873266690414086,0.38884978840439105,-1.0153061668036945,1.7185051508914129,0.38884978840439105,12.76551724137931,23,1549.3975753676632,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,HAL.NS,100,50,50,50.0,2.478294680464869,-0.27484135234567064,0.3656049570352444,-0.14501717747547735,1.7090916232721807,0.3656049570352444,10.16,13,3467.9108943502506,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,HCLTECH.NS,159,74,85,46.540880503144656,1.0002326917434805,-2.3940736114019274,0.20751318366232432,-1.0147767348484324,1.3731815157591722,0.20751318366232432,15.534591194968554,16,258.7153120253319,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,HDFCBANK.NS,168,80,88,47.61904761904761,0.8140188357870007,-1.672322407174458,0.24540796354506003,-0.9369050433246868,1.4398169906970162,0.24540796354506003,18.857142857142858,20,212.18039628262895,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,HINDUNILVR.NS,159,81,78,50.943396226415096,1.6226525320731031,1.8845546025659072,0.38804316141476447,1.004036301208499,1.7520403407194005,0.38804316141476447,16.50314465408805,16,2440.8387048219683,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,ICICIBANK.NS,196,46,150,23.46938775510204,-1.4657373045164521,-3.141741919798767,-0.42754003817531916,-1.0379600171006342,0.48249269805085393,-0.42754003817531916,12.040816326530612,58,-927.1921397890906,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,INFY.NS,197,111,86,56.34517766497462,1.7792453463046811,4.436311877816466,0.4631370485507395,1.4720605153724926,1.7255530422612557,0.4631370485507395,17.406091370558375,30,4450.77963471081,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,ITC.NS,145,78,67,53.79310344827586,1.597149667415703,3.7950519774806417,0.4552316995896628,1.3120002847809795,1.8992125972909286,0.4552316995896628,17.0,10,432.8700898040896,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
