Date,Variant,Cash,Open Position Value,Total Equity,Peak Equity,Drawdown %,Number Open Positions,Daily Return %,Candidate Source,Survivorship Bias Warning
2011-08-30,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-02,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-05,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-06,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-07,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-08,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-09,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-12,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-13,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-14,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-15,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-16,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-19,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-20,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-21,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-22,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-23,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-26,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-27,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-28,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-29,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-30,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-03,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-04,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-05,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-07,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-10,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-11,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-12,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-13,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-14,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-17,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-18,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-19,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-20,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-21,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-24,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-25,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-28,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-10-31,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-11-01,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-11-02,T2_30D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
